,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,20732064.0,20732064.0,20732064.0
Share Issued,20732064.0,20732064.0,20732064.0
Net Debt,5025800000.0,2859500000.0,4630300000.0
Total Debt,7428100000.0,5144100000.0,6642100000.0
Tangible Book Value,8302100000.0,8295400000.0,7428700000.0
Invested Capital,13403400000.0,11209700000.0,12118200000.0
Working Capital,5258800000.0,5296700000.0,3872200000.0
Net Tangible Assets,8302100000.0,8295400000.0,7428700000.0
Capital Lease Obligations,2364700000.0,2274800000.0,2005000000.0
Common Stock Equity,8340000000.0,8340400000.0,7481100000.0
Total Capitalization,8340000000.0,8340400000.0,7481100000.0
Total Equity Gross Minority Interest,8340000000.0,8340400000.0,7481100000.0
Stockholders Equity,8340000000.0,8340400000.0,7481100000.0
Other Equity Interest,8132700000.0,8133100000.0,7273800000.0
Retained Earnings,,3570600000.0,
Additional Paid In Capital,,757000000.0,
Capital Stock,207300000.0,207300000.0,207300000.0
Common Stock,207300000.0,207300000.0,207300000.0
Total Liabilities Net Minority Interest,11194600000.0,8814700000.0,10290100000.0
Total Non Current Liabilities Net Minority Interest,2576300000.0,2482400000.0,2195000000.0
Other Non Current Liabilities,208500000.0,250900000.0,188800000.0
Non Current Pension And Other Postretirement Benefit Plans,,13700000.0,
Non Current Deferred Revenue,,470900000.0,
Long Term Debt And Capital Lease Obligation,1889800000.0,1781500000.0,1575300000.0
Long Term Capital Lease Obligation,1889800000.0,1781500000.0,1575300000.0
Long Term Provisions,18300000.0,216300000.0,16700000.0
Current Liabilities,8618300000.0,6332300000.0,8095100000.0
Other Current Liabilities,1168200000.0,26200000.0,1066700000.0
Current Debt And Capital Lease Obligation,5538300000.0,3362600000.0,5066800000.0
Current Capital Lease Obligation,474900000.0,493300000.0,429700000.0
Current Debt,5063400000.0,2869300000.0,4637100000.0
Current Provisions,296700000.0,1349900000.0,194900000.0
Payables,1404400000.0,1422200000.0,1587600000.0
Other Payable,,202100000.0,
Dividends Payable,,1800000.0,
Total Tax Payable,1200000.0,600000.0,
Accounts Payable,1403200000.0,1217700000.0,1587600000.0
Total Assets,19534600000.0,17155100000.0,17771200000.0
Total Non Current Assets,5657500000.0,5526100000.0,5803900000.0
Other Non Current Assets,141100000.0,86400000.0,201000000.0
Non Current Prepaid Assets,,142800000.0,
Non Current Deferred Taxes Assets,274300000.0,260400000.0,271400000.0
Investmentin Financial Assets,1183800000.0,1082000000.0,1411900000.0
Held To Maturity Securities,,1014100000.0,
Available For Sale Securities,1183800000.0,67900000.0,1411900000.0
Goodwill And Other Intangible Assets,37900000.0,45000000.0,52400000.0
Other Intangible Assets,,45000000.0,
Net PPE,3827400000.0,3940500000.0,3552800000.0
Accumulated Depreciation,,-1782000000.0,
Gross PPE,3827400000.0,5722500000.0,3552800000.0
Construction In Progress,0.0,89100000.0,5500000.0
Other Properties,3827400000.0,2020300000.0,3547300000.0
Machinery Furniture Equipment,,1572200000.0,
Buildings And Improvements,,1534200000.0,
Land And Improvements,,506700000.0,
Properties,,0.0,
Current Assets,13877100000.0,11629000000.0,11967300000.0
Other Current Assets,950000000.0,471600000.0,671300000.0
Restricted Cash,,1800000.0,
Prepaid Assets,,464200000.0,
Inventory,6469200000.0,5031800000.0,5898200000.0
Other Inventories,,801200000.0,
Finished Goods,,3619200000.0,
Work In Process,,109100000.0,
Raw Materials,,502300000.0,
Other Receivables,5900000.0,237500000.0,3600000.0
Accounts Receivable,4407200000.0,4161800000.0,3763900000.0
Allowance For Doubtful Accounts Receivable,,-31800000.0,
Gross Accounts Receivable,,4193600000.0,
Cash Cash Equivalents And Short Term Investments,2044800000.0,1731900000.0,1630300000.0
Other Short Term Investments,2007200000.0,1722100000.0,1623500000.0
Cash And Cash Equivalents,37600000.0,9800000.0,6800000.0
Cash Financial,,9800000.0,
