,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2427000000.0,3122000000.0,3961000000.0,720000000.0,1653000000.0,,
Repurchase Of Capital Stock,-419000000.0,-230000000.0,-435000000.0,-527000000.0,-730000000.0,,
Repayment Of Debt,-2766000000.0,-8000000.0,-9000000.0,-9000000.0,-1762000000.0,,
Issuance Of Debt,,,,,,3464000000.0,
Issuance Of Capital Stock,166000000.0,32000000.0,97000000.0,27000000.0,252000000.0,,
Capital Expenditure,-117000000.0,-205000000.0,-147000000.0,-107000000.0,-104000000.0,,
End Cash Position,7628000000.0,7564000000.0,7330000000.0,5144000000.0,7926000000.0,,
Beginning Cash Position,7564000000.0,7330000000.0,5144000000.0,7926000000.0,9991000000.0,,
Effect Of Exchange Rate Changes,-11000000.0,5000000.0,-5000000.0,73000000.0,19000000.0,,
Changes In Cash,75000000.0,229000000.0,2191000000.0,-2855000000.0,-2084000000.0,,
Financing Cash Flow,-4239000000.0,-1263000000.0,-1489000000.0,-1567000000.0,-3426000000.0,,
Cash Flow From Continuing Financing Activities,-4238000000.0,-1263000000.0,-1489000000.0,-1567000000.0,-3426000000.0,,
Net Other Financing Charges,-180000000.0,-63000000.0,-137000000.0,-64000000.0,-176000000.0,,
Cash Dividends Paid,-1040000000.0,-994000000.0,-1005000000.0,-994000000.0,-1010000000.0,,
Common Stock Dividend Paid,-1040000000.0,-994000000.0,-1005000000.0,-994000000.0,-1010000000.0,,
Net Common Stock Issuance,-253000000.0,-198000000.0,-338000000.0,-500000000.0,-478000000.0,,
Common Stock Payments,-419000000.0,-230000000.0,-435000000.0,-527000000.0,-730000000.0,,
Common Stock Issuance,166000000.0,32000000.0,97000000.0,27000000.0,252000000.0,,
Net Issuance Payments Of Debt,-2766000000.0,-8000000.0,-9000000.0,-9000000.0,-1762000000.0,,
Net Long Term Debt Issuance,-2766000000.0,-8000000.0,-9000000.0,-9000000.0,-1762000000.0,,
Long Term Debt Payments,-2766000000.0,-8000000.0,-9000000.0,-9000000.0,-1762000000.0,,
Long Term Debt Issuance,,,,,,3464000000.0,
Investing Cash Flow,1770000000.0,-1835000000.0,-427000000.0,-2116000000.0,-415000000.0,,
Cash Flow From Continuing Investing Activities,1769000000.0,-1836000000.0,-426000000.0,-2116000000.0,-416000000.0,,
Net Other Investing Changes,-16000000.0,12000000.0,3000000.0,10000000.0,-22000000.0,,
Net Investment Purchase And Sale,2012000000.0,-1033000000.0,-116000000.0,-1998000000.0,-16000000.0,,
Sale Of Investment,2556000000.0,363000000.0,236000000.0,310000000.0,0.0,,
Purchase Of Investment,-544000000.0,-1396000000.0,-352000000.0,-2308000000.0,-16000000.0,,
Net Business Purchase And Sale,-109000000.0,-609000000.0,-167000000.0,-21000000.0,-273000000.0,,
Purchase Of Business,-109000000.0,-609000000.0,-167000000.0,-21000000.0,-273000000.0,,
Net PPE Purchase And Sale,-117000000.0,-205000000.0,-147000000.0,-107000000.0,-104000000.0,,
Purchase Of PPE,-117000000.0,-205000000.0,-147000000.0,-107000000.0,-104000000.0,,
Capital Expenditure Reported,,,,,,-147000000.0,-141000000.0
Operating Cash Flow,2544000000.0,3327000000.0,4108000000.0,827000000.0,1757000000.0,,
Cash Flow From Continuing Operating Activities,2544000000.0,3327000000.0,4107000000.0,827000000.0,1758000000.0,,
Change In Working Capital,-711000000.0,-604000000.0,-297000000.0,-2014000000.0,-1033000000.0,,
Change In Other Working Capital,-29000000.0,-134000000.0,-122000000.0,-1300000000.0,-552000000.0,,
Change In Payables And Accrued Expense,-769000000.0,-490000000.0,1041000000.0,-328000000.0,-349000000.0,,
Change In Accrued Expense,-702000000.0,-395000000.0,811000000.0,-166000000.0,-244000000.0,,
Change In Payable,-67000000.0,-95000000.0,230000000.0,-162000000.0,-105000000.0,,
Change In Account Payable,-67000000.0,-95000000.0,230000000.0,-162000000.0,-105000000.0,,
Change In Prepaid Assets,5000000.0,-36000000.0,-368000000.0,81000000.0,12000000.0,,
Change In Inventory,-52000000.0,-123000000.0,-515000000.0,-175000000.0,-223000000.0,,
Change In Receivables,134000000.0,179000000.0,-333000000.0,-292000000.0,79000000.0,,
Changes In Account Receivables,134000000.0,179000000.0,-333000000.0,-292000000.0,79000000.0,,
Other Non Cash Items,290000000.0,806000000.0,260000000.0,95000000.0,343000000.0,,
Stock Based Compensation,218000000.0,230000000.0,230000000.0,225000000.0,209000000.0,,
Asset Impairment Charge,,400000000.0,0.0,190000000.0,0.0,0.0,
Deferred Tax,179000000.0,-122000000.0,659000000.0,-178000000.0,-199000000.0,,
Deferred Income Tax,179000000.0,-122000000.0,659000000.0,-178000000.0,-199000000.0,,
Depreciation Amortization Depletion,689000000.0,687000000.0,686000000.0,691000000.0,696000000.0,,
Depreciation And Amortization,689000000.0,687000000.0,686000000.0,691000000.0,696000000.0,,
Amortization Cash Flow,596000000.0,597000000.0,596000000.0,598000000.0,599000000.0,,
Amortization Of Intangibles,596000000.0,597000000.0,596000000.0,598000000.0,599000000.0,,
Depreciation,93000000.0,90000000.0,90000000.0,93000000.0,97000000.0,,
Operating Gains Losses,-142000000.0,-253000000.0,-482000000.0,-142000000.0,426000000.0,,
Gain Loss On Investment Securities,-142000000.0,-253000000.0,-482000000.0,-142000000.0,426000000.0,,
Net Income From Continuing Operations,2021000000.0,2183000000.0,3052000000.0,1960000000.0,1315000000.0,,
