,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,264100000.0,580900000.0,645200000.0,165600000.0,459100000.0,
Repurchase Of Capital Stock,0.0,-85100000.0,-65000000.0,-175000000.0,-175400000.0,
Repayment Of Debt,,-100000.0,0.0,,,-1374300000.0
Issuance Of Capital Stock,500000.0,600000.0,700000.0,700000.0,600000.0,
Capital Expenditure,-124200000.0,-234900000.0,-99700000.0,-54100000.0,-76400000.0,
End Cash Position,1805700000.0,1348000000.0,1003500000.0,567800000.0,756300000.0,
Beginning Cash Position,1348000000.0,1003500000.0,567800000.0,756300000.0,736100000.0,
Effect Of Exchange Rate Changes,-4200000.0,-23700000.0,17800000.0,6700000.0,16800000.0,
Changes In Cash,461900000.0,368200000.0,417900000.0,-195200000.0,3400000.0,
Financing Cash Flow,-203800000.0,-236400000.0,-228100000.0,-362400000.0,-467000000.0,
Cash Flow From Continuing Financing Activities,-203800000.0,-236400000.0,-228100000.0,-362400000.0,-467000000.0,
Net Other Financing Charges,-64700000.0,-12100000.0,-24200000.0,-48300000.0,-150300000.0,
Cash Dividends Paid,-139600000.0,-138200000.0,-139900000.0,-139800000.0,-143300000.0,
Common Stock Dividend Paid,-139600000.0,-138200000.0,-139900000.0,-139800000.0,-143300000.0,
Net Common Stock Issuance,500000.0,-84500000.0,-64300000.0,-174300000.0,-174800000.0,
Common Stock Payments,0.0,-85100000.0,-65000000.0,-175000000.0,-175400000.0,
Common Stock Issuance,500000.0,600000.0,700000.0,700000.0,600000.0,
Net Issuance Payments Of Debt,0.0,-1600000.0,300000.0,0.0,1400000.0,
Net Short Term Debt Issuance,0.0,-1500000.0,300000.0,0.0,1400000.0,
Net Long Term Debt Issuance,,-100000.0,0.0,,,-1374300000.0
Long Term Debt Payments,,-100000.0,0.0,,,-1374300000.0
Investing Cash Flow,277400000.0,-211200000.0,-98900000.0,-52500000.0,-65100000.0,
Cash Flow From Continuing Investing Activities,277400000.0,-211200000.0,-98900000.0,-52500000.0,-65100000.0,
Net Other Investing Changes,,,,,,-3100000.0
Net Investment Purchase And Sale,400000000.0,0.0,0.0,0.0,0.0,
Sale Of Investment,407500000.0,5800000.0,7200000.0,6300000.0,4600000.0,
Purchase Of Investment,-7500000.0,-5800000.0,-7200000.0,-6300000.0,-4600000.0,
Net Business Purchase And Sale,,0.0,0.0,0.0,0.0,0.0
Purchase Of Business,,0.0,0.0,0.0,0.0,0.0
Net Intangibles Purchase And Sale,-84300000.0,-38400000.0,-12900000.0,-1200000.0,-33800000.0,
Purchase Of Intangibles,-84300000.0,-38400000.0,-12900000.0,-1200000.0,-33800000.0,
Net PPE Purchase And Sale,1600000.0,21200000.0,800000.0,1600000.0,11300000.0,
Sale Of PPE,1600000.0,21200000.0,800000.0,1600000.0,11300000.0,
Capital Expenditure Reported,-39900000.0,-196500000.0,-86800000.0,-52900000.0,-42600000.0,
Operating Cash Flow,388300000.0,815800000.0,744900000.0,219700000.0,535500000.0,
Cash Flow From Continuing Operating Activities,388300000.0,815800000.0,744900000.0,219700000.0,535500000.0,
Change In Working Capital,-702900000.0,391800000.0,126000000.0,-982300000.0,-221900000.0,
Change In Other Working Capital,-486300000.0,85600000.0,108000000.0,-642400000.0,-297800000.0,
Change In Payables And Accrued Expense,32700000.0,18500000.0,3200000.0,-291300000.0,101600000.0,
Change In Payable,32700000.0,18500000.0,3200000.0,-291300000.0,101600000.0,
Change In Account Payable,32700000.0,18500000.0,3200000.0,-291300000.0,101600000.0,
Change In Inventory,-123000000.0,15800000.0,110500000.0,-39000000.0,-193700000.0,
Change In Receivables,-126300000.0,271900000.0,-95700000.0,-9600000.0,168000000.0,
Changes In Account Receivables,-126300000.0,271900000.0,-95700000.0,-9600000.0,168000000.0,
Other Non Cash Items,246300000.0,123400000.0,161400000.0,494900000.0,149400000.0,
Stock Based Compensation,48200000.0,49400000.0,36000000.0,37100000.0,55200000.0,
Asset Impairment Charge,0.0,0.0,0.0,0.0,2936800000.0,
Deferred Tax,-69700000.0,-248200000.0,-137200000.0,-47500000.0,-43600000.0,
Deferred Income Tax,-69700000.0,-248200000.0,-137200000.0,-47500000.0,-43600000.0,
Depreciation Amortization Depletion,676100000.0,766800000.0,688500000.0,678300000.0,664700000.0,
Depreciation And Amortization,676100000.0,766800000.0,688500000.0,678300000.0,664700000.0,
Operating Gains Losses,13900000.0,72700000.0,-1600000.0,43800000.0,36900000.0,
Gain Loss On Sale Of Business,13900000.0,21900000.0,-1600000.0,43800000.0,36900000.0,
Net Income From Continuing Operations,176400000.0,-340100000.0,-128200000.0,-4600000.0,-3042000000.0,
