,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-72000000.0,17000000.0,-159000000.0,51000000.0,47000000.0,,
Repurchase Of Capital Stock,-400000000.0,0.0,0.0,-274000000.0,0.0,,
Repayment Of Debt,-83000000.0,-89000000.0,-90000000.0,-75000000.0,-56000000.0,,
Issuance Of Debt,63000000.0,39000000.0,63000000.0,1558000000.0,32000000.0,,
Capital Expenditure,-13000000.0,-52000000.0,-32000000.0,-12000000.0,-26000000.0,,
End Cash Position,2948000000.0,3433000000.0,3280000000.0,3880000000.0,2828000000.0,,
Beginning Cash Position,3433000000.0,3280000000.0,3880000000.0,2828000000.0,2964000000.0,,
Effect Of Exchange Rate Changes,-23000000.0,28000000.0,-15000000.0,61000000.0,4000000.0,,
Changes In Cash,-462000000.0,125000000.0,-585000000.0,991000000.0,-140000000.0,,
Financing Cash Flow,-418000000.0,-39000000.0,-51000000.0,1185000000.0,0.0,,
Cash Flow From Continuing Financing Activities,-418000000.0,-39000000.0,-51000000.0,1185000000.0,0.0,,
Net Other Financing Charges,4000000.0,15000000.0,-23000000.0,-21000000.0,20000000.0,,
Interest Paid Cff,-7000000.0,-7000000.0,-7000000.0,-11000000.0,-2000000.0,,
Proceeds From Stock Option Exercised,5000000.0,3000000.0,6000000.0,8000000.0,6000000.0,,
Cash Dividends Paid,0.0,0.0,0.0,0.0,0.0,,
Net Common Stock Issuance,-400000000.0,0.0,0.0,-274000000.0,0.0,,
Common Stock Payments,-400000000.0,0.0,0.0,-274000000.0,0.0,,
Net Issuance Payments Of Debt,-20000000.0,-50000000.0,-27000000.0,1483000000.0,-24000000.0,,
Net Long Term Debt Issuance,-20000000.0,-50000000.0,-27000000.0,1483000000.0,-24000000.0,,
Long Term Debt Payments,-83000000.0,-89000000.0,-90000000.0,-75000000.0,-56000000.0,,
Long Term Debt Issuance,63000000.0,39000000.0,63000000.0,1558000000.0,32000000.0,,
Investing Cash Flow,15000000.0,95000000.0,-407000000.0,-257000000.0,-213000000.0,,
Cash Flow From Continuing Investing Activities,15000000.0,96000000.0,-408000000.0,-257000000.0,-213000000.0,,
Net Other Investing Changes,,,1000000.0,,,1000000.0,92000000.0
Interest Received Cfi,47000000.0,31000000.0,49000000.0,51000000.0,40000000.0,,
Dividends Received Cfi,,1000000.0,0.0,6000000.0,,,
Net Investment Purchase And Sale,83000000.0,200000000.0,-365000000.0,-258000000.0,-186000000.0,,
Purchase Of Investment,,,,-258000000.0,,,
Net Business Purchase And Sale,-105000000.0,-90000000.0,-64000000.0,-45000000.0,-45000000.0,,
Purchase Of Business,-105000000.0,-91000000.0,-64000000.0,-45000000.0,-45000000.0,,
Net Intangibles Purchase And Sale,-3000000.0,-7000000.0,-5000000.0,-4000000.0,-10000000.0,,
Purchase Of Intangibles,-3000000.0,-7000000.0,-5000000.0,-4000000.0,-10000000.0,,
Net PPE Purchase And Sale,-7000000.0,-39000000.0,-23000000.0,-7000000.0,-12000000.0,,
Sale Of PPE,3000000.0,6000000.0,4000000.0,1000000.0,4000000.0,,
Purchase Of PPE,-10000000.0,-45000000.0,-27000000.0,-8000000.0,-16000000.0,,
Operating Cash Flow,-59000000.0,69000000.0,-127000000.0,63000000.0,73000000.0,,
Cash Flow From Continuing Operating Activities,-59000000.0,69000000.0,-127000000.0,63000000.0,73000000.0,,
Taxes Refund Paid,-10000000.0,-24000000.0,-26000000.0,-26000000.0,-15000000.0,,
Change In Working Capital,-242000000.0,-68000000.0,-269000000.0,-48000000.0,-45000000.0,,
Change In Other Working Capital,29000000.0,250000000.0,-216000000.0,25000000.0,181000000.0,,
Change In Payables And Accrued Expense,-64000000.0,73000000.0,73000000.0,-21000000.0,-85000000.0,,
Change In Payable,-64000000.0,73000000.0,73000000.0,-21000000.0,-85000000.0,,
Change In Account Payable,-64000000.0,,,-21000000.0,-85000000.0,,
Change In Inventory,1000000.0,-6000000.0,-4000000.0,3000000.0,-2000000.0,,
Change In Receivables,-208000000.0,-385000000.0,-122000000.0,-55000000.0,-139000000.0,,
Changes In Account Receivables,-16000000.0,-3000000.0,29000000.0,53000000.0,-89000000.0,,
Other Non Cash Items,-6000000.0,-51000000.0,-21000000.0,-29000000.0,-67000000.0,,
Stock Based Compensation,78000000.0,45000000.0,55000000.0,61000000.0,80000000.0,,
Unrealized Gain Loss On Investment Securities,-95000000.0,-61000000.0,10000000.0,-6000000.0,23000000.0,,
Provisionand Write Offof Assets,-9000000.0,-16000000.0,1000000.0,1000000.0,2000000.0,,
Asset Impairment Charge,48000000.0,37000000.0,37000000.0,33000000.0,33000000.0,,
Depreciation Amortization Depletion,54000000.0,49000000.0,47000000.0,41000000.0,40000000.0,,
Depreciation And Amortization,54000000.0,49000000.0,47000000.0,41000000.0,40000000.0,,
Amortization Cash Flow,10000000.0,8000000.0,8000000.0,8000000.0,8000000.0,,
Amortization Of Intangibles,10000000.0,8000000.0,8000000.0,8000000.0,8000000.0,,
Depreciation,44000000.0,41000000.0,39000000.0,33000000.0,32000000.0,,
Operating Gains Losses,-1000000.0,-6000000.0,1000000.0,-7000000.0,-2000000.0,,
Earnings Losses From Equity Investments,-1000000.0,0.0,0.0,-1000000.0,-1000000.0,,
Gain Loss On Investment Securities,,,,-6000000.0,,,
Gain Loss On Sale Of PPE,0.0,1000000.0,1000000.0,0.0,-1000000.0,,
Net Income From Continuing Operations,124000000.0,164000000.0,38000000.0,43000000.0,24000000.0,,
