,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1291393000.0,1285416000.0,1053422000.0,772226000.0,831712000.0,,
Repurchase Of Capital Stock,-981723000.0,-417615000.0,-501900000.0,-271518000.0,-1000911000.0,,
Repayment Of Debt,,-18669000.0,0.0,-200000000.0,0.0,-3559344000.0,
Issuance Of Debt,0.0,0.0,0.0,0.0,200000000.0,,
Capital Expenditure,,,,,,,-3200000.0
Interest Paid Supplemental Data,1690000.0,97765000.0,1470000.0,97161000.0,2392000.0,,
Income Tax Paid Supplemental Data,106677000.0,27552000.0,66670000.0,95024000.0,5597000.0,,
End Cash Position,2758671000.0,2487096000.0,1666899000.0,1192608000.0,542516000.0,,
Beginning Cash Position,2487096000.0,1666899000.0,1192608000.0,542516000.0,697030000.0,,
Effect Of Exchange Rate Changes,-2339000.0,506000.0,757000.0,5187000.0,2782000.0,,
Changes In Cash,273914000.0,819691000.0,473534000.0,644905000.0,-157296000.0,,
Cash Flow From Discontinued Operation,0.0,0.0,0.0,8508000.0,35873000.0,,
Financing Cash Flow,-1012232000.0,-493215000.0,-560260000.0,-537377000.0,-1002217000.0,,
Cash Flow From Continuing Financing Activities,-1012232000.0,-493215000.0,-560260000.0,-537377000.0,-1002217000.0,,
Net Other Financing Charges,-30509000.0,-61246000.0,-64550000.0,-80683000.0,-201306000.0,,
Proceeds From Stock Option Exercised,,4315000.0,6190000.0,9495000.0,5329000.0,12998000.0,
Net Common Stock Issuance,-981723000.0,-417615000.0,-501900000.0,-271518000.0,-1000911000.0,,
Common Stock Payments,-981723000.0,-417615000.0,-501900000.0,-271518000.0,-1000911000.0,,
Net Issuance Payments Of Debt,0.0,-18669000.0,0.0,-200000000.0,200000000.0,,
Net Long Term Debt Issuance,0.0,-18669000.0,0.0,-200000000.0,200000000.0,,
Long Term Debt Payments,,-18669000.0,0.0,-200000000.0,0.0,-3559344000.0,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,200000000.0,,
Investing Cash Flow,-5247000.0,-828000.0,-19628000.0,401548000.0,-22664000.0,,
Cash Flow From Continuing Investing Activities,-5247000.0,-828000.0,-19628000.0,401548000.0,-22664000.0,,
Net Other Investing Changes,-5247000.0,27490000.0,-723000.0,-23154000.0,-3986000.0,,
Net Investment Purchase And Sale,0.0,0.0,-1500000.0,0.0,-18678000.0,,
Purchase Of Investment,0.0,0.0,-1500000.0,0.0,-18678000.0,,
Net Business Purchase And Sale,,0.0,-17405000.0,,,,
Sale Of Business,,0.0,-17405000.0,,,,
Net Intangibles Purchase And Sale,,,,,,,-3200000.0
Purchase Of Intangibles,,,,,,,-3200000.0
Operating Cash Flow,1291393000.0,1313734000.0,1053422000.0,772226000.0,831712000.0,,
Cash Flow From Continuing Operating Activities,1291393000.0,1313734000.0,1053422000.0,772226000.0,831712000.0,,
Change In Working Capital,-14779000.0,107867000.0,110364000.0,-57405000.0,-82904000.0,,
Change In Payables And Accrued Expense,133146000.0,288384000.0,81777000.0,-5788000.0,136339000.0,,
Change In Accrued Expense,182702000.0,57967000.0,118748000.0,-12283000.0,103794000.0,,
Change In Payable,-49556000.0,230417000.0,-36971000.0,6495000.0,32545000.0,,
Change In Account Payable,-49556000.0,230417000.0,-36971000.0,6495000.0,32545000.0,,
Change In Prepaid Assets,-9827000.0,50184000.0,63783000.0,72552000.0,-51861000.0,,
Change In Receivables,-138098000.0,-215472000.0,-35196000.0,-124169000.0,-167382000.0,,
Changes In Account Receivables,-138098000.0,-215472000.0,-35196000.0,-124169000.0,-167382000.0,,
Other Non Cash Items,-16478000.0,-189546000.0,72411000.0,130557000.0,8086000.0,,
Stock Based Compensation,83372000.0,,,,61281000.0,93833000.0,81557000.0
Asset Impairment Charge,0.0,50000000.0,0.0,0.0,188943000.0,,
Depreciation Amortization Depletion,33665000.0,32736000.0,35102000.0,47053000.0,79887000.0,,
Depreciation And Amortization,33665000.0,32736000.0,35102000.0,47053000.0,79887000.0,,
Amortization Cash Flow,33665000.0,32736000.0,35102000.0,47053000.0,79887000.0,,
Amortization Of Intangibles,33665000.0,32736000.0,35102000.0,47053000.0,79887000.0,,
Operating Gains Losses,,0.0,0.0,,,,
Gain Loss On Sale Of Business,,0.0,0.0,,,,
Net Income From Continuing Operations,1205613000.0,1102256000.0,835545000.0,819531000.0,576419000.0,,
