,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,52700000.0,704000000.0,-40600000.0,-11200000.0,42300000.0,
Repurchase Of Capital Stock,-150400000.0,-37500000.0,-112600000.0,-323300000.0,-76300000.0,
Repayment Of Debt,-5500000.0,-6200000.0,-405500000.0,-6000000.0,-5500000.0,
Issuance Of Debt,0.0,0.0,0.0,498200000.0,,0.0
Capital Expenditure,-92600000.0,-75600000.0,-93800000.0,-187300000.0,-79900000.0,
End Cash Position,1994700000.0,2039400000.0,1450000000.0,2097400000.0,1929400000.0,
Beginning Cash Position,2039400000.0,1450000000.0,2097400000.0,1929400000.0,1947000000.0,
Effect Of Exchange Rate Changes,-24500000.0,1600000.0,-15800000.0,76100000.0,32700000.0,
Changes In Cash,-20200000.0,587800000.0,-631600000.0,91900000.0,-50300000.0,
Financing Cash Flow,-211200000.0,-99300000.0,-573300000.0,114100000.0,-132800000.0,
Cash Flow From Continuing Financing Activities,-211200000.0,-99300000.0,-573300000.0,114100000.0,-132800000.0,
Net Other Financing Charges,-100000.0,-300000.0,100000.0,-4100000.0,,
Cash Dividends Paid,-55200000.0,-55300000.0,-55300000.0,-50700000.0,-51000000.0,
Common Stock Dividend Paid,-55200000.0,-55300000.0,-55300000.0,-50700000.0,-51000000.0,
Net Common Stock Issuance,-150400000.0,-37500000.0,-112600000.0,-323300000.0,-76300000.0,
Common Stock Payments,-150400000.0,-37500000.0,-112600000.0,-323300000.0,-76300000.0,
Net Issuance Payments Of Debt,-5500000.0,-6200000.0,-405500000.0,492200000.0,-5500000.0,
Net Long Term Debt Issuance,-5500000.0,-6200000.0,-405500000.0,492200000.0,-5500000.0,
Long Term Debt Payments,-5500000.0,-6200000.0,-405500000.0,-6000000.0,-5500000.0,
Long Term Debt Issuance,0.0,0.0,0.0,498200000.0,,0.0
Investing Cash Flow,45700000.0,-92500000.0,-111500000.0,-198300000.0,-39700000.0,
Cash Flow From Continuing Investing Activities,45700000.0,-92500000.0,-111500000.0,-198300000.0,-39700000.0,
Net Other Investing Changes,-1400000.0,-1500000.0,0.0,6000000.0,-1600000.0,
Net Investment Purchase And Sale,139700000.0,-15400000.0,-17700000.0,-17000000.0,41800000.0,
Sale Of Investment,216600000.0,177500000.0,175400000.0,154100000.0,195400000.0,
Purchase Of Investment,-76900000.0,-192900000.0,-193100000.0,-171100000.0,-153600000.0,
Capital Expenditure Reported,-51400000.0,-75600000.0,-93800000.0,-187300000.0,-79900000.0,
Operating Cash Flow,145300000.0,779600000.0,53200000.0,176100000.0,122200000.0,
Cash Flow From Continuing Operating Activities,145300000.0,779600000.0,53200000.0,176100000.0,122200000.0,
Change In Working Capital,-116200000.0,337700000.0,-262500000.0,-117300000.0,-3100000.0,
Change In Other Working Capital,-80800000.0,58600000.0,-129700000.0,-48800000.0,63000000.0,
Change In Payables And Accrued Expense,-135000000.0,121200000.0,70200000.0,85800000.0,-142400000.0,
Change In Prepaid Assets,17900000.0,-17400000.0,-21900000.0,1400000.0,34700000.0,
Change In Inventory,125000000.0,112400000.0,-46800000.0,-234800000.0,64100000.0,
Change In Receivables,-43300000.0,62900000.0,-134300000.0,79100000.0,-22500000.0,
Changes In Account Receivables,-43300000.0,62900000.0,-134300000.0,79100000.0,-22500000.0,
Other Non Cash Items,0.0,-2400000.0,9600000.0,-1800000.0,-12000000.0,
Stock Based Compensation,24300000.0,24900000.0,39400000.0,22400000.0,23200000.0,
Asset Impairment Charge,6900000.0,1200000.0,2800000.0,2700000.0,7300000.0,
Deferred Tax,17900000.0,-3100000.0,-600000.0,-5800000.0,-77200000.0,
Deferred Income Tax,17900000.0,-3100000.0,-600000.0,-5800000.0,-77200000.0,
Depreciation Amortization Depletion,60800000.0,59700000.0,57000000.0,55500000.0,55000000.0,
Depreciation And Amortization,60800000.0,59700000.0,57000000.0,55500000.0,55000000.0,
Net Income From Continuing Operations,151600000.0,361600000.0,207500000.0,220400000.0,129000000.0,
