,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,799400000.0,880000000.0,1374000000.0,737600000.0,773600000.0,
Repurchase Of Capital Stock,-867500000.0,-1190900000.0,-667000000.0,-1067100000.0,-1045700000.0,
Issuance Of Capital Stock,163100000.0,503500000.0,40300000.0,31500000.0,60600000.0,
Capital Expenditure,-279500000.0,-290700000.0,-244700000.0,-406800000.0,-271500000.0,
End Cash Position,2970600000.0,3123700000.0,2513100000.0,2015600000.0,3093000000.0,
Beginning Cash Position,3123700000.0,2513100000.0,2015600000.0,3093000000.0,2489000000.0,
Effect Of Exchange Rate Changes,-900000.0,-300000.0,-400000.0,400000.0,600000.0,
Changes In Cash,-152200000.0,610900000.0,497900000.0,-1077800000.0,603400000.0,
Financing Cash Flow,-802200000.0,-780100000.0,-717900000.0,-1128200000.0,-1089200000.0,
Cash Flow From Continuing Financing Activities,-802200000.0,-780100000.0,-717900000.0,-1128200000.0,-1089200000.0,
Net Other Financing Charges,,0.0,0.0,0.0,-10300000.0,0.0
Cash Dividends Paid,-97800000.0,-92700000.0,-91200000.0,-92600000.0,-93800000.0,
Common Stock Dividend Paid,-97800000.0,-92700000.0,-91200000.0,-92600000.0,-93800000.0,
Net Common Stock Issuance,-704400000.0,-687400000.0,-626700000.0,-1035600000.0,-985100000.0,
Common Stock Payments,-867500000.0,-1190900000.0,-667000000.0,-1067100000.0,-1045700000.0,
Common Stock Issuance,163100000.0,503500000.0,40300000.0,31500000.0,60600000.0,
Investing Cash Flow,-428900000.0,220300000.0,-402900000.0,-1094000000.0,647500000.0,
Cash Flow From Continuing Investing Activities,-428900000.0,220300000.0,-402900000.0,-1094000000.0,647500000.0,
Net Investment Purchase And Sale,-149400000.0,511300000.0,-155200000.0,-687200000.0,919000000.0,
Sale Of Investment,2606500000.0,2555000000.0,3365000000.0,2167900000.0,3458300000.0,
Purchase Of Investment,-2755900000.0,-2043700000.0,-3520200000.0,-2855100000.0,-2539300000.0,
Net Business Purchase And Sale,,-300000.0,-3000000.0,,,-11500000.0
Purchase Of Business,,-300000.0,-3000000.0,,,-11500000.0
Net Intangibles Purchase And Sale,-48900000.0,-42000000.0,-43300000.0,-187800000.0,-42200000.0,
Purchase Of Intangibles,-48900000.0,-42000000.0,-43300000.0,-187800000.0,-42200000.0,
Net PPE Purchase And Sale,,0.0,0.0,,,0.0
Sale Of PPE,,0.0,0.0,,,0.0
Capital Expenditure Reported,-230600000.0,-248700000.0,-201400000.0,-219000000.0,-229300000.0,
Operating Cash Flow,1078900000.0,1170700000.0,1618700000.0,1144400000.0,1045100000.0,
Cash Flow From Continuing Operating Activities,1078900000.0,1170700000.0,1618700000.0,1144400000.0,1045100000.0,
Change In Working Capital,36500000.0,5900000.0,625000000.0,-227900000.0,129600000.0,
Change In Other Working Capital,99600000.0,-3100000.0,76600000.0,-142900000.0,17700000.0,
Change In Payables And Accrued Expense,107700000.0,-24700000.0,759200000.0,216400000.0,-214100000.0,
Change In Payable,107700000.0,-24700000.0,759200000.0,216400000.0,-214100000.0,
Change In Account Payable,107700000.0,-24700000.0,759200000.0,216400000.0,-214100000.0,
Change In Prepaid Assets,-198600000.0,82800000.0,-47900000.0,-230700000.0,-179500000.0,
Change In Inventory,26600000.0,2100000.0,-82600000.0,-42500000.0,-152300000.0,
Change In Receivables,1200000.0,-51200000.0,-80300000.0,-28200000.0,657800000.0,
Changes In Account Receivables,1200000.0,-51200000.0,-80300000.0,-28200000.0,657800000.0,
Other Non Cash Items,55600000.0,136900000.0,16300000.0,-20900000.0,3200000.0,
Stock Based Compensation,257400000.0,249300000.0,237000000.0,251700000.0,255700000.0,
Deferred Tax,-96000000.0,-232500000.0,-278600000.0,-135200000.0,-139100000.0,
Deferred Income Tax,-96000000.0,-232500000.0,-278600000.0,-135200000.0,-139100000.0,
Depreciation Amortization Depletion,123200000.0,145000000.0,136700000.0,135100000.0,126900000.0,
Depreciation And Amortization,123200000.0,145000000.0,136700000.0,135100000.0,126900000.0,
Operating Gains Losses,-25000000.0,21500000.0,-577700000.0,-250000000.0,-139900000.0,
Gain Loss On Investment Securities,-25000000.0,21500000.0,-577700000.0,-250000000.0,-139900000.0,
Net Income From Continuing Operations,727200000.0,844600000.0,1460000000.0,1391600000.0,808700000.0,
