,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30
Free Cash Flow,1038000000.0,1194000000.0,1093000000.0,1046000000.0,1015000000.0,
Repurchase Of Capital Stock,0.0,-296000000.0,-500000000.0,-500000000.0,-497000000.0,
Repayment Of Debt,-67000000.0,-22000000.0,-625000000.0,-68000000.0,-42000000.0,
Issuance Of Debt,3692000000.0,0.0,997000000.0,,0.0,0.0
Issuance Of Capital Stock,724000000.0,32000000.0,18000000.0,52000000.0,32000000.0,
Capital Expenditure,-955000000.0,-757000000.0,-623000000.0,-1473000000.0,-997000000.0,
Interest Paid Supplemental Data,213000000.0,223000000.0,195000000.0,232000000.0,206000000.0,
Income Tax Paid Supplemental Data,1878000000.0,1078000000.0,112000000.0,-1135000000.0,1502000000.0,
End Cash Position,11688000000.0,6570000000.0,6166000000.0,5502000000.0,5135000000.0,
Beginning Cash Position,6570000000.0,6166000000.0,5502000000.0,5135000000.0,5029000000.0,
Effect Of Exchange Rate Changes,112000000.0,-54000000.0,27000000.0,127000000.0,11000000.0,
Changes In Cash,5006000000.0,458000000.0,637000000.0,240000000.0,95000000.0,
Financing Cash Flow,3968000000.0,-632000000.0,-460000000.0,-847000000.0,-863000000.0,
Cash Flow From Continuing Financing Activities,3968000000.0,-632000000.0,-460000000.0,-847000000.0,-863000000.0,
Net Other Financing Charges,-40000000.0,-4000000.0,-5000000.0,0.0,-24000000.0,
Cash Dividends Paid,-341000000.0,-342000000.0,-345000000.0,-331000000.0,-332000000.0,
Common Stock Dividend Paid,-341000000.0,-342000000.0,-345000000.0,-331000000.0,-332000000.0,
Net Common Stock Issuance,724000000.0,-264000000.0,-482000000.0,-448000000.0,-465000000.0,
Common Stock Payments,0.0,-296000000.0,-500000000.0,-500000000.0,-497000000.0,
Common Stock Issuance,724000000.0,32000000.0,18000000.0,52000000.0,32000000.0,
Net Issuance Payments Of Debt,3625000000.0,-22000000.0,372000000.0,-68000000.0,-42000000.0,
Net Long Term Debt Issuance,3625000000.0,-22000000.0,372000000.0,-68000000.0,-42000000.0,
Long Term Debt Payments,-67000000.0,-22000000.0,-625000000.0,-68000000.0,-42000000.0,
Long Term Debt Issuance,3692000000.0,0.0,997000000.0,,0.0,0.0
Investing Cash Flow,-955000000.0,-861000000.0,-619000000.0,-1432000000.0,-1054000000.0,
Cash Flow From Continuing Investing Activities,-955000000.0,-861000000.0,-619000000.0,-1432000000.0,-1054000000.0,
Net Other Investing Changes,24000000.0,41000000.0,8000000.0,73000000.0,8000000.0,
Net Investment Purchase And Sale,-24000000.0,-145000000.0,-4000000.0,-32000000.0,-65000000.0,
Sale Of Investment,77000000.0,147000000.0,30000000.0,33000000.0,25000000.0,
Purchase Of Investment,-101000000.0,-292000000.0,-34000000.0,-65000000.0,-90000000.0,
Capital Expenditure Reported,-955000000.0,-757000000.0,-623000000.0,-1473000000.0,-997000000.0,
Operating Cash Flow,1993000000.0,1951000000.0,1716000000.0,2519000000.0,2012000000.0,
Cash Flow From Continuing Operating Activities,1993000000.0,1951000000.0,1716000000.0,2519000000.0,2012000000.0,
Change In Working Capital,-1181000000.0,-1184000000.0,-1110000000.0,-601000000.0,-884000000.0,
Change In Other Working Capital,,42000000.0,-43000000.0,-609000000.0,-14000000.0,35000000.0
Change In Other Current Assets,12000000.0,-93000000.0,-160000000.0,158000000.0,43000000.0,
Change In Payables And Accrued Expense,-1419000000.0,-154000000.0,-571000000.0,938000000.0,-1300000000.0,
Change In Payable,-1419000000.0,-154000000.0,-571000000.0,938000000.0,-1300000000.0,
Change In Account Payable,-1419000000.0,-154000000.0,-571000000.0,938000000.0,-1300000000.0,
Change In Receivables,225000000.0,-979000000.0,-336000000.0,-1088000000.0,387000000.0,
Other Non Cash Items,744000000.0,818000000.0,635000000.0,732000000.0,757000000.0,
Stock Based Compensation,37000000.0,43000000.0,56000000.0,38000000.0,32000000.0,
Provisionand Write Offof Assets,225000000.0,250000000.0,219000000.0,139000000.0,132000000.0,
Depreciation Amortization Depletion,1112000000.0,1068000000.0,1092000000.0,1057000000.0,1066000000.0,
Depreciation And Amortization,1112000000.0,1068000000.0,1092000000.0,1057000000.0,1066000000.0,
Net Income From Continuing Operations,1056000000.0,956000000.0,824000000.0,1648000000.0,909000000.0,
