,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,41770000000.0,-22945000000.0,46874000000.0,-9132000000.0,-2184000000.0
Repurchase Of Capital Stock,-8240000000.0,-6310000000.0,-5300000000.0,-5302000000.0,-7190000000.0
Repayment Of Debt,-24777000000.0,-18138000000.0,-21929000000.0,-19631000000.0,-16333000000.0
Issuance Of Debt,35520000000.0,24012000000.0,18929000000.0,23286000000.0,33640000000.0
Issuance Of Capital Stock,,0.0,2497000000.0,,
End Cash Position,242479000000.0,231845000000.0,246507000000.0,266011000000.0,273579000000.0
Beginning Cash Position,231845000000.0,246507000000.0,266011000000.0,273579000000.0,290114000000.0
Effect Of Exchange Rate Changes,-600000000.0,-592000000.0,-331000000.0,3423000000.0,1827000000.0
Changes In Cash,11234000000.0,-14070000000.0,-19173000000.0,-10991000000.0,-18362000000.0
Financing Cash Flow,35915000000.0,10047000000.0,-67990000000.0,55059000000.0,72832000000.0
Cash Flow From Continuing Financing Activities,35915000000.0,10047000000.0,-67990000000.0,55059000000.0,72832000000.0
Net Other Financing Charges,-1751000000.0,306000000.0,239000000.0,63000000.0,-1221000000.0
Cash Dividends Paid,-2626000000.0,-2360000000.0,-2451000000.0,-2200000000.0,-2552000000.0
Net Preferred Stock Issuance,-1000000000.0,0.0,2497000000.0,2996000000.0,-2669000000.0
Preferred Stock Payments,-1000000000.0,0.0,0.0,0.0,-2669000000.0
Preferred Stock Issuance,,0.0,2497000000.0,,
Net Common Stock Issuance,-7240000000.0,-6310000000.0,-5300000000.0,-5302000000.0,-4521000000.0
Common Stock Payments,-7240000000.0,-6310000000.0,-5300000000.0,-5302000000.0,-4521000000.0
Net Issuance Payments Of Debt,21294000000.0,-238000000.0,3302000000.0,10076000000.0,15386000000.0
Net Short Term Debt Issuance,10551000000.0,-6112000000.0,6302000000.0,6421000000.0,-1921000000.0
Net Long Term Debt Issuance,10743000000.0,5874000000.0,-3000000000.0,3655000000.0,17307000000.0
Long Term Debt Payments,-24777000000.0,-18138000000.0,-21929000000.0,-19631000000.0,-16333000000.0
Long Term Debt Issuance,35520000000.0,24012000000.0,18929000000.0,23286000000.0,33640000000.0
Investing Cash Flow,-66451000000.0,-1172000000.0,1943000000.0,-56918000000.0,-89010000000.0
Cash Flow From Continuing Investing Activities,-66451000000.0,-1172000000.0,1943000000.0,-56918000000.0,-89010000000.0
Net Other Investing Changes,-1287000000.0,-1515000000.0,-554000000.0,-1463000000.0,-799000000.0
Net Investment Purchase And Sale,22088000000.0,11213000000.0,-4990000000.0,12478000000.0,-17298000000.0
Sale Of Investment,104270000000.0,77992000000.0,68076000000.0,64041000000.0,54777000000.0
Purchase Of Investment,-82182000000.0,-66779000000.0,-73066000000.0,-51563000000.0,-72075000000.0
Operating Cash Flow,41770000000.0,-22945000000.0,46874000000.0,-9132000000.0,-2184000000.0
Cash Flow From Continuing Operating Activities,41770000000.0,-22945000000.0,46874000000.0,-9132000000.0,-2184000000.0
Change In Working Capital,30076000000.0,-36136000000.0,34463000000.0,-18927000000.0,-12481000000.0
Change In Other Working Capital,20230000000.0,-39714000000.0,30536000000.0,-14879000000.0,-10970000000.0
Change In Other Current Assets,1068000000.0,4959000000.0,-5323000000.0,-23418000000.0,4198000000.0
Change In Payables And Accrued Expense,14541000000.0,-2924000000.0,10658000000.0,17889000000.0,-8308000000.0
Change In Accrued Expense,14541000000.0,-2924000000.0,10658000000.0,17889000000.0,-8308000000.0
Other Non Cash Items,238000000.0,2440000000.0,1555000000.0,-272000000.0,16000000.0
Stock Based Compensation,1032000000.0,969000000.0,1018000000.0,1015000000.0,999000000.0
Deferred Tax,101000000.0,550000000.0,5000000.0,-220000000.0,-40000000.0
Deferred Income Tax,101000000.0,550000000.0,5000000.0,-220000000.0,-40000000.0
Depreciation Amortization Depletion,605000000.0,594000000.0,584000000.0,571000000.0,565000000.0
Depreciation And Amortization,605000000.0,594000000.0,584000000.0,571000000.0,565000000.0
Operating Gains Losses,-3000000.0,-3000000.0,3000000.0,18000000.0,2000000.0
Gain Loss On Investment Securities,-3000000.0,-3000000.0,3000000.0,18000000.0,2000000.0
Net Income From Continuing Operations,8584000000.0,7528000000.0,8469000000.0,7152000000.0,7360000000.0
