,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1193000000.0,2586000000.0,1512000000.0,-775000000.0,1442000000.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,-1000000000.0,
Repayment Of Debt,-46000000.0,-924000000.0,-83000000.0,-1030000000.0,-32000000.0,
Issuance Of Debt,0.0,0.0,0.0,4128000000.0,25000000.0,
Issuance Of Capital Stock,28000000.0,26000000.0,31000000.0,47000000.0,55000000.0,
Capital Expenditure,-1031000000.0,-716000000.0,-970000000.0,-1123000000.0,-876000000.0,
End Cash Position,5802000000.0,5887000000.0,6764000000.0,6194000000.0,4802000000.0,
Beginning Cash Position,5887000000.0,6764000000.0,6194000000.0,4802000000.0,6112000000.0,
Effect Of Exchange Rate Changes,-37000000.0,16000000.0,-28000000.0,173000000.0,40000000.0,
Changes In Cash,-48000000.0,-893000000.0,598000000.0,1219000000.0,-1350000000.0,
Financing Cash Flow,-1328000000.0,-2194000000.0,-1428000000.0,1794000000.0,-2313000000.0,
Cash Flow From Continuing Financing Activities,-1328000000.0,-2194000000.0,-1428000000.0,1794000000.0,-2313000000.0,
Net Other Financing Charges,42000000.0,57000000.0,-28000000.0,-2000000.0,-13000000.0,
Cash Dividends Paid,-1352000000.0,-1353000000.0,-1348000000.0,-1349000000.0,-1348000000.0,
Common Stock Dividend Paid,-1352000000.0,-1353000000.0,-1348000000.0,-1349000000.0,-1348000000.0,
Net Common Stock Issuance,28000000.0,26000000.0,31000000.0,47000000.0,-945000000.0,
Common Stock Payments,0.0,0.0,0.0,0.0,-1000000000.0,
Common Stock Issuance,28000000.0,26000000.0,31000000.0,47000000.0,55000000.0,
Net Issuance Payments Of Debt,-46000000.0,-924000000.0,-83000000.0,3098000000.0,-7000000.0,
Net Short Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0
Net Long Term Debt Issuance,-46000000.0,-924000000.0,-83000000.0,3098000000.0,-7000000.0,
Long Term Debt Payments,-46000000.0,-924000000.0,-83000000.0,-1030000000.0,-32000000.0,
Long Term Debt Issuance,0.0,0.0,0.0,4128000000.0,25000000.0,
Investing Cash Flow,-944000000.0,-2001000000.0,-456000000.0,-923000000.0,-1355000000.0,
Cash Flow From Continuing Investing Activities,-944000000.0,-2001000000.0,-456000000.0,-923000000.0,-1355000000.0,
Net Other Investing Changes,5000000.0,25000000.0,-4000000.0,4000000.0,-10000000.0,
Net Investment Purchase And Sale,0.0,64000000.0,24000000.0,171000000.0,-56000000.0,
Sale Of Investment,0.0,64000000.0,24000000.0,171000000.0,34000000.0,
Purchase Of Investment,0.0,0.0,0.0,0.0,-90000000.0,
Net Business Purchase And Sale,82000000.0,-1374000000.0,494000000.0,25000000.0,-413000000.0,
Sale Of Business,82000000.0,115000000.0,494000000.0,26000000.0,65000000.0,
Purchase Of Business,0.0,-1489000000.0,0.0,-1000000.0,-478000000.0,
Capital Expenditure Reported,-1031000000.0,-716000000.0,-970000000.0,-1123000000.0,-876000000.0,
Operating Cash Flow,2224000000.0,3302000000.0,2482000000.0,348000000.0,2318000000.0,
Cash Flow From Continuing Operating Activities,2224000000.0,3302000000.0,2482000000.0,348000000.0,2318000000.0,
Change In Working Capital,139000000.0,-240000000.0,641000000.0,-1390000000.0,-8000000.0,
Change In Other Current Liabilities,29000000.0,11000000.0,381000000.0,-1210000000.0,301000000.0,
Change In Other Current Assets,-27000000.0,145000000.0,60000000.0,-147000000.0,7000000.0,
Change In Payables And Accrued Expense,-948000000.0,840000000.0,-114000000.0,387000000.0,-1276000000.0,
Change In Accrued Expense,-453000000.0,229000000.0,245000000.0,-77000000.0,-370000000.0,
Change In Payable,-495000000.0,611000000.0,-359000000.0,464000000.0,-906000000.0,
Change In Account Payable,-495000000.0,611000000.0,-359000000.0,464000000.0,-906000000.0,
Change In Receivables,1085000000.0,-1236000000.0,314000000.0,-420000000.0,960000000.0,
Changes In Account Receivables,1085000000.0,-1236000000.0,314000000.0,-420000000.0,960000000.0,
Other Non Cash Items,15000000.0,338000000.0,-210000000.0,-3000000.0,55000000.0,
Stock Based Compensation,24000000.0,32000000.0,25000000.0,-5000000.0,21000000.0,
Provisionand Write Offof Assets,16000000.0,160000000.0,-93000000.0,168000000.0,1000000.0,
Deferred Tax,45000000.0,26000000.0,50000000.0,-44000000.0,-40000000.0,
Deferred Income Tax,45000000.0,26000000.0,50000000.0,-44000000.0,-40000000.0,
Depreciation Amortization Depletion,985000000.0,972000000.0,926000000.0,936000000.0,912000000.0,
Depreciation And Amortization,985000000.0,972000000.0,926000000.0,936000000.0,912000000.0,
Operating Gains Losses,136000000.0,223000000.0,-168000000.0,-597000000.0,190000000.0,
Pension And Employee Benefit Expense,136000000.0,223000000.0,-168000000.0,-597000000.0,190000000.0,
Net Income From Continuing Operations,864000000.0,1791000000.0,1311000000.0,1283000000.0,1187000000.0,
