,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2024-10-31
Free Cash Flow,98638000.0,515991000.0,248075000.0,230686000.0,60699000.0,
Repurchase Of Capital Stock,-287805000.0,-298259000.0,-266595000.0,-199137000.0,-89971000.0,
Capital Expenditure,-57685000.0,-80933000.0,-68212000.0,-52043000.0,-58250000.0,
End Cash Position,651601000.0,1019801000.0,884663000.0,985823000.0,1047181000.0,
Beginning Cash Position,1019801000.0,884663000.0,985823000.0,1047181000.0,1212977000.0,
Effect Of Exchange Rate Changes,133000.0,1354000.0,-260000.0,310000.0,3479000.0,
Changes In Cash,-368333000.0,133784000.0,-100900000.0,-61668000.0,-169275000.0,
Financing Cash Flow,-466981000.0,-382241000.0,-348998000.0,-291138000.0,-229995000.0,
Cash Flow From Continuing Financing Activities,-466981000.0,-382241000.0,-348998000.0,-291138000.0,-229995000.0,
Net Other Financing Charges,-93596000.0,-4127000.0,-1768000.0,-10674000.0,-65357000.0,
Cash Dividends Paid,-85580000.0,-79855000.0,-80635000.0,-81327000.0,-74667000.0,
Common Stock Dividend Paid,-85580000.0,-79855000.0,-80635000.0,-81327000.0,-74667000.0,
Net Common Stock Issuance,-287805000.0,-298259000.0,-266595000.0,-199137000.0,-89971000.0,
Common Stock Payments,-287805000.0,-298259000.0,-266595000.0,-199137000.0,-89971000.0,
Investing Cash Flow,-57675000.0,-80899000.0,-68189000.0,-53259000.0,-58229000.0,
Cash Flow From Continuing Investing Activities,-57675000.0,-80899000.0,-68189000.0,-53259000.0,-58229000.0,
Net Other Investing Changes,10000.0,34000.0,23000.0,-1216000.0,21000.0,
Net PPE Purchase And Sale,-57685000.0,-80933000.0,-68212000.0,-52043000.0,-58250000.0,
Purchase Of PPE,-57685000.0,-80933000.0,-68212000.0,-52043000.0,-58250000.0,
Operating Cash Flow,156323000.0,596924000.0,316287000.0,282729000.0,118949000.0,
Cash Flow From Continuing Operating Activities,156323000.0,596924000.0,316287000.0,282729000.0,118949000.0,
Change In Working Capital,-238729000.0,81471000.0,-82376000.0,-128852000.0,-258775000.0,
Change In Other Working Capital,19023000.0,10095000.0,14417000.0,-11242000.0,4173000.0,
Change In Other Current Liabilities,-63319000.0,-67245000.0,-65025000.0,-62127000.0,-63850000.0,
Change In Payables And Accrued Expense,-196341000.0,73318000.0,63884000.0,70063000.0,-190534000.0,
Change In Accrued Expense,-148910000.0,68972000.0,46456000.0,61064000.0,-139206000.0,
Change In Payable,-47431000.0,4346000.0,17428000.0,8999000.0,-51328000.0,
Change In Account Payable,-82408000.0,-36826000.0,53986000.0,47060000.0,-96022000.0,
Change In Tax Payable,34977000.0,41172000.0,-36558000.0,-38061000.0,44694000.0,
Change In Income Tax Payable,34977000.0,41172000.0,-36558000.0,-38061000.0,44694000.0,
Change In Prepaid Assets,5801000.0,3412000.0,4775000.0,-35003000.0,-2956000.0,
Change In Inventory,8598000.0,70185000.0,-97499000.0,-97873000.0,-689000.0,
Change In Receivables,-12491000.0,-8294000.0,-2928000.0,7330000.0,-4919000.0,
Changes In Account Receivables,-12491000.0,-8294000.0,-2928000.0,7330000.0,-4919000.0,
Other Non Cash Items,61696000.0,65573000.0,62801000.0,60814000.0,59847000.0,
Excess Tax Benefit From Stock Based Compensation,11755000.0,,263000.0,776000.0,10647000.0,333000.0
Stock Based Compensation,29540000.0,29370000.0,30178000.0,26584000.0,20390000.0,
Deferred Tax,3912000.0,878000.0,4779000.0,16217000.0,-1559000.0,
Deferred Income Tax,3912000.0,878000.0,4779000.0,16217000.0,-1559000.0,
Depreciation Amortization Depletion,56116000.0,60773000.0,57511000.0,56761000.0,56404000.0,
Depreciation And Amortization,56116000.0,60773000.0,57511000.0,56761000.0,56404000.0,
Operating Gains Losses,671000.0,2525000.0,1539000.0,2867000.0,732000.0,
Net Income From Continuing Operations,231362000.0,368020000.0,241592000.0,247562000.0,231263000.0,
