,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Free Cash Flow,5188000000.0,2289000000.0,3112000000.0,3726000000.0,3519000000.0,,
Repurchase Of Capital Stock,,0.0,0.0,0.0,0.0,0.0,
Repayment Of Debt,-2386000000.0,-1636000000.0,-2205000000.0,185000000.0,-1384000000.0,,
Issuance Of Debt,69000000.0,-2834000000.0,4919000000.0,47000000.0,29000000.0,,
Issuance Of Capital Stock,33000000.0,129000000.0,22000000.0,152000000.0,11000000.0,,
Capital Expenditure,-844000000.0,-1058000000.0,-898000000.0,-917000000.0,-806000000.0,,
Interest Paid Supplemental Data,638000000.0,570000000.0,646000000.0,541000000.0,648000000.0,,
Income Tax Paid Supplemental Data,180000000.0,858000000.0,898000000.0,1994000000.0,1098000000.0,,
End Cash Position,1601000000.0,1389000000.0,1684000000.0,2804000000.0,1369000000.0,,
Beginning Cash Position,1389000000.0,1684000000.0,2804000000.0,1369000000.0,1659000000.0,,
Effect Of Exchange Rate Changes,2000000.0,53000000.0,-3000000.0,-23000000.0,72000000.0,,
Changes In Cash,210000000.0,-348000000.0,-1117000000.0,1458000000.0,-362000000.0,,
Financing Cash Flow,-4713000000.0,-2480000000.0,746000000.0,-2224000000.0,-3756000000.0,,
Cash Flow From Continuing Financing Activities,-4713000000.0,-2480000000.0,746000000.0,-2224000000.0,-3756000000.0,,
Net Other Financing Charges,-109000000.0,2000000.0,-17000000.0,-4000000.0,-126000000.0,,
Cash Dividends Paid,-2320000000.0,-2289000000.0,-2289000000.0,-2288000000.0,-2286000000.0,,
Common Stock Dividend Paid,-2320000000.0,-2289000000.0,-2289000000.0,-2288000000.0,-2286000000.0,,
Net Common Stock Issuance,33000000.0,129000000.0,22000000.0,152000000.0,11000000.0,,
Common Stock Payments,,0.0,0.0,0.0,0.0,0.0,
Common Stock Issuance,33000000.0,129000000.0,22000000.0,152000000.0,11000000.0,,
Net Issuance Payments Of Debt,-2317000000.0,-322000000.0,3030000000.0,-84000000.0,-1355000000.0,,
Net Short Term Debt Issuance,-961000000.0,1264000000.0,3200000000.0,-38000000.0,-278000000.0,,
Short Term Debt Payments,-961000000.0,,,,-278000000.0,,
Short Term Debt Issuance,,,,,,,-1183000000.0
Net Long Term Debt Issuance,-1356000000.0,-1586000000.0,-170000000.0,-46000000.0,-1077000000.0,,
Long Term Debt Payments,-1425000000.0,-1636000000.0,-2205000000.0,-93000000.0,-1106000000.0,,
Long Term Debt Issuance,69000000.0,50000000.0,2035000000.0,47000000.0,29000000.0,,
Investing Cash Flow,-1109000000.0,-1215000000.0,-5873000000.0,-961000000.0,-931000000.0,,
Cash Flow From Continuing Investing Activities,-1109000000.0,-1215000000.0,-5873000000.0,-961000000.0,-931000000.0,,
Net Other Investing Changes,21000000.0,5000000.0,40000000.0,33000000.0,31000000.0,,
Net Business Purchase And Sale,-286000000.0,-162000000.0,-5015000000.0,-77000000.0,-156000000.0,,
Purchase Of Business,-286000000.0,-162000000.0,-5015000000.0,-77000000.0,-156000000.0,,
Capital Expenditure Reported,-844000000.0,-1058000000.0,-898000000.0,-917000000.0,-806000000.0,,
Operating Cash Flow,6032000000.0,3347000000.0,4010000000.0,4643000000.0,4325000000.0,,
Cash Flow From Continuing Operating Activities,6032000000.0,3347000000.0,4010000000.0,4643000000.0,4325000000.0,,
Change In Working Capital,1402000000.0,-451000000.0,-884000000.0,-1084000000.0,-247000000.0,,
Change In Other Working Capital,171000000.0,-34000000.0,-75000000.0,315000000.0,151000000.0,,
Change In Other Current Assets,-76000000.0,-125000000.0,439000000.0,-356000000.0,166000000.0,,
Change In Payables And Accrued Expense,3771000000.0,-1880000000.0,-460000000.0,-2040000000.0,2624000000.0,,
Change In Payable,3771000000.0,-1880000000.0,-460000000.0,-2040000000.0,2624000000.0,,
Change In Account Payable,3036000000.0,-1907000000.0,-474000000.0,-1303000000.0,2626000000.0,,
Change In Tax Payable,735000000.0,27000000.0,14000000.0,-737000000.0,-2000000.0,,
Change In Income Tax Payable,735000000.0,27000000.0,14000000.0,-737000000.0,-2000000.0,,
Change In Inventory,-1435000000.0,476000000.0,-769000000.0,998000000.0,-2203000000.0,,
Change In Receivables,-1029000000.0,1112000000.0,-19000000.0,-1000000.0,-985000000.0,,
Other Non Cash Items,82000000.0,34000000.0,129000000.0,54000000.0,-25000000.0,,
Stock Based Compensation,178000000.0,114000000.0,120000000.0,118000000.0,170000000.0,,
Depreciation Amortization Depletion,1081000000.0,1079000000.0,1044000000.0,1004000000.0,994000000.0,,
Depreciation And Amortization,1081000000.0,1079000000.0,1044000000.0,1004000000.0,994000000.0,,
Amortization Cash Flow,171000000.0,171000000.0,158000000.0,139000000.0,139000000.0,,
Amortization Of Intangibles,171000000.0,171000000.0,158000000.0,139000000.0,139000000.0,,
Depreciation,910000000.0,908000000.0,886000000.0,865000000.0,855000000.0,,
Net Income From Continuing Operations,3289000000.0,2571000000.0,3601000000.0,4551000000.0,3433000000.0,,
