,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Free Cash Flow,2829000000.0,964000000.0,90000000.0,3736000000.0,2861000000.0,,
Repurchase Of Capital Stock,-363000000.0,0.0,-98000000.0,-1000000.0,-112000000.0,,
Repayment Of Debt,-2376000000.0,-19000000.0,-1772000000.0,-18000000.0,-778000000.0,,
Issuance Of Debt,,0.0,,,,0.0,0.0
Capital Expenditure,-521000000.0,-603000000.0,-597000000.0,-495000000.0,-518000000.0,,
Interest Paid Supplemental Data,751000000.0,118000000.0,650000000.0,56000000.0,665000000.0,,
Income Tax Paid Supplemental Data,47000000.0,355000000.0,1493000000.0,612000000.0,45000000.0,,
End Cash Position,786000000.0,982000000.0,621000000.0,4860000000.0,3054000000.0,,
Beginning Cash Position,982000000.0,621000000.0,4860000000.0,3054000000.0,1761000000.0,,
Changes In Cash,-196000000.0,361000000.0,-4239000000.0,1806000000.0,1293000000.0,,
Financing Cash Flow,-3045000000.0,-629000000.0,4418000000.0,-615000000.0,-1553000000.0,,
Cash Flow From Continuing Financing Activities,-3045000000.0,-629000000.0,4418000000.0,-615000000.0,-1553000000.0,,
Net Other Financing Charges,-12000000.0,-4000000.0,-25000000.0,-19000000.0,-20000000.0,,
Proceeds From Stock Option Exercised,2000000.0,67000000.0,12000000.0,68000000.0,2000000.0,,
Cash Dividends Paid,-674000000.0,-673000000.0,-673000000.0,-645000000.0,-645000000.0,,
Common Stock Dividend Paid,-674000000.0,-673000000.0,-673000000.0,-645000000.0,-645000000.0,,
Net Common Stock Issuance,-363000000.0,0.0,-98000000.0,-1000000.0,-112000000.0,,
Common Stock Payments,-363000000.0,0.0,-98000000.0,-1000000.0,-112000000.0,,
Net Issuance Payments Of Debt,-1998000000.0,-19000000.0,5202000000.0,-18000000.0,-778000000.0,,
Net Short Term Debt Issuance,378000000.0,,,,0.0,0.0,0.0
Net Long Term Debt Issuance,-2376000000.0,-19000000.0,5202000000.0,-18000000.0,-778000000.0,,
Long Term Debt Payments,-2376000000.0,-19000000.0,-1772000000.0,-18000000.0,-778000000.0,,
Long Term Debt Issuance,,0.0,,,,0.0,0.0
Investing Cash Flow,-501000000.0,-577000000.0,-9344000000.0,-1810000000.0,-533000000.0,,
Cash Flow From Continuing Investing Activities,-501000000.0,-577000000.0,-9344000000.0,-1810000000.0,-533000000.0,,
Net Other Investing Changes,32000000.0,-1000000.0,-4000000.0,-4000000.0,-1000000.0,,
Net Investment Purchase And Sale,-18000000.0,3000000.0,-20000000.0,-2000000.0,-16000000.0,,
Sale Of Investment,319000000.0,406000000.0,425000000.0,452000000.0,375000000.0,,
Purchase Of Investment,-337000000.0,-403000000.0,-445000000.0,-454000000.0,-391000000.0,,
Net Business Purchase And Sale,,-33000000.0,-8741000000.0,,,80000000.0,54000000.0
Sale Of Business,,0.0,0.0,,,80000000.0,54000000.0
Purchase Of Business,,-33000000.0,-8741000000.0,,,,0.0
Net PPE Purchase And Sale,6000000.0,57000000.0,18000000.0,5000000.0,2000000.0,,
Sale Of PPE,6000000.0,57000000.0,18000000.0,5000000.0,2000000.0,,
Capital Expenditure Reported,-521000000.0,-603000000.0,-597000000.0,-495000000.0,-518000000.0,,
Operating Cash Flow,3350000000.0,1567000000.0,687000000.0,4231000000.0,3379000000.0,,
Cash Flow From Continuing Operating Activities,3350000000.0,1567000000.0,687000000.0,4231000000.0,3379000000.0,,
Change In Working Capital,637000000.0,-547000000.0,-1631000000.0,1170000000.0,896000000.0,,
Change In Other Current Liabilities,-242000000.0,314000000.0,-1704000000.0,762000000.0,-17000000.0,,
Change In Other Current Assets,-125000000.0,-269000000.0,28000000.0,101000000.0,-103000000.0,,
Change In Payables And Accrued Expense,2212000000.0,-479000000.0,402000000.0,-1795000000.0,1945000000.0,,
Change In Payable,2212000000.0,-479000000.0,402000000.0,-1795000000.0,1945000000.0,,
Change In Account Payable,2212000000.0,-479000000.0,402000000.0,-1795000000.0,1945000000.0,,
Change In Inventory,-1145000000.0,-113000000.0,-357000000.0,2099000000.0,-926000000.0,,
Change In Receivables,-63000000.0,,,,-3000000.0,,
Changes In Account Receivables,-63000000.0,,,,-3000000.0,,
Other Non Cash Items,169000000.0,167000000.0,138000000.0,136000000.0,131000000.0,,
Stock Based Compensation,65000000.0,70000000.0,60000000.0,59000000.0,58000000.0,,
Deferred Tax,203000000.0,232000000.0,-46000000.0,-56000000.0,126000000.0,,
Deferred Income Tax,203000000.0,232000000.0,-46000000.0,-56000000.0,126000000.0,,
Depreciation Amortization Depletion,644000000.0,637000000.0,535000000.0,515000000.0,507000000.0,,
Depreciation And Amortization,644000000.0,637000000.0,535000000.0,515000000.0,507000000.0,,
Operating Gains Losses,4000000.0,,15000000.0,10000000.0,20000000.0,-91000000.0,
Gain Loss On Sale Of PPE,4000000.0,,15000000.0,10000000.0,20000000.0,,15000000.0
Gain Loss On Sale Of Business,,0.0,0.0,,,-80000000.0,-54000000.0
Net Income From Continuing Operations,1628000000.0,1000000000.0,1616000000.0,2397000000.0,1641000000.0,,
