,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2566000000.0,2378000000.0,1901000000.0,1729000000.0,727000000.0,,
Repurchase Of Capital Stock,-355000000.0,-160000000.0,-460000000.0,-524000000.0,-779000000.0,,
Repayment Of Debt,,0.0,0.0,,,0.0,0.0
Issuance Of Debt,0.0,0.0,0.0,0.0,2441000000.0,,
Capital Expenditure,-389000000.0,-222000000.0,-258000000.0,-282000000.0,-212000000.0,,
Income Tax Paid Supplemental Data,30000000.0,66000000.0,58000000.0,632000000.0,128000000.0,,
End Cash Position,5596000000.0,5556000000.0,4825000000.0,4453000000.0,6059000000.0,,
Beginning Cash Position,5556000000.0,4825000000.0,4453000000.0,6059000000.0,3811000000.0,,
Changes In Cash,40000000.0,731000000.0,372000000.0,-1606000000.0,2248000000.0,,
Financing Cash Flow,-350000000.0,-328000000.0,-450000000.0,-1319000000.0,1666000000.0,,
Cash Flow From Continuing Financing Activities,-350000000.0,-328000000.0,-450000000.0,-1319000000.0,1666000000.0,,
Net Other Financing Charges,,,,,,0.0,0.0
Proceeds From Stock Option Exercised,5000000.0,116000000.0,10000000.0,155000000.0,4000000.0,,
Net Common Stock Issuance,-355000000.0,-160000000.0,-460000000.0,-524000000.0,-779000000.0,,
Common Stock Payments,-355000000.0,-160000000.0,-460000000.0,-524000000.0,-779000000.0,,
Net Issuance Payments Of Debt,0.0,0.0,0.0,-950000000.0,2441000000.0,,
Net Short Term Debt Issuance,,,,,947000000.0,,
Short Term Debt Issuance,,,,,947000000.0,,
Net Long Term Debt Issuance,0.0,0.0,0.0,-950000000.0,2441000000.0,,
Long Term Debt Payments,,0.0,0.0,,,0.0,0.0
Long Term Debt Issuance,0.0,0.0,0.0,0.0,2441000000.0,,
Investing Cash Flow,-2565000000.0,-1541000000.0,-1337000000.0,-2298000000.0,-357000000.0,,
Cash From Discontinued Investing Activities,,1348000000.0,-8000000.0,,,,
Cash Flow From Continuing Investing Activities,-2565000000.0,-2889000000.0,-1329000000.0,-2276000000.0,-357000000.0,,
Net Other Investing Changes,,,,,,31000000.0,-17000000.0
Net Investment Purchase And Sale,-2176000000.0,-2633000000.0,-1071000000.0,-278000000.0,-145000000.0,,
Sale Of Investment,778000000.0,797000000.0,317000000.0,333000000.0,398000000.0,,
Purchase Of Investment,-2954000000.0,-3430000000.0,-1388000000.0,-611000000.0,-543000000.0,,
Net Business Purchase And Sale,,-44000000.0,0.0,,,0.0,-565000000.0
Purchase Of Business,,-44000000.0,0.0,,,0.0,-565000000.0
Net PPE Purchase And Sale,-389000000.0,-222000000.0,-258000000.0,-282000000.0,-212000000.0,,
Purchase Of PPE,-389000000.0,-222000000.0,-258000000.0,-282000000.0,-212000000.0,,
Operating Cash Flow,2955000000.0,2600000000.0,2159000000.0,2011000000.0,939000000.0,,
Cash From Discontinued Operating Activities,,296000000.0,371000000.0,,,,
Cash Flow From Continuing Operating Activities,2955000000.0,2304000000.0,1788000000.0,1462000000.0,939000000.0,,
Change In Working Capital,456000000.0,-1386000000.0,-708000000.0,464000000.0,-748000000.0,,
Change In Other Working Capital,,,,,,30000000.0,36000000.0
Change In Payables And Accrued Expense,609000000.0,-910000000.0,895000000.0,535000000.0,-577000000.0,,
Change In Accrued Expense,713000000.0,-322000000.0,444000000.0,-301000000.0,-288000000.0,,
Change In Payable,-104000000.0,-588000000.0,451000000.0,836000000.0,-289000000.0,,
Change In Account Payable,-104000000.0,-588000000.0,451000000.0,836000000.0,-289000000.0,,
Change In Prepaid Assets,-308000000.0,248000000.0,118000000.0,-140000000.0,-237000000.0,,
Change In Inventory,-125000000.0,-610000000.0,-636000000.0,-261000000.0,-682000000.0,,
Change In Receivables,280000000.0,-114000000.0,-1085000000.0,330000000.0,748000000.0,,
Changes In Account Receivables,280000000.0,-114000000.0,-1085000000.0,330000000.0,748000000.0,,
Other Non Cash Items,28000000.0,91000000.0,-67000000.0,-8000000.0,37000000.0,,
Stock Based Compensation,487000000.0,486000000.0,419000000.0,369000000.0,364000000.0,,
Deferred Tax,-79000000.0,1083000000.0,218000000.0,-886000000.0,-167000000.0,,
Deferred Income Tax,-79000000.0,1083000000.0,218000000.0,-886000000.0,-167000000.0,,
Depreciation Amortization Depletion,757000000.0,751000000.0,754000000.0,757000000.0,742000000.0,,
Depreciation And Amortization,757000000.0,751000000.0,754000000.0,757000000.0,742000000.0,,
Amortization Cash Flow,551000000.0,557000000.0,562000000.0,568000000.0,567000000.0,,
Amortization Of Intangibles,551000000.0,557000000.0,562000000.0,568000000.0,567000000.0,,
Depreciation,206000000.0,194000000.0,192000000.0,189000000.0,175000000.0,,
Operating Gains Losses,-66000000.0,,,,2000000.0,,
Gain Loss On Investment Securities,-66000000.0,,,,2000000.0,,
Net Income From Continuing Operations,1372000000.0,1620000000.0,1172000000.0,768000000.0,709000000.0,,
