,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,18000000.0,460000000.0,281000000.0,207000000.0,-38000000.0,,
Repurchase Of Capital Stock,-563000000.0,-1000000.0,-1000000.0,0.0,-13000000.0,,
Repayment Of Debt,-4000000.0,-22000000.0,-32000000.0,-24000000.0,-4000000.0,,
Issuance Of Debt,0.0,0.0,-3000000.0,3000000.0,1000000.0,,
Capital Expenditure,-90000000.0,-83000000.0,-79000000.0,-98000000.0,-71000000.0,,
Interest Paid Supplemental Data,11000000.0,18000000.0,11000000.0,20000000.0,12000000.0,,
Income Tax Paid Supplemental Data,28000000.0,59000000.0,33000000.0,138000000.0,37000000.0,,
End Cash Position,808000000.0,1479000000.0,1191000000.0,1170000000.0,1059000000.0,,
Other Cash Adjustment Outside Changein Cash,-5000000.0,,,0.0,11000000.0,,
Beginning Cash Position,1479000000.0,1191000000.0,1170000000.0,1059000000.0,1121000000.0,,
Effect Of Exchange Rate Changes,-15000000.0,7000000.0,-1000000.0,59000000.0,25000000.0,,
Changes In Cash,-651000000.0,282000000.0,33000000.0,52000000.0,-98000000.0,,
Financing Cash Flow,-683000000.0,-119000000.0,-138000000.0,-128000000.0,-116000000.0,,
Cash Flow From Continuing Financing Activities,-683000000.0,-119000000.0,-138000000.0,-128000000.0,-116000000.0,,
Net Other Financing Charges,-10000000.0,-7000000.0,-8000000.0,-11000000.0,-8000000.0,,
Proceeds From Stock Option Exercised,0.0,9000000.0,3000000.0,2000000.0,6000000.0,,
Cash Dividends Paid,-106000000.0,-98000000.0,-97000000.0,-98000000.0,-98000000.0,,
Common Stock Dividend Paid,-106000000.0,-98000000.0,-97000000.0,-98000000.0,-98000000.0,,
Net Common Stock Issuance,-563000000.0,-1000000.0,-1000000.0,0.0,-13000000.0,,
Common Stock Payments,-563000000.0,-1000000.0,-1000000.0,0.0,-13000000.0,,
Net Issuance Payments Of Debt,-4000000.0,-22000000.0,-35000000.0,-21000000.0,-3000000.0,,
Net Short Term Debt Issuance,0.0,0.0,-3000000.0,3000000.0,1000000.0,,
Short Term Debt Payments,,0.0,0.0,,,0.0,0.0
Short Term Debt Issuance,0.0,0.0,-3000000.0,3000000.0,1000000.0,,
Net Long Term Debt Issuance,-4000000.0,-22000000.0,-32000000.0,-24000000.0,-4000000.0,,
Long Term Debt Payments,-4000000.0,-22000000.0,-32000000.0,-24000000.0,-4000000.0,,
Long Term Debt Issuance,,,,,,1000000.0,0.0
Investing Cash Flow,-76000000.0,-142000000.0,-189000000.0,-125000000.0,-15000000.0,,
Cash Flow From Continuing Investing Activities,-76000000.0,-142000000.0,-189000000.0,-125000000.0,-15000000.0,,
Net Other Investing Changes,-1000000.0,-1000000.0,1000000.0,-36000000.0,-1000000.0,,
Net Investment Purchase And Sale,14000000.0,-16000000.0,-11000000.0,10000000.0,11000000.0,,
Sale Of Investment,14000000.0,7000000.0,15000000.0,9000000.0,12000000.0,,
Purchase Of Investment,0.0,-23000000.0,-26000000.0,1000000.0,-1000000.0,,
Net Business Purchase And Sale,0.0,-44000000.0,-110000000.0,-1000000.0,41000000.0,,
Sale Of Business,0.0,1000000.0,-2000000.0,2000000.0,48000000.0,,
Purchase Of Business,0.0,-45000000.0,-108000000.0,-3000000.0,-7000000.0,,
Net PPE Purchase And Sale,1000000.0,2000000.0,10000000.0,0.0,5000000.0,,
Sale Of PPE,1000000.0,2000000.0,10000000.0,0.0,5000000.0,,
Capital Expenditure Reported,-90000000.0,-83000000.0,-79000000.0,-98000000.0,-71000000.0,,
Operating Cash Flow,108000000.0,543000000.0,360000000.0,305000000.0,33000000.0,,
Cash Flow From Continuing Operating Activities,108000000.0,543000000.0,360000000.0,305000000.0,33000000.0,,
Change In Working Capital,-216000000.0,127000000.0,-61000000.0,-85000000.0,-314000000.0,,
Change In Other Working Capital,-48000000.0,196000000.0,-35000000.0,-64000000.0,-161000000.0,,
Change In Payables And Accrued Expense,-61000000.0,-34000000.0,-13000000.0,20000000.0,-64000000.0,,
Change In Payable,-61000000.0,35000000.0,-63000000.0,70000000.0,-64000000.0,,
Change In Account Payable,-61000000.0,23000000.0,-51000000.0,70000000.0,-64000000.0,,
Change In Inventory,-18000000.0,53000000.0,-3000000.0,-18000000.0,-9000000.0,,
Change In Receivables,-89000000.0,-88000000.0,-10000000.0,-23000000.0,-80000000.0,,
Changes In Account Receivables,-58000000.0,,,,-48000000.0,,
Other Non Cash Items,-14000000.0,,8000000.0,6000000.0,11000000.0,0.0,
Stock Based Compensation,13000000.0,16000000.0,12000000.0,13000000.0,12000000.0,,
Depreciation Amortization Depletion,140000000.0,143000000.0,142000000.0,145000000.0,145000000.0,,
Depreciation And Amortization,140000000.0,143000000.0,142000000.0,145000000.0,145000000.0,,
Amortization Cash Flow,75000000.0,77000000.0,78000000.0,76000000.0,77000000.0,,
Amortization Of Intangibles,75000000.0,77000000.0,78000000.0,76000000.0,77000000.0,,
Depreciation,65000000.0,66000000.0,64000000.0,69000000.0,68000000.0,,
Operating Gains Losses,-4000000.0,-16000000.0,37000000.0,0.0,10000000.0,,
Gain Loss On Sale Of Business,-4000000.0,-16000000.0,37000000.0,0.0,10000000.0,,
Net Income From Continuing Operations,189000000.0,333000000.0,222000000.0,226000000.0,169000000.0,,
