,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1085000000.0,1746000000.0,1370000000.0,1090000000.0,1054000000.0,,
Repurchase Of Capital Stock,0.0,0.0,-2010000000.0,0.0,-1078000000.0,,
Repayment Of Debt,-1434000000.0,0.0,-500000000.0,0.0,0.0,,
Issuance Of Debt,0.0,1552000000.0,0.0,0.0,4000000.0,,
Capital Expenditure,-237000000.0,-371000000.0,-292000000.0,-248000000.0,-245000000.0,,
Interest Paid Supplemental Data,28000000.0,,82000000.0,86000000.0,63000000.0,,104000000.0
Income Tax Paid Supplemental Data,191000000.0,,277000000.0,330000000.0,201000000.0,,315000000.0
End Cash Position,5701000000.0,4615000000.0,1528000000.0,2957000000.0,1993000000.0,,
Beginning Cash Position,4615000000.0,1528000000.0,2957000000.0,1993000000.0,2078000000.0,,
Effect Of Exchange Rate Changes,-33000000.0,32000000.0,2000000.0,131000000.0,113000000.0,,
Changes In Cash,1119000000.0,3055000000.0,-1431000000.0,833000000.0,-198000000.0,,
Financing Cash Flow,46000000.0,1322000000.0,-2781000000.0,-247000000.0,-1255000000.0,,
Cash Flow From Continuing Financing Activities,46000000.0,1322000000.0,-2781000000.0,-247000000.0,-1255000000.0,,
Net Other Financing Charges,-28000000.0,-17000000.0,-90000000.0,-39000000.0,21000000.0,,
Proceeds From Stock Option Exercised,-9000000.0,,25000000.0,19000000.0,-5000000.0,,67000000.0
Cash Dividends Paid,-226000000.0,-226000000.0,-229000000.0,-229000000.0,-194000000.0,,
Net Common Stock Issuance,0.0,85000000.0,-2010000000.0,0.0,-1078000000.0,,
Common Stock Payments,0.0,0.0,-2010000000.0,0.0,-1078000000.0,,
Net Issuance Payments Of Debt,309000000.0,1519000000.0,-477000000.0,2000000.0,1000000.0,,
Net Short Term Debt Issuance,1743000000.0,-33000000.0,23000000.0,2000000.0,-3000000.0,,
Net Long Term Debt Issuance,-1434000000.0,1552000000.0,-500000000.0,0.0,4000000.0,,
Long Term Debt Payments,-1434000000.0,0.0,-500000000.0,0.0,0.0,,
Long Term Debt Issuance,0.0,1552000000.0,0.0,0.0,4000000.0,,
Investing Cash Flow,-249000000.0,-384000000.0,-312000000.0,-258000000.0,-242000000.0,,
Cash From Discontinued Investing Activities,,,,,,0.0,0.0
Cash Flow From Continuing Investing Activities,-249000000.0,-384000000.0,-312000000.0,-258000000.0,-242000000.0,,
Net Other Investing Changes,8000000.0,12000000.0,7000000.0,13000000.0,1000000.0,,
Net Investment Purchase And Sale,-20000000.0,-48000000.0,-27000000.0,-27000000.0,-13000000.0,,
Sale Of Investment,0.0,0.0,2000000.0,5000000.0,5000000.0,,
Purchase Of Investment,-20000000.0,-48000000.0,-29000000.0,-32000000.0,-18000000.0,,
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,9000000.0,,
Sale Of Business,0.0,0.0,0.0,0.0,9000000.0,,
Purchase Of Business,,0.0,0.0,,,-33000000.0,-513000000.0
Net PPE Purchase And Sale,-237000000.0,-348000000.0,-292000000.0,-244000000.0,-239000000.0,,
Sale Of PPE,0.0,23000000.0,0.0,4000000.0,6000000.0,,
Purchase Of PPE,-237000000.0,-371000000.0,-292000000.0,-248000000.0,-245000000.0,,
Operating Cash Flow,1322000000.0,2117000000.0,1662000000.0,1338000000.0,1299000000.0,,
Cash From Discontinued Operating Activities,,,,,,0.0,0.0
Cash Flow From Continuing Operating Activities,1322000000.0,2117000000.0,1662000000.0,1338000000.0,1299000000.0,,
Change In Working Capital,-469000000.0,146000000.0,-67000000.0,-395000000.0,-403000000.0,,
Change In Payables And Accrued Expense,-363000000.0,555000000.0,80000000.0,-291000000.0,-294000000.0,,
Change In Accrued Expense,-322000000.0,412000000.0,103000000.0,-241000000.0,-233000000.0,,
Change In Payable,-41000000.0,143000000.0,-23000000.0,-50000000.0,-61000000.0,,
Change In Account Payable,-41000000.0,143000000.0,-23000000.0,-50000000.0,-61000000.0,,
Change In Prepaid Assets,-40000000.0,-2000000.0,46000000.0,-67000000.0,-32000000.0,,
Change In Inventory,-132000000.0,184000000.0,6000000.0,-82000000.0,-166000000.0,,
Change In Receivables,66000000.0,-151000000.0,-199000000.0,45000000.0,89000000.0,,
Changes In Account Receivables,66000000.0,-151000000.0,-199000000.0,45000000.0,89000000.0,,
Other Non Cash Items,,,,,,0.0,0.0
Stock Based Compensation,58000000.0,63000000.0,83000000.0,91000000.0,61000000.0,,
Asset Impairment Charge,0.0,14000000.0,101000000.0,432000000.0,15000000.0,,
Depreciation Amortization Depletion,627000000.0,623000000.0,622000000.0,611000000.0,591000000.0,,
Depreciation And Amortization,627000000.0,623000000.0,622000000.0,611000000.0,591000000.0,,
Amortization Cash Flow,434000000.0,428000000.0,433000000.0,426000000.0,410000000.0,,
Amortization Of Intangibles,434000000.0,428000000.0,433000000.0,426000000.0,410000000.0,,
Depreciation,193000000.0,195000000.0,189000000.0,185000000.0,181000000.0,,
Operating Gains Losses,77000000.0,88000000.0,15000000.0,44000000.0,81000000.0,,
Gain Loss On Investment Securities,,88000000.0,15000000.0,,,64000000.0,-103000000.0
Gain Loss On Sale Of Business,77000000.0,,,,81000000.0,,
Net Income From Continuing Operations,1029000000.0,1183000000.0,908000000.0,555000000.0,954000000.0,,
