,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-1086000000.0,2147000000.0,1336000000.0,1275000000.0,-1206000000.0,
Repurchase Of Capital Stock,-810000000.0,-514000000.0,-384000000.0,-396000000.0,-657000000.0,
Repayment Of Debt,,-68000000.0,-15000000.0,-801000000.0,-24000000.0,-33000000.0
Issuance Of Debt,193000000.0,0.0,0.0,1080000000.0,0.0,
Capital Expenditure,-106000000.0,-130000000.0,-78000000.0,-89000000.0,-78000000.0,
End Cash Position,9863000000.0,11490000000.0,10001000000.0,9495000000.0,7764000000.0,
Beginning Cash Position,11490000000.0,10001000000.0,9495000000.0,7764000000.0,12779000000.0,
Effect Of Exchange Rate Changes,-63000000.0,12000000.0,-81000000.0,288000000.0,110000000.0,
Changes In Cash,-1564000000.0,1477000000.0,587000000.0,1443000000.0,-5125000000.0,
Financing Cash Flow,-304000000.0,-588000000.0,96000000.0,26000000.0,-661000000.0,
Cash Flow From Continuing Financing Activities,-304000000.0,-588000000.0,96000000.0,26000000.0,-661000000.0,
Net Other Financing Charges,1212000000.0,830000000.0,1291000000.0,904000000.0,807000000.0,
Proceeds From Stock Option Exercised,74000000.0,14000000.0,55000000.0,47000000.0,51000000.0,
Cash Dividends Paid,-973000000.0,-850000000.0,-851000000.0,-808000000.0,-838000000.0,
Common Stock Dividend Paid,-973000000.0,-850000000.0,-851000000.0,-808000000.0,-838000000.0,
Net Common Stock Issuance,-810000000.0,-514000000.0,-384000000.0,-396000000.0,-657000000.0,
Common Stock Payments,-810000000.0,-514000000.0,-384000000.0,-396000000.0,-657000000.0,
Net Issuance Payments Of Debt,193000000.0,-68000000.0,-15000000.0,279000000.0,-24000000.0,
Net Long Term Debt Issuance,193000000.0,-68000000.0,-15000000.0,279000000.0,-24000000.0,
Long Term Debt Payments,,-68000000.0,-15000000.0,-801000000.0,-24000000.0,-33000000.0
Long Term Debt Issuance,193000000.0,0.0,0.0,1080000000.0,0.0,
Investing Cash Flow,-280000000.0,-212000000.0,-923000000.0,53000000.0,-3336000000.0,
Cash Flow From Continuing Investing Activities,-280000000.0,-212000000.0,-923000000.0,53000000.0,-3336000000.0,
Dividends Received Cfi,90000000.0,93000000.0,35000000.0,249000000.0,13000000.0,
Net Investment Purchase And Sale,-249000000.0,-175000000.0,-490000000.0,-124000000.0,-148000000.0,
Sale Of Investment,69000000.0,77000000.0,237000000.0,79000000.0,151000000.0,
Purchase Of Investment,-318000000.0,-252000000.0,-727000000.0,-203000000.0,-299000000.0,
Net Business Purchase And Sale,-15000000.0,0.0,-390000000.0,17000000.0,-3123000000.0,
Purchase Of Business,-15000000.0,0.0,-390000000.0,17000000.0,-3123000000.0,
Net PPE Purchase And Sale,-106000000.0,-130000000.0,-78000000.0,-89000000.0,-78000000.0,
Purchase Of PPE,-106000000.0,-130000000.0,-78000000.0,-89000000.0,-78000000.0,
Operating Cash Flow,-980000000.0,2277000000.0,1414000000.0,1364000000.0,-1128000000.0,
Cash Flow From Continuing Operating Activities,-980000000.0,2277000000.0,1414000000.0,1364000000.0,-1128000000.0,
Dividend Received Cfo,9000000.0,274000000.0,8000000.0,133000000.0,14000000.0,
Change In Working Capital,-1808000000.0,626000000.0,624000000.0,600000000.0,-2039000000.0,
Change In Other Working Capital,-2256000000.0,1050000000.0,795000000.0,608000000.0,-1794000000.0,
Change In Other Current Liabilities,3474000000.0,-2164000000.0,536000000.0,-1137000000.0,2990000000.0,
Change In Other Current Assets,-3255000000.0,1998000000.0,-125000000.0,1040000000.0,-3442000000.0,
Change In Payables And Accrued Expense,340000000.0,96000000.0,-203000000.0,98000000.0,84000000.0,
Change In Receivables,-111000000.0,-354000000.0,-379000000.0,-9000000.0,123000000.0,
Changes In Account Receivables,-111000000.0,-354000000.0,-379000000.0,-9000000.0,123000000.0,
Other Non Cash Items,-2175000000.0,-262000000.0,-1232000000.0,-775000000.0,-968000000.0,
Stock Based Compensation,319000000.0,421000000.0,419000000.0,226000000.0,241000000.0,
Asset Impairment Charge,,0.0,,,,0.0
Deferred Tax,60000000.0,-393000000.0,-160000000.0,-93000000.0,15000000.0,
Deferred Income Tax,60000000.0,-393000000.0,-160000000.0,-93000000.0,15000000.0,
Depreciation Amortization Depletion,380000000.0,369000000.0,346000000.0,217000000.0,194000000.0,
Depreciation And Amortization,380000000.0,369000000.0,346000000.0,217000000.0,194000000.0,
Operating Gains Losses,-91000000.0,7000000.0,-118000000.0,-609000000.0,-100000000.0,
Earnings Losses From Equity Investments,-46000000.0,-3000000.0,45000000.0,-42000000.0,-51000000.0,
Gain Loss On Investment Securities,-45000000.0,10000000.0,-163000000.0,-567000000.0,-49000000.0,
Net Income From Continuing Operations,2326000000.0,1235000000.0,1527000000.0,1665000000.0,1515000000.0,
