,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,5540000.0,214108000.0,361293000.0,12571000.0,16695000.0,,
Repayment Of Debt,-204278000.0,-139952000.0,-96524000.0,-78700000.0,-8756000.0,,
Issuance Of Debt,156812000.0,266808000.0,237518000.0,424481000.0,14238000.0,,
Capital Expenditure,,-152722000.0,,-64335000.0,-18000.0,-117662000.0,
End Cash Position,517776000.0,635305000.0,548903000.0,164883000.0,272351000.0,,
Beginning Cash Position,635305000.0,548903000.0,164883000.0,272351000.0,291793000.0,,
Effect Of Exchange Rate Changes,-15434000.0,5959000.0,-3920000.0,-2173000.0,-6158000.0,,
Changes In Cash,-102095000.0,80443000.0,387940000.0,-105295000.0,-13284000.0,,
Financing Cash Flow,-87023000.0,18928000.0,121856000.0,47677000.0,-1159000.0,,
Interest Paid Cff,-32902000.0,-15274000.0,-12910000.0,-12049000.0,-1149000.0,,
Cash Dividends Paid,,-86226000.0,0.0,,,-76405000.0,-131000.0
Net Issuance Payments Of Debt,-47466000.0,126856000.0,140994000.0,345781000.0,5482000.0,,
Net Long Term Debt Issuance,-47466000.0,126856000.0,140994000.0,345781000.0,5482000.0,,
Long Term Debt Payments,-204278000.0,-139952000.0,-96524000.0,-78700000.0,-8756000.0,,
Long Term Debt Issuance,156812000.0,266808000.0,237518000.0,424481000.0,14238000.0,,
Investing Cash Flow,-20612000.0,-305315000.0,-31249000.0,-229878000.0,-28838000.0,,
Net Other Investing Changes,-29952000.0,,,,-34839000.0,,
Dividends Received Cfi,955000.0,8359000.0,152000.0,2850000.0,0.0,,
Net Investment Purchase And Sale,9999000.0,14927000.0,1886000.0,3421000.0,12101000.0,,
Sale Of Investment,9999000.0,15549000.0,38555000.0,17142000.0,32147000.0,,
Purchase Of Investment,0.0,-622000.0,-36669000.0,-13721000.0,-20046000.0,,
Net Business Purchase And Sale,-1614000.0,-273165000.0,0.0,-237534000.0,0.0,,
Purchase Of Business,-1614000.0,-273165000.0,0.0,-237534000.0,0.0,,
Net Intangibles Purchase And Sale,0.0,-166000.0,-362000.0,-13000.0,-18000.0,,
Purchase Of Intangibles,0.0,-166000.0,-362000.0,-13000.0,-18000.0,,
Net PPE Purchase And Sale,0.0,-152546000.0,64322000.0,-64019000.0,21000.0,,
Sale Of PPE,0.0,10000.0,0.0,303000.0,21000.0,,
Operating Cash Flow,5540000.0,366830000.0,297333000.0,76906000.0,16713000.0,,
Taxes Refund Paid,-59191000.0,-65823000.0,-77127000.0,-43352000.0,-52362000.0,,
Change In Working Capital,-212562000.0,200793000.0,62964000.0,-166883000.0,-150442000.0,,
Change In Other Current Liabilities,-20943000.0,-96984000.0,-25034000.0,-6244000.0,-42544000.0,,
Change In Other Current Assets,-5282000.0,34099000.0,1437000.0,-19250000.0,-19964000.0,,
Change In Payable,-9587000.0,-56593000.0,-20791000.0,103473000.0,38583000.0,,
Change In Inventory,-11717000.0,96854000.0,51771000.0,-119475000.0,-30039000.0,,
Change In Receivables,-165033000.0,223417000.0,55581000.0,-125387000.0,-96478000.0,,
Other Non Cash Items,-66202000.0,54875000.0,-5116000.0,63816000.0,-49948000.0,,
Provisionand Write Offof Assets,26152000.0,18964000.0,29075000.0,10805000.0,22431000.0,,
Deferred Tax,3841000.0,-10173000.0,,,1476000.0,-6013000.0,39426000.0
Depreciation And Amortization,32197000.0,31367000.0,30626000.0,30366000.0,35141000.0,,
Depreciation,32197000.0,31367000.0,30626000.0,30366000.0,35141000.0,,
Gain Loss On Investment Securities,-7558000.0,24258000.0,3784000.0,-4465000.0,-1276000.0,,
Gain Loss On Sale Of PPE,50000.0,128000.0,-67000.0,-281000.0,28000.0,,
Net Income From Continuing Operations,293037000.0,116211000.0,272541000.0,188899000.0,214134000.0,,
