,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1477000000.0,961000000.0,4248000000.0,1911000000.0,980000000.0,,
Repayment Of Debt,-833000000.0,0.0,-1500000000.0,-1000000000.0,-2500000000.0,,
Issuance Of Debt,3964000000.0,,,,0.0,0.0,0.0
Capital Expenditure,-712000000.0,-642000000.0,-436000000.0,-369000000.0,-411000000.0,,
End Cash Position,12038000000.0,9129000000.0,9445000000.0,8028000000.0,8810000000.0,,
Beginning Cash Position,9129000000.0,9445000000.0,8028000000.0,8810000000.0,11973000000.0,,
Changes In Cash,2909000000.0,-316000000.0,1417000000.0,-782000000.0,-3163000000.0,,
Financing Cash Flow,1436000000.0,-1226000000.0,-2853000000.0,-2673000000.0,-4107000000.0,,
Cash Flow From Continuing Financing Activities,1436000000.0,-1226000000.0,-2853000000.0,-2673000000.0,-4107000000.0,,
Net Other Financing Charges,-337000000.0,57000000.0,-71000000.0,-393000000.0,-328000000.0,,
Cash Dividends Paid,-1358000000.0,-1283000000.0,-1282000000.0,-1280000000.0,-1279000000.0,,
Common Stock Dividend Paid,-1358000000.0,-1283000000.0,-1282000000.0,-1280000000.0,-1279000000.0,,
Net Issuance Payments Of Debt,3131000000.0,0.0,-1500000000.0,-1000000000.0,-2500000000.0,,
Net Long Term Debt Issuance,3131000000.0,0.0,-1500000000.0,-1000000000.0,-2500000000.0,,
Long Term Debt Payments,-833000000.0,0.0,-1500000000.0,-1000000000.0,-2500000000.0,,
Long Term Debt Issuance,3964000000.0,,,,0.0,0.0,0.0
Investing Cash Flow,-716000000.0,-693000000.0,-414000000.0,-389000000.0,-447000000.0,,
Cash Flow From Continuing Investing Activities,-716000000.0,-693000000.0,-414000000.0,-389000000.0,-447000000.0,,
Net Other Investing Changes,-4000000.0,2000000.0,22000000.0,-20000000.0,-36000000.0,,
Net Investment Purchase And Sale,,,,,,0.0,0.0
Sale Of Investment,,,,,,0.0,0.0
Net PPE Purchase And Sale,-712000000.0,-642000000.0,-436000000.0,-369000000.0,-411000000.0,,
Purchase Of PPE,-712000000.0,-642000000.0,-436000000.0,-369000000.0,-411000000.0,,
Operating Cash Flow,2189000000.0,1603000000.0,4684000000.0,2280000000.0,1391000000.0,,
Cash Flow From Continuing Operating Activities,2189000000.0,1603000000.0,4684000000.0,2280000000.0,1391000000.0,,
Change In Working Capital,-721000000.0,-1866000000.0,1663000000.0,-759000000.0,-1016000000.0,,
Change In Other Working Capital,-1798000000.0,-1548000000.0,,,-388000000.0,,
Change In Other Current Liabilities,-75000000.0,-76000000.0,-10000000.0,8000000.0,-78000000.0,,
Change In Other Current Assets,8000000.0,-577000000.0,-283000000.0,-206000000.0,-201000000.0,,
Change In Payables And Accrued Expense,713000000.0,1291000000.0,-553000000.0,-673000000.0,671000000.0,,
Change In Payable,713000000.0,-774000000.0,510000000.0,-1736000000.0,671000000.0,,
Change In Account Payable,571000000.0,-484000000.0,-174000000.0,589000000.0,497000000.0,,
Change In Tax Payable,142000000.0,-290000000.0,684000000.0,-2325000000.0,174000000.0,,
Change In Income Tax Payable,142000000.0,-290000000.0,684000000.0,-2325000000.0,174000000.0,,
Change In Inventory,18000000.0,119000000.0,240000000.0,239000000.0,288000000.0,,
Change In Receivables,413000000.0,-1075000000.0,222000000.0,-515000000.0,-1308000000.0,,
Changes In Account Receivables,413000000.0,-1075000000.0,222000000.0,-515000000.0,-1308000000.0,,
Other Non Cash Items,-67000000.0,250000000.0,-28000000.0,-23000000.0,-50000000.0,,
Stock Based Compensation,75000000.0,125000000.0,127000000.0,157000000.0,85000000.0,,
Asset Impairment Charge,0.0,0.0,400000000.0,0.0,800000000.0,,
Deferred Tax,-176000000.0,-19000000.0,-30000000.0,-422000000.0,-250000000.0,,
Deferred Income Tax,-176000000.0,-19000000.0,-30000000.0,-422000000.0,-250000000.0,,
Depreciation Amortization Depletion,1116000000.0,1132000000.0,1307000000.0,1341000000.0,1387000000.0,,
Depreciation And Amortization,1116000000.0,1132000000.0,1307000000.0,1341000000.0,1387000000.0,,
Depreciation,1116000000.0,1132000000.0,1307000000.0,1341000000.0,1387000000.0,,
Operating Gains Losses,143000000.0,648000000.0,-1971000000.0,554000000.0,-1295000000.0,,
Earnings Losses From Equity Investments,,,,,,1000000.0,28000000.0
Gain Loss On Investment Securities,143000000.0,,,554000000.0,-1295000000.0,876000000.0,-1633000000.0
Net Income From Continuing Operations,1819000000.0,1333000000.0,3216000000.0,1432000000.0,1730000000.0,,
