,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Free Cash Flow,-1946000000.0,6098000000.0,1882000000.0,6518000000.0,425000000.0,,
Repurchase Of Capital Stock,-2080000000.0,-1080000000.0,-808000000.0,-1645000000.0,-4555000000.0,,
Repayment Of Debt,-1504000000.0,0.0,-1750000000.0,-875000000.0,0.0,,
Issuance Of Debt,4230000000.0,0.0,0.0,0.0,3983000000.0,,
Capital Expenditure,-6684000000.0,-8015000000.0,-7218000000.0,-6423000000.0,-4986000000.0,,
End Cash Position,11319000000.0,11321000000.0,11097000000.0,9877000000.0,9932000000.0,,
Beginning Cash Position,11321000000.0,11097000000.0,9877000000.0,9932000000.0,9536000000.0,,
Effect Of Exchange Rate Changes,-331000000.0,-28000000.0,-30000000.0,111000000.0,70000000.0,,
Changes In Cash,329000000.0,252000000.0,1250000000.0,-166000000.0,326000000.0,,
Financing Cash Flow,2328000000.0,-6541000000.0,-19000000.0,-7001000000.0,8000000.0,,
Cash Flow From Continuing Financing Activities,2328000000.0,-6541000000.0,-19000000.0,-7001000000.0,8000000.0,,
Net Other Financing Charges,-476000000.0,-1794000000.0,-140000000.0,-844000000.0,-61000000.0,,
Cash Dividends Paid,-1972000000.0,-1877000000.0,-1875000000.0,-1875000000.0,-1880000000.0,,
Common Stock Dividend Paid,-1972000000.0,-1877000000.0,-1875000000.0,-1875000000.0,-1880000000.0,,
Net Common Stock Issuance,-2080000000.0,-1080000000.0,-808000000.0,-1645000000.0,-4555000000.0,,
Common Stock Payments,-2080000000.0,-1080000000.0,-808000000.0,-1645000000.0,-4555000000.0,,
Net Issuance Payments Of Debt,6856000000.0,-1790000000.0,2804000000.0,-2637000000.0,6504000000.0,,
Net Short Term Debt Issuance,4130000000.0,-1790000000.0,4554000000.0,-1762000000.0,2521000000.0,,
Net Long Term Debt Issuance,2726000000.0,0.0,-1750000000.0,-875000000.0,3983000000.0,,
Long Term Debt Payments,-1504000000.0,0.0,-1750000000.0,-875000000.0,0.0,,
Long Term Debt Issuance,4230000000.0,0.0,0.0,0.0,3983000000.0,,
Investing Cash Flow,-6737000000.0,-7320000000.0,-7831000000.0,-6106000000.0,-5093000000.0,,
Cash Flow From Continuing Investing Activities,-6737000000.0,-7320000000.0,-7831000000.0,-6106000000.0,-5093000000.0,,
Net Other Investing Changes,-89000000.0,583000000.0,-665000000.0,-474000000.0,-132000000.0,,
Net Investment Purchase And Sale,,128000000.0,24000000.0,,,267000000.0,3664000000.0
Sale Of Investment,,128000000.0,24000000.0,,,267000000.0,3664000000.0
Net Business Purchase And Sale,,,,,,-1899000000.0,0.0
Sale Of Business,,,,,,,0.0
Net PPE Purchase And Sale,-6648000000.0,-7978000000.0,-7190000000.0,-6407000000.0,-4961000000.0,,
Sale Of PPE,36000000.0,37000000.0,28000000.0,16000000.0,25000000.0,,
Purchase Of PPE,-6684000000.0,-8015000000.0,-7218000000.0,-6423000000.0,-4986000000.0,,
Operating Cash Flow,4738000000.0,14113000000.0,9100000000.0,12941000000.0,5411000000.0,,
Cash Flow From Continuing Operating Activities,4738000000.0,14113000000.0,9100000000.0,12941000000.0,5411000000.0,,
Change In Working Capital,-5364000000.0,2803000000.0,-902000000.0,2424000000.0,-3573000000.0,,
Change In Payables And Accrued Expense,-1926000000.0,-4967000000.0,8383000000.0,2949000000.0,-3034000000.0,,
Change In Accrued Expense,-3351000000.0,713000000.0,2347000000.0,2174000000.0,-3627000000.0,,
Change In Payable,1425000000.0,-5680000000.0,6036000000.0,775000000.0,593000000.0,,
Change In Account Payable,1177000000.0,-5666000000.0,5975000000.0,1612000000.0,-310000000.0,,
Change In Tax Payable,248000000.0,-14000000.0,61000000.0,-837000000.0,903000000.0,,
Change In Income Tax Payable,248000000.0,-14000000.0,61000000.0,-837000000.0,903000000.0,,
Change In Inventory,-3833000000.0,6778000000.0,-7562000000.0,148000000.0,-807000000.0,,
Change In Receivables,395000000.0,992000000.0,-1723000000.0,-673000000.0,268000000.0,,
Other Non Cash Items,411000000.0,1103000000.0,1606000000.0,869000000.0,501000000.0,,
Deferred Tax,640000000.0,-33000000.0,759000000.0,1627000000.0,-76000000.0,,
Deferred Income Tax,640000000.0,-33000000.0,759000000.0,1627000000.0,-76000000.0,,
Depreciation Amortization Depletion,3821000000.0,3741000000.0,3606000000.0,3487000000.0,3369000000.0,,
Depreciation And Amortization,3821000000.0,3741000000.0,3606000000.0,3487000000.0,3369000000.0,,
Operating Gains Losses,-260000000.0,2107000000.0,-2057000000.0,-2617000000.0,551000000.0,,
Gain Loss On Investment Securities,-260000000.0,2107000000.0,-2057000000.0,-2617000000.0,551000000.0,,
Net Income From Continuing Operations,5490000000.0,4392000000.0,6088000000.0,7151000000.0,4639000000.0,,
