,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-2540000000.0,800000000.0,121000000.0,-1500000000.0,-4370000000.0,,
Repayment Of Debt,-1500000000.0,0.0,-4247000000.0,-1496000000.0,-1500000000.0,,
Issuance Of Debt,0.0,0.0,0.0,1997000000.0,1496000000.0,,
Capital Expenditure,-3636000000.0,-3488000000.0,-2425000000.0,-3550000000.0,-5183000000.0,,
Interest Paid Supplemental Data,600000000.0,-50000000.0,642000000.0,-121000000.0,635000000.0,,
Income Tax Paid Supplemental Data,261000000.0,360000000.0,146000000.0,1572000000.0,221000000.0,,
End Cash Position,17695000000.0,14712000000.0,11141000000.0,9693000000.0,8947000000.0,,
Beginning Cash Position,14712000000.0,11141000000.0,9693000000.0,8947000000.0,8249000000.0,,
Changes In Cash,2983000000.0,3571000000.0,1448000000.0,746000000.0,698000000.0,,
Financing Cash Flow,-1206000000.0,5849000000.0,5152000000.0,782000000.0,-196000000.0,,
Cash Flow From Continuing Financing Activities,-1206000000.0,5849000000.0,5152000000.0,782000000.0,-196000000.0,,
Net Other Financing Charges,-133000000.0,831000000.0,1431000000.0,281000000.0,-683000000.0,,
Proceeds From Stock Option Exercised,427000000.0,8963000000.0,4023000000.0,0.0,491000000.0,,
Cash Dividends Paid,,0.0,0.0,0.0,0.0,0.0,
Common Stock Dividend Paid,,0.0,0.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,-1500000000.0,0.0,-4247000000.0,501000000.0,-4000000.0,,
Net Short Term Debt Issuance,0.0,0.0,-1997000000.0,501000000.0,1496000000.0,,
Short Term Debt Payments,,0.0,-1997000000.0,,,0.0,-4740000000.0
Short Term Debt Issuance,0.0,0.0,0.0,1997000000.0,1496000000.0,,
Net Long Term Debt Issuance,-1500000000.0,0.0,-2250000000.0,0.0,-1500000000.0,,
Long Term Debt Payments,-1500000000.0,0.0,-2250000000.0,0.0,-1500000000.0,,
Long Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0,
Investing Cash Flow,3093000000.0,-6566000000.0,-6250000000.0,-2086000000.0,81000000.0,,
Cash Flow From Continuing Investing Activities,3093000000.0,-6566000000.0,-6250000000.0,-2086000000.0,81000000.0,,
Net Other Investing Changes,67000000.0,417000000.0,-436000000.0,560000000.0,1388000000.0,,
Net Investment Purchase And Sale,7258000000.0,-2824000000.0,-8282000000.0,904000000.0,1941000000.0,,
Sale Of Investment,14448000000.0,5094000000.0,2389000000.0,3248000000.0,5327000000.0,,
Purchase Of Investment,-7190000000.0,-7918000000.0,-10671000000.0,-2344000000.0,-3386000000.0,,
Net Business Purchase And Sale,-596000000.0,-671000000.0,4893000000.0,0.0,1935000000.0,,
Sale Of Business,0.0,-671000000.0,4893000000.0,0.0,1935000000.0,,
Purchase Of Business,-596000000.0,,,,0.0,,
Net PPE Purchase And Sale,-3636000000.0,-3488000000.0,-2425000000.0,-3550000000.0,-5183000000.0,,
Purchase Of PPE,-3636000000.0,-3488000000.0,-2425000000.0,-3550000000.0,-5183000000.0,,
Operating Cash Flow,1096000000.0,4288000000.0,2546000000.0,2050000000.0,813000000.0,,
Cash Flow From Continuing Operating Activities,1096000000.0,4288000000.0,2546000000.0,2050000000.0,813000000.0,,
Change In Working Capital,-3498000000.0,459000000.0,-1365000000.0,948000000.0,-1789000000.0,,
Change In Other Working Capital,-1156000000.0,374000000.0,461000000.0,-1941000000.0,-1139000000.0,,
Change In Payables And Accrued Expense,-1317000000.0,825000000.0,-876000000.0,2117000000.0,-981000000.0,,
Change In Accrued Expense,-1175000000.0,247000000.0,-481000000.0,1763000000.0,-741000000.0,,
Change In Payable,-142000000.0,578000000.0,-395000000.0,354000000.0,-240000000.0,,
Change In Account Payable,-142000000.0,578000000.0,-395000000.0,354000000.0,-240000000.0,,
Change In Inventory,-808000000.0,-129000000.0,-108000000.0,182000000.0,-83000000.0,,
Change In Receivables,-217000000.0,-611000000.0,-842000000.0,590000000.0,414000000.0,,
Changes In Account Receivables,-217000000.0,-611000000.0,-842000000.0,590000000.0,414000000.0,,
Other Non Cash Items,3965000000.0,104000000.0,-10000000.0,,,-135000000.0,3408000000.0
Stock Based Compensation,621000000.0,538000000.0,548000000.0,664000000.0,684000000.0,,
Unrealized Gain Loss On Investment Securities,54000000.0,,,,292000000.0,,
Asset Impairment Charge,62000000.0,-182000000.0,215000000.0,377000000.0,105000000.0,,
Deferred Tax,-9000000.0,205000000.0,17000000.0,87000000.0,19000000.0,,
Deferred Income Tax,-9000000.0,205000000.0,17000000.0,87000000.0,19000000.0,,
Depreciation Amortization Depletion,3136000000.0,3027000000.0,2992000000.0,3013000000.0,2674000000.0,,
Depreciation And Amortization,3136000000.0,3027000000.0,2992000000.0,3013000000.0,2674000000.0,,
Amortization Cash Flow,234000000.0,241000000.0,234000000.0,225000000.0,249000000.0,,
Amortization Of Intangibles,234000000.0,241000000.0,234000000.0,225000000.0,249000000.0,,
Depreciation,2902000000.0,2786000000.0,2758000000.0,2788000000.0,2425000000.0,,
Operating Gains Losses,1046000000.0,1901000000.0,-5552000000.0,-105000000.0,-285000000.0,,
Gain Loss On Investment Securities,1046000000.0,1869000000.0,-197000000.0,-105000000.0,-285000000.0,,
Gain Loss On Sale Of Business,,32000000.0,,,,,
Net Income From Continuing Operations,-4281000000.0,-333000000.0,4270000000.0,-3024000000.0,-887000000.0,,
