,2026-05-31,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30
Free Cash Flow,2036000000.0,1707000000.0,3162000000.0,1901000000.0,2329000000.0,,
Repurchase Of Capital Stock,-184000000.0,-209000000.0,-210000000.0,-280000000.0,-211000000.0,,
Repayment Of Debt,-414000000.0,-79000000.0,-23000000.0,-359000000.0,-266000000.0,,
Issuance Of Debt,323000000.0,136000000.0,0.0,200000000.0,246000000.0,,
Capital Expenditure,-1413000000.0,-1289000000.0,-1526000000.0,-1966000000.0,-1131000000.0,,
Interest Paid Supplemental Data,27000000.0,8000000.0,43000000.0,25000000.0,26000000.0,,
Income Tax Paid Supplemental Data,719000000.0,777000000.0,239000000.0,1269000000.0,850000000.0,,
End Cash Position,18946000000.0,17383000000.0,16217000000.0,14161000000.0,13836000000.0,,
Beginning Cash Position,17383000000.0,16217000000.0,14161000000.0,13836000000.0,12356000000.0,,
Effect Of Exchange Rate Changes,-16000000.0,70000000.0,-67000000.0,19000000.0,104000000.0,,
Changes In Cash,1579000000.0,1096000000.0,2123000000.0,306000000.0,1376000000.0,,
Financing Cash Flow,-278000000.0,-730000000.0,-1167000000.0,-1593000000.0,-748000000.0,,
Cash Flow From Continuing Financing Activities,-278000000.0,-730000000.0,-1167000000.0,-1593000000.0,-748000000.0,,
Net Other Financing Charges,-3000000.0,-1000000.0,-357000000.0,-1000000.0,-2000000.0,,
Cash Dividends Paid,0.0,-577000000.0,-577000000.0,-1153000000.0,-515000000.0,,
Common Stock Dividend Paid,0.0,-577000000.0,-577000000.0,,-515000000.0,0.0,
Net Common Stock Issuance,-184000000.0,-209000000.0,-210000000.0,-280000000.0,-211000000.0,,
Common Stock Payments,-184000000.0,-209000000.0,-210000000.0,-280000000.0,-211000000.0,,
Net Issuance Payments Of Debt,-91000000.0,57000000.0,-23000000.0,-159000000.0,-20000000.0,,
Net Short Term Debt Issuance,-2000000.0,71000000.0,0.0,-27000000.0,0.0,,
Short Term Debt Payments,-325000000.0,-65000000.0,0.0,-227000000.0,-246000000.0,,
Short Term Debt Issuance,323000000.0,136000000.0,0.0,200000000.0,246000000.0,,
Net Long Term Debt Issuance,-89000000.0,-14000000.0,-23000000.0,-132000000.0,-20000000.0,,
Long Term Debt Payments,-89000000.0,-14000000.0,-23000000.0,-132000000.0,-20000000.0,,
Long Term Debt Issuance,,,,0.0,0.0,0.0,0.0
Investing Cash Flow,-1592000000.0,-1170000000.0,-1398000000.0,-1968000000.0,-1336000000.0,,
Cash Flow From Continuing Investing Activities,-1592000000.0,-1170000000.0,-1398000000.0,-1968000000.0,-1336000000.0,,
Net Other Investing Changes,17000000.0,4000000.0,-17000000.0,98000000.0,-11000000.0,,
Net Investment Purchase And Sale,-196000000.0,115000000.0,145000000.0,-100000000.0,-194000000.0,,
Sale Of Investment,34000000.0,170000000.0,340000000.0,355000000.0,34000000.0,,
Purchase Of Investment,-230000000.0,-55000000.0,-195000000.0,-455000000.0,-228000000.0,,
Net PPE Purchase And Sale,-1413000000.0,-1289000000.0,-1526000000.0,-1966000000.0,-1131000000.0,,
Purchase Of PPE,-1413000000.0,-1289000000.0,-1526000000.0,-1966000000.0,-1131000000.0,,
Operating Cash Flow,3449000000.0,2996000000.0,4688000000.0,3867000000.0,3460000000.0,,
Cash Flow From Continuing Operating Activities,3449000000.0,2996000000.0,4688000000.0,3867000000.0,3460000000.0,,
Change In Working Capital,499000000.0,53000000.0,1534000000.0,350000000.0,764000000.0,,
Change In Other Working Capital,-811000000.0,766000000.0,873000000.0,-34000000.0,-635000000.0,,
Change In Payables And Accrued Expense,1767000000.0,-3087000000.0,3818000000.0,-200000000.0,1062000000.0,,
Change In Payable,1767000000.0,-3087000000.0,3818000000.0,-200000000.0,1062000000.0,,
Change In Account Payable,1767000000.0,-3087000000.0,3818000000.0,-200000000.0,1062000000.0,,
Change In Inventory,-457000000.0,2374000000.0,-3157000000.0,584000000.0,337000000.0,,
Other Non Cash Items,42000000.0,145000000.0,70000000.0,110000000.0,135000000.0,,
Stock Based Compensation,119000000.0,166000000.0,486000000.0,140000000.0,106000000.0,,
Depreciation Amortization Depletion,597000000.0,597000000.0,597000000.0,774000000.0,552000000.0,,
Depreciation And Amortization,597000000.0,597000000.0,597000000.0,774000000.0,552000000.0,,
Net Income From Continuing Operations,2192000000.0,2035000000.0,2001000000.0,2610000000.0,1903000000.0,,
