,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,349000000.0,1335000000.0,1538000000.0,-1162000000.0,-315000000.0,,
Repurchase Of Capital Stock,-1999000000.0,-552000000.0,-472000000.0,-953000000.0,-1274000000.0,,
Repayment Of Debt,0.0,-11000000.0,-554000000.0,-500000000.0,-750000000.0,,
Issuance Of Debt,0.0,0.0,0.0,0.0,1099000000.0,,
Capital Expenditure,-225000000.0,-248000000.0,-218000000.0,-208000000.0,-236000000.0,,
Interest Paid Supplemental Data,214000000.0,-257000000.0,232000000.0,237000000.0,255000000.0,,
End Cash Position,3729000000.0,5235000000.0,4671000000.0,3712000000.0,6326000000.0,,
Other Cash Adjustment Outside Changein Cash,-3000000.0,-2000000.0,,,0.0,,
Beginning Cash Position,5235000000.0,4671000000.0,3712000000.0,6326000000.0,5600000000.0,,
Effect Of Exchange Rate Changes,-13000000.0,5000000.0,-10000000.0,39000000.0,7000000.0,,
Changes In Cash,-1490000000.0,561000000.0,1013000000.0,-2653000000.0,719000000.0,,
Financing Cash Flow,-2124000000.0,-617000000.0,-1208000000.0,-1769000000.0,-422000000.0,,
Cash Flow From Continuing Financing Activities,-2124000000.0,-617000000.0,-1208000000.0,-1769000000.0,-422000000.0,,
Net Other Financing Charges,-15000000.0,-10000000.0,-24000000.0,-9000000.0,-6000000.0,,
Proceeds From Stock Option Exercised,302000000.0,343000000.0,231000000.0,83000000.0,905000000.0,,
Cash Dividends Paid,-412000000.0,-387000000.0,-389000000.0,-390000000.0,-396000000.0,,
Common Stock Dividend Paid,-412000000.0,-387000000.0,-389000000.0,-390000000.0,-396000000.0,,
Net Common Stock Issuance,-1999000000.0,-552000000.0,-472000000.0,-953000000.0,-1274000000.0,,
Common Stock Payments,-1999000000.0,-552000000.0,-472000000.0,-953000000.0,-1274000000.0,,
Net Issuance Payments Of Debt,0.0,-11000000.0,-554000000.0,-500000000.0,349000000.0,,
Net Short Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,-11000000.0,-554000000.0,-500000000.0,349000000.0,,
Long Term Debt Payments,0.0,-11000000.0,-554000000.0,-500000000.0,-750000000.0,,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,1099000000.0,,
Investing Cash Flow,60000000.0,-405000000.0,465000000.0,70000000.0,1220000000.0,,
Cash Flow From Continuing Investing Activities,60000000.0,-405000000.0,465000000.0,70000000.0,1220000000.0,,
Net Other Investing Changes,2000000.0,0.0,0.0,0.0,-3000000.0,,
Net Investment Purchase And Sale,281000000.0,-183000000.0,635000000.0,270000000.0,1441000000.0,,
Sale Of Investment,436000000.0,283000000.0,1055000000.0,533000000.0,1597000000.0,,
Purchase Of Investment,-155000000.0,-466000000.0,-420000000.0,-263000000.0,-156000000.0,,
Net Business Purchase And Sale,,0.0,0.0,,,0.0,0.0
Sale Of Business,,0.0,0.0,,,0.0,0.0
Net PPE Purchase And Sale,-223000000.0,-222000000.0,-170000000.0,-205000000.0,-218000000.0,,
Sale Of PPE,2000000.0,26000000.0,48000000.0,3000000.0,18000000.0,,
Purchase Of PPE,-225000000.0,-248000000.0,-218000000.0,-208000000.0,-236000000.0,,
Operating Cash Flow,574000000.0,1583000000.0,1756000000.0,-954000000.0,-79000000.0,,
Cash Flow From Continuing Operating Activities,574000000.0,1583000000.0,1756000000.0,-954000000.0,-79000000.0,,
Change In Working Capital,-572000000.0,390000000.0,297000000.0,-2111000000.0,-1772000000.0,,
Change In Other Working Capital,-393000000.0,-160000000.0,220000000.0,-1683000000.0,-1522000000.0,,
Change In Payables And Accrued Expense,120000000.0,79000000.0,-39000000.0,-153000000.0,134000000.0,,
Change In Payable,120000000.0,79000000.0,-39000000.0,-153000000.0,134000000.0,,
Change In Account Payable,120000000.0,-46000000.0,-115000000.0,48000000.0,134000000.0,,
Change In Tax Payable,,,76000000.0,-198000000.0,-3000000.0,-120000000.0,20000000.0
Change In Income Tax Payable,,,76000000.0,-198000000.0,-3000000.0,-120000000.0,20000000.0
Change In Inventory,-51000000.0,231000000.0,148000000.0,-115000000.0,-125000000.0,,
Change In Receivables,-248000000.0,240000000.0,-32000000.0,-160000000.0,-259000000.0,,
Changes In Account Receivables,-248000000.0,240000000.0,-32000000.0,-160000000.0,-259000000.0,,
Other Non Cash Items,-38000000.0,-46000000.0,-38000000.0,-38000000.0,-23000000.0,,
Stock Based Compensation,80000000.0,43000000.0,53000000.0,44000000.0,85000000.0,,
Deferred Tax,75000000.0,120000000.0,81000000.0,67000000.0,150000000.0,,
Deferred Income Tax,75000000.0,120000000.0,81000000.0,67000000.0,150000000.0,,
Depreciation Amortization Depletion,326000000.0,430000000.0,298000000.0,290000000.0,290000000.0,,
Depreciation And Amortization,326000000.0,430000000.0,298000000.0,290000000.0,290000000.0,,
Operating Gains Losses,44000000.0,72000000.0,224000000.0,69000000.0,69000000.0,,
Pension And Employee Benefit Expense,37000000.0,74000000.0,63000000.0,66000000.0,69000000.0,,
Gain Loss On Sale Of Business,7000000.0,-2000000.0,161000000.0,3000000.0,0.0,,
Net Income From Continuing Operations,659000000.0,574000000.0,841000000.0,725000000.0,1122000000.0,,
