,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Free Cash Flow,218654000.0,153760000.0,325649000.0,134596000.0,128208000.0,,
Repurchase Of Capital Stock,-173727000.0,-170613000.0,-115744000.0,-99615000.0,-103798000.0,,
Repayment Of Debt,-7003000.0,-1158000.0,-4031000.0,-4029000.0,-3985000.0,,
Issuance Of Debt,0.0,0.0,0.0,0.0,0.0,,
Issuance Of Capital Stock,0.0,17226000.0,2000.0,18742000.0,-1000.0,,
Capital Expenditure,-41048000.0,-73885000.0,-45428000.0,-39751000.0,-28738000.0,,
Interest Paid Supplemental Data,24100000.0,16879000.0,16974000.0,25043000.0,17641000.0,,
Income Tax Paid Supplemental Data,38112000.0,10718000.0,28710000.0,29432000.0,45040000.0,,
End Cash Position,1045361000.0,1123658000.0,1092197000.0,1056225000.0,949943000.0,,
Beginning Cash Position,1123658000.0,1092197000.0,1056225000.0,949943000.0,874913000.0,,
Effect Of Exchange Rate Changes,-3340000.0,2247000.0,-1565000.0,-2877000.0,6226000.0,,
Changes In Cash,-74957000.0,29214000.0,37537000.0,109159000.0,68804000.0,,
Financing Cash Flow,-180730000.0,-154545000.0,-119773000.0,-84902000.0,-107786000.0,,
Cash Flow From Continuing Financing Activities,-180730000.0,-154545000.0,-119773000.0,-84902000.0,-107786000.0,,
Net Other Financing Charges,,,0.0,0.0,-2000.0,-10000.0,0.0
Net Common Stock Issuance,-173727000.0,-153387000.0,-115742000.0,-80873000.0,-103799000.0,,
Common Stock Payments,-173727000.0,-170613000.0,-115744000.0,-99615000.0,-103798000.0,,
Common Stock Issuance,0.0,17226000.0,2000.0,18742000.0,-1000.0,,
Net Issuance Payments Of Debt,-7003000.0,-1158000.0,-4031000.0,-4029000.0,-3985000.0,,
Net Long Term Debt Issuance,-7003000.0,-1158000.0,-4031000.0,-4029000.0,-3985000.0,,
Long Term Debt Payments,-7003000.0,-1158000.0,-4031000.0,-4029000.0,-3985000.0,,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,,
Investing Cash Flow,-153929000.0,-43886000.0,-213767000.0,19714000.0,19644000.0,,
Cash Flow From Continuing Investing Activities,-153929000.0,-43886000.0,-213767000.0,19714000.0,19644000.0,,
Net Investment Purchase And Sale,-112881000.0,29999000.0,62761000.0,59465000.0,48382000.0,,
Sale Of Investment,73962000.0,69918000.0,86968000.0,94333000.0,110460000.0,,
Purchase Of Investment,-186843000.0,-39919000.0,-24207000.0,-34868000.0,-62078000.0,,
Net Business Purchase And Sale,,,-231100000.0,0.0,,,21682000.0
Purchase Of Business,,,-231100000.0,0.0,,,21682000.0
Net PPE Purchase And Sale,-41048000.0,-73885000.0,-45428000.0,-39751000.0,-28738000.0,,
Purchase Of PPE,-41048000.0,-73885000.0,-45428000.0,-39751000.0,-28738000.0,,
Operating Cash Flow,259702000.0,227645000.0,371077000.0,174347000.0,156946000.0,,
Cash Flow From Continuing Operating Activities,259702000.0,227645000.0,371077000.0,174347000.0,156946000.0,,
Change In Working Capital,-86979000.0,-37724000.0,154284000.0,31836000.0,41702000.0,,
Change In Other Working Capital,-50571000.0,86013000.0,25514000.0,-28247000.0,46182000.0,,
Change In Other Current Liabilities,-3346000.0,-3911000.0,-4015000.0,-3882000.0,-3625000.0,,
Change In Other Current Assets,2470000.0,2879000.0,2854000.0,3179000.0,2678000.0,,
Change In Payables And Accrued Expense,102962000.0,-130907000.0,143132000.0,100109000.0,32822000.0,,
Change In Payable,102962000.0,-130907000.0,143132000.0,100109000.0,32822000.0,,
Change In Account Payable,102962000.0,-130907000.0,143132000.0,100109000.0,32822000.0,,
Change In Prepaid Assets,-74071000.0,40024000.0,-51236000.0,53296000.0,-7892000.0,,
Change In Inventory,16538000.0,-41228000.0,19891000.0,3411000.0,-41060000.0,,
Change In Receivables,-80961000.0,9406000.0,18144000.0,-96030000.0,12597000.0,,
Changes In Account Receivables,-80961000.0,9406000.0,18144000.0,-96030000.0,12597000.0,,
Other Non Cash Items,2148000.0,-1545000.0,90202000.0,4517000.0,300000.0,,
Stock Based Compensation,55473000.0,49827000.0,48829000.0,46929000.0,47961000.0,,
Provisionand Write Offof Assets,29149000.0,30017000.0,22379000.0,16342000.0,17530000.0,,
Deferred Tax,-3520000.0,-7043000.0,-1464000.0,-11239000.0,6615000.0,,
Deferred Income Tax,-3520000.0,-7043000.0,-1464000.0,-11239000.0,6615000.0,,
Depreciation Amortization Depletion,45211000.0,43830000.0,37358000.0,35654000.0,33869000.0,,
Depreciation And Amortization,45211000.0,43830000.0,37358000.0,35654000.0,33869000.0,,
Amortization Cash Flow,10499000.0,,,,,,
Amortization Of Intangibles,10499000.0,11521000.0,9862000.0,8788000.0,8777000.0,,
Depreciation,34712000.0,32309000.0,27496000.0,26866000.0,25092000.0,,
Earnings Losses From Equity Investments,,,,,,,0.0
Net Income From Continuing Operations,218220000.0,150283000.0,19489000.0,50308000.0,8969000.0,,
