,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,236002000.0,69862000.0,321501000.0,322511000.0,249604000.0,,
Repurchase Of Capital Stock,-447210000.0,,,,0.0,,
Repayment Of Debt,0.0,1000.0,-670000000.0,-101012000.0,-202787000.0,,
Issuance Of Debt,415000000.0,145000000.0,726862000.0,170000000.0,100000000.0,,
Capital Expenditure,-57045000.0,-58788000.0,-73101000.0,-59951000.0,-50912000.0,,
Interest Paid Supplemental Data,101751000.0,65888000.0,93767000.0,71662000.0,91627000.0,,
Income Tax Paid Supplemental Data,78000.0,14000.0,3000.0,,,51000.0,13000.0
End Cash Position,372979000.0,354865000.0,395668000.0,283724000.0,318630000.0,,
Beginning Cash Position,354865000.0,395668000.0,283724000.0,318630000.0,419693000.0,,
Changes In Cash,18114000.0,-40803000.0,111944000.0,-34906000.0,-101063000.0,,
Financing Cash Flow,-222649000.0,-87879000.0,-128580000.0,-114677000.0,-287355000.0,,
Cash Flow From Continuing Financing Activities,-222649000.0,-87879000.0,-128580000.0,-114677000.0,-287355000.0,,
Net Other Financing Charges,-5921000.0,-1657000.0,-7422000.0,-5100000.0,-6327000.0,,
Cash Dividends Paid,-184518000.0,-178016000.0,-178020000.0,-178565000.0,-178241000.0,,
Common Stock Dividend Paid,-184518000.0,-178016000.0,-178020000.0,-178565000.0,-178241000.0,,
Net Common Stock Issuance,-447210000.0,,,,0.0,,
Common Stock Payments,-447210000.0,,,,0.0,,
Net Issuance Payments Of Debt,415000000.0,145001000.0,56862000.0,68988000.0,-102787000.0,,
Net Long Term Debt Issuance,415000000.0,-824999000.0,1026862000.0,68988000.0,-102787000.0,,
Long Term Debt Payments,0.0,-969999000.0,300000000.0,-101012000.0,-202787000.0,,
Long Term Debt Issuance,415000000.0,145000000.0,726862000.0,170000000.0,100000000.0,,
Investing Cash Flow,-52284000.0,-81574000.0,-154078000.0,-302691000.0,-114224000.0,,
Cash Flow From Continuing Investing Activities,-52284000.0,-81574000.0,-154078000.0,-302691000.0,-114224000.0,,
Net Other Investing Changes,2438000.0,-45192000.0,12638000.0,-18516000.0,-26433000.0,,
Dividends Received Cfi,2409000.0,3177000.0,5041000.0,7057000.0,4303000.0,,
Net Investment Purchase And Sale,,-633000.0,-1124000.0,-82000.0,-1053000.0,30294000.0,
Sale Of Investment,,0.0,0.0,0.0,0.0,31564000.0,
Purchase Of Investment,,-633000.0,-1124000.0,-82000.0,-1053000.0,-1270000.0,
Net Investment Properties Purchase And Sale,3591000.0,25765000.0,-70626000.0,-227733000.0,-30722000.0,,
Sale Of Investment Properties,185161000.0,124300000.0,106114000.0,105020000.0,162672000.0,,
Purchase Of Investment Properties,-181570000.0,-98535000.0,-176740000.0,-332753000.0,-193394000.0,,
Net Business Purchase And Sale,-3677000.0,-5903000.0,-26906000.0,-2413000.0,-10460000.0,,
Purchase Of Business,-3677000.0,-5903000.0,-26906000.0,-2413000.0,-10460000.0,,
Capital Expenditure Reported,-57045000.0,-58788000.0,-73101000.0,-59951000.0,-50912000.0,,
Operating Cash Flow,293047000.0,128650000.0,394602000.0,382462000.0,300516000.0,,
Cash Flow From Continuing Operating Activities,293047000.0,128650000.0,394602000.0,382462000.0,300516000.0,,
Change In Working Capital,-4484000.0,-169608000.0,100850000.0,82789000.0,3560000.0,,
Change In Other Working Capital,,,-341000.0,,,,651000.0
Change In Other Current Liabilities,-81000.0,5966000.0,-2055000.0,-5047000.0,7904000.0,,
Change In Other Current Assets,-24450000.0,1652000.0,7149000.0,10447000.0,-28033000.0,,
Change In Payables And Accrued Expense,20047000.0,-173777000.0,96097000.0,73599000.0,23689000.0,,
Other Non Cash Items,13451000.0,5626000.0,12506000.0,7618000.0,6825000.0,,
Stock Based Compensation,10700000.0,7293000.0,1916000.0,8464000.0,10157000.0,,
Asset Impairment Charge,469000.0,223000.0,335000.0,36000.0,63000.0,,
Depreciation Amortization Depletion,193142000.0,189875000.0,188457000.0,185455000.0,183146000.0,,
Depreciation And Amortization,193142000.0,189875000.0,188457000.0,185455000.0,183146000.0,,
Operating Gains Losses,-81296000.0,-49809000.0,-46672000.0,-43267000.0,-69517000.0,,
Earnings Losses From Equity Investments,5257000.0,4032000.0,-1388000.0,5434000.0,5880000.0,,
Gain Loss On Investment Securities,-86553000.0,-53841000.0,-45284000.0,-48701000.0,-75397000.0,,
Net Income From Continuing Operations,161065000.0,145050000.0,137210000.0,141367000.0,166282000.0,,
