,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,170000000.0,181000000.0,427000000.0,171000000.0,180000000.0,
Capital Expenditure,-90000000.0,-184000000.0,-140000000.0,-161000000.0,-78000000.0,
End Cash Position,2751000000.0,2807000000.0,2518000000.0,1956000000.0,2085000000.0,
Beginning Cash Position,2807000000.0,2518000000.0,1956000000.0,2085000000.0,2036000000.0,
Effect Of Exchange Rate Changes,-10000000.0,2000000.0,-11000000.0,34000000.0,6000000.0,
Changes In Cash,-46000000.0,287000000.0,573000000.0,-163000000.0,43000000.0,
Financing Cash Flow,-105000000.0,-130000000.0,-190000000.0,-123000000.0,-27000000.0,
Cash Flow From Continuing Financing Activities,-105000000.0,-130000000.0,-190000000.0,-123000000.0,-27000000.0,
Net Other Financing Charges,-144000000.0,-130000000.0,-225000000.0,-123000000.0,-27000000.0,
Proceeds From Stock Option Exercised,39000000.0,0.0,35000000.0,,,0.0
Investing Cash Flow,-201000000.0,52000000.0,196000000.0,-372000000.0,-188000000.0,
Cash Flow From Continuing Investing Activities,-201000000.0,52000000.0,196000000.0,-372000000.0,-188000000.0,
Net Other Investing Changes,-5000000.0,43000000.0,0.0,1000000.0,0.0,
Net Investment Purchase And Sale,-104000000.0,199000000.0,210000000.0,-210000000.0,-105000000.0,
Sale Of Investment,306000000.0,524000000.0,260000000.0,145000000.0,220000000.0,
Purchase Of Investment,-410000000.0,-325000000.0,-50000000.0,-355000000.0,-325000000.0,
Net Business Purchase And Sale,-2000000.0,-6000000.0,126000000.0,-2000000.0,-5000000.0,
Sale Of Business,0.0,0.0,127000000.0,,,0.0
Purchase Of Business,-2000000.0,-6000000.0,-1000000.0,-2000000.0,-5000000.0,
Net Intangibles Purchase And Sale,-16000000.0,-5000000.0,-2000000.0,-7000000.0,-4000000.0,
Purchase Of Intangibles,-16000000.0,-5000000.0,-2000000.0,-7000000.0,-4000000.0,
Net PPE Purchase And Sale,-74000000.0,-179000000.0,-138000000.0,-154000000.0,-74000000.0,
Purchase Of PPE,-74000000.0,-179000000.0,-138000000.0,-154000000.0,-74000000.0,
Operating Cash Flow,260000000.0,365000000.0,567000000.0,332000000.0,258000000.0,
Cash Flow From Continuing Operating Activities,260000000.0,365000000.0,567000000.0,332000000.0,258000000.0,
Change In Working Capital,-469000000.0,-179000000.0,135000000.0,-89000000.0,-290000000.0,
Change In Other Working Capital,-5000000.0,21000000.0,29000000.0,90000000.0,-15000000.0,
Change In Other Current Liabilities,0.0,-8000000.0,-21000000.0,-94000000.0,30000000.0,
Change In Payables And Accrued Expense,63000000.0,-7000000.0,-5000000.0,-38000000.0,130000000.0,
Change In Accrued Expense,10000000.0,35000000.0,-17000000.0,-4000000.0,30000000.0,
Change In Payable,53000000.0,-42000000.0,12000000.0,-34000000.0,100000000.0,
Change In Tax Payable,53000000.0,-42000000.0,12000000.0,-34000000.0,100000000.0,
Change In Income Tax Payable,53000000.0,-42000000.0,12000000.0,-34000000.0,100000000.0,
Change In Prepaid Assets,-32000000.0,-89000000.0,-34000000.0,38000000.0,-58000000.0,
Change In Receivables,-495000000.0,-96000000.0,166000000.0,-85000000.0,-377000000.0,
Changes In Account Receivables,-324000000.0,135000000.0,196000000.0,-208000000.0,-172000000.0,
Other Non Cash Items,34000000.0,8000000.0,1000000.0,8000000.0,20000000.0,
Stock Based Compensation,261000000.0,285000000.0,265000000.0,241000000.0,193000000.0,
Deferred Tax,70000000.0,-29000000.0,-12000000.0,-14000000.0,-214000000.0,
Deferred Income Tax,70000000.0,-29000000.0,-12000000.0,-14000000.0,-214000000.0,
Depreciation Amortization Depletion,71000000.0,63000000.0,55000000.0,60000000.0,49000000.0,
Depreciation And Amortization,71000000.0,63000000.0,55000000.0,60000000.0,49000000.0,
Operating Gains Losses,-20000000.0,-6000000.0,-115000000.0,-4000000.0,290000000.0,
Earnings Losses From Equity Investments,-20000000.0,-6000000.0,16000000.0,-4000000.0,290000000.0,
Gain Loss On Investment Securities,,,-131000000.0,,,
Gain Loss On Sale Of Business,0.0,,,,,0.0
Net Income From Continuing Operations,313000000.0,223000000.0,238000000.0,130000000.0,210000000.0,
