,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1639000000.0,1224900000.0,1238100000.0,1176100000.0,613300000.0,,
Repurchase Of Capital Stock,0.0,-620100000.0,0.0,-195900000.0,-787100000.0,,
Capital Expenditure,-54500000.0,-37000000.0,-30100000.0,-24000000.0,-28400000.0,,
End Cash Position,2790900000.0,1965300000.0,2328000000.0,2226900000.0,1846500000.0,,
Beginning Cash Position,1965300000.0,2328000000.0,2226900000.0,1846500000.0,2763800000.0,,
Effect Of Exchange Rate Changes,-2600000.0,0.0,-1600000.0,2600000.0,700000.0,,
Changes In Cash,828200000.0,-362700000.0,102700000.0,377800000.0,-918000000.0,,
Financing Cash Flow,0.0,-625500000.0,20600000.0,-197200000.0,-793800000.0,,
Cash Flow From Continuing Financing Activities,0.0,-625500000.0,20600000.0,-197200000.0,-793800000.0,,
Net Other Financing Charges,-29900000.0,-6200000.0,-5000000.0,-4500000.0,-34800000.0,,
Proceeds From Stock Option Exercised,29900000.0,800000.0,25600000.0,3200000.0,28100000.0,,
Net Common Stock Issuance,0.0,-620100000.0,0.0,-195900000.0,-787100000.0,,
Common Stock Payments,0.0,-620100000.0,0.0,-195900000.0,-787100000.0,,
Investing Cash Flow,-865300000.0,-999100000.0,-1186100000.0,-625100000.0,-765900000.0,,
Cash Flow From Continuing Investing Activities,-865300000.0,-999100000.0,-1186100000.0,-625100000.0,-765900000.0,,
Net Other Investing Changes,5000000.0,24900000.0,,,,0.0,-5628000.0
Net Investment Purchase And Sale,-815800000.0,-987000000.0,-1146000000.0,-301100000.0,-737500000.0,,
Sale Of Investment,1116800000.0,945100000.0,964600000.0,859100000.0,808000000.0,,
Purchase Of Investment,-1932600000.0,-1932100000.0,-2110600000.0,-1160200000.0,-1545500000.0,,
Net Business Purchase And Sale,,0.0,0.0,,,,
Purchase Of Business,,0.0,0.0,,,,
Net PPE Purchase And Sale,-54500000.0,-37000000.0,-30100000.0,-24000000.0,-28400000.0,,
Purchase Of PPE,-54500000.0,-37000000.0,-30100000.0,-24000000.0,-28400000.0,,
Operating Cash Flow,1693500000.0,1261900000.0,1268200000.0,1200100000.0,641700000.0,,
Cash Flow From Continuing Operating Activities,1693500000.0,1261900000.0,1268200000.0,1200100000.0,641700000.0,,
Change In Working Capital,634700000.0,263300000.0,131200000.0,453000000.0,-159700000.0,,
Change In Other Working Capital,1179100000.0,791500000.0,519100000.0,602700000.0,538700000.0,,
Change In Other Current Liabilities,-40200000.0,99800000.0,69300000.0,123600000.0,-173300000.0,,
Change In Other Current Assets,-298700000.0,-253700000.0,-280500000.0,-289500000.0,-113700000.0,,
Change In Payables And Accrued Expense,-35600000.0,114600000.0,-214300000.0,305700000.0,6700000.0,,
Change In Accrued Expense,,,,,,,2498000.0
Change In Payable,-35600000.0,114600000.0,-214300000.0,305700000.0,6700000.0,,
Change In Account Payable,-35600000.0,162400000.0,-61900000.0,153300000.0,6700000.0,,
Change In Tax Payable,352900000.0,,,-88900000.0,241300000.0,,
Change In Income Tax Payable,352900000.0,,,-88900000.0,241300000.0,,
Change In Inventory,-133000000.0,-91400000.0,-96600000.0,-101800000.0,-122700000.0,,
Change In Receivables,-36900000.0,-397500000.0,134200000.0,-187700000.0,-295400000.0,,
Changes In Account Receivables,-36900000.0,-397500000.0,134200000.0,-187700000.0,-295400000.0,,
Other Non Cash Items,-3400000.0,-3600000.0,-2500000.0,-8900000.0,-12100000.0,,
Stock Based Compensation,120900000.0,133100000.0,127900000.0,85200000.0,93000000.0,,
Amortization Of Securities,,,,,,-15859000.0,-16766000.0
Deferred Tax,-104900000.0,-109500000.0,135400000.0,-230800000.0,-107100000.0,,
Deferred Income Tax,-104900000.0,-109500000.0,135400000.0,-230800000.0,-107100000.0,,
Depreciation Amortization Depletion,23300000.0,22800000.0,23200000.0,12800000.0,13800000.0,,
Depreciation And Amortization,23300000.0,22800000.0,23200000.0,12800000.0,13800000.0,,
Depreciation,23300000.0,,,,13800000.0,,
Net Income From Continuing Operations,1022900000.0,955800000.0,853000000.0,888800000.0,813800000.0,,
