,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Ordinary Shares Number,7962000000.0,7969000000.0,7972000000.0,7975000000.0,7986000000.0,,
Share Issued,7962000000.0,7969000000.0,7972000000.0,7975000000.0,7986000000.0,,
Net Debt,40727000000.0,34035000000.0,35787000000.0,34057000000.0,36889000000.0,,
Total Debt,74179000000.0,67095000000.0,68424000000.0,65014000000.0,67205000000.0,,
Tangible Book Value,66178000000.0,70882000000.0,67372000000.0,61050000000.0,54927000000.0,,
Invested Capital,145786000000.0,144379000000.0,142463000000.0,133598000000.0,129993000000.0,,
Working Capital,-26189000000.0,-22595000000.0,-22812000000.0,-21533000000.0,-22667000000.0,,
Net Tangible Assets,66178000000.0,70882000000.0,67372000000.0,61050000000.0,54927000000.0,,
Capital Lease Obligations,22723000000.0,22333000000.0,22055000000.0,21526000000.0,21005000000.0,,
Common Stock Equity,94330000000.0,99617000000.0,96094000000.0,90110000000.0,83793000000.0,,
Total Capitalization,131217000000.0,134241000000.0,130539000000.0,125750000000.0,120313000000.0,,
Total Equity Gross Minority Interest,100975000000.0,106180000000.0,102512000000.0,96857000000.0,90648000000.0,,
Minority Interest,6645000000.0,6563000000.0,6418000000.0,6747000000.0,6855000000.0,,
Stockholders Equity,94330000000.0,99617000000.0,96094000000.0,90110000000.0,83793000000.0,,
Gains Losses Not Affecting Retained Earnings,-13605000000.0,-12770000000.0,-13124000000.0,-12733000000.0,-13296000000.0,,
Other Equity Adjustments,-13605000000.0,-12770000000.0,-13124000000.0,-12733000000.0,-682000000.0,,
Foreign Currency Translation Adjustments,,,,,-12614000000.0,-12661000000.0,-11664000000.0
Retained Earnings,100241000000.0,104774000000.0,101558000000.0,96328000000.0,90849000000.0,,
Additional Paid In Capital,6898000000.0,6816000000.0,6863000000.0,5718000000.0,5441000000.0,,
Capital Stock,796000000.0,797000000.0,797000000.0,797000000.0,799000000.0,,
Common Stock,796000000.0,797000000.0,797000000.0,797000000.0,799000000.0,,
Total Liabilities Net Minority Interest,188632000000.0,178488000000.0,186143000000.0,173980000000.0,171724000000.0,,
Total Non Current Liabilities Net Minority Interest,74049000000.0,71019000000.0,70411000000.0,70414000000.0,68804000000.0,,
Other Non Current Liabilities,16952000000.0,16549000000.0,16345000000.0,15656000000.0,13609000000.0,,
Long Term Debt And Capital Lease Obligation,57097000000.0,54470000000.0,54066000000.0,54758000000.0,55195000000.0,,
Long Term Capital Lease Obligation,20210000000.0,19846000000.0,19621000000.0,19118000000.0,18675000000.0,,
Long Term Debt,36887000000.0,34624000000.0,34445000000.0,35640000000.0,36520000000.0,,
Current Liabilities,114583000000.0,107469000000.0,115732000000.0,103566000000.0,102920000000.0,,
Current Deferred Liabilities,,2941000000.0,,,,2755000000.0,
Current Deferred Revenue,,2941000000.0,,,,2755000000.0,
Current Debt And Capital Lease Obligation,17082000000.0,12625000000.0,14358000000.0,10256000000.0,12010000000.0,,
Current Capital Lease Obligation,2513000000.0,2487000000.0,2434000000.0,2408000000.0,2330000000.0,,
Current Debt,14569000000.0,10138000000.0,11924000000.0,7848000000.0,9680000000.0,,
Other Current Borrowings,14569000000.0,10138000000.0,11924000000.0,7848000000.0,9680000000.0,,
Payables And Accrued Expenses,97501000000.0,91903000000.0,101374000000.0,93310000000.0,90910000000.0,,
Current Accrued Expenses,27530000000.0,24136000000.0,31521000000.0,28821000000.0,26085000000.0,,
Payables,69971000000.0,67767000000.0,69853000000.0,64489000000.0,64825000000.0,,
Dividends Payable,5921000000.0,,1908000000.0,3783000000.0,5660000000.0,,1674000000.0
Total Tax Payable,1174000000.0,4706000000.0,789000000.0,620000000.0,1465000000.0,,
Income Tax Payable,1174000000.0,596000000.0,789000000.0,620000000.0,1465000000.0,,
Accounts Payable,62876000000.0,63061000000.0,67156000000.0,60086000000.0,57700000000.0,,
Total Assets,289607000000.0,284668000000.0,288655000000.0,270837000000.0,262372000000.0,,
Total Non Current Assets,201213000000.0,199794000000.0,195735000000.0,188804000000.0,182119000000.0,,
Other Non Current Assets,14019000000.0,14103000000.0,16173000000.0,14187000000.0,12369000000.0,,
Goodwill And Other Intangible Assets,28152000000.0,28735000000.0,28722000000.0,29060000000.0,28866000000.0,,
Goodwill,28152000000.0,28735000000.0,28722000000.0,29060000000.0,28866000000.0,,
Net PPE,159042000000.0,156956000000.0,150840000000.0,145557000000.0,140884000000.0,,
Accumulated Depreciation,,-120338000000.0,,,,-111624000000.0,
Gross PPE,159042000000.0,277294000000.0,150840000000.0,145557000000.0,140884000000.0,,
Construction In Progress,,18728000000.0,,,,15403000000.0,
Other Properties,159042000000.0,20873000000.0,150840000000.0,145557000000.0,140884000000.0,,
Machinery Furniture Equipment,,88467000000.0,,,,78899000000.0,
Buildings And Improvements,,128472000000.0,,,,117973000000.0,
Land And Improvements,,20754000000.0,,,,19342000000.0,
Properties,,0.0,,,,0.0,
