,2026-05-31,2026-02-28,2025-11-30,2025-08-31,2025-05-31
Ordinary Shares Number,443478804.0,443652540.0,443919000.0,443237000.0,443477086.0
Share Issued,443478804.0,443652540.0,443919000.0,443237000.0,443477086.0
Total Debt,8136000000.0,8165000000.0,8102000000.0,8173000000.0,8180000000.0
Tangible Book Value,33509000000.0,32087000000.0,30303000000.0,29164000000.0,27125000000.0
Invested Capital,39179000000.0,37775000000.0,35969000000.0,34877000000.0,32842000000.0
Working Capital,3052000000.0,2370000000.0,1606000000.0,1272000000.0,572000000.0
Net Tangible Assets,33509000000.0,32087000000.0,30303000000.0,29164000000.0,27125000000.0
Capital Lease Obligations,2466000000.0,2477000000.0,2436000000.0,2460000000.0,2463000000.0
Common Stock Equity,33509000000.0,32087000000.0,30303000000.0,29164000000.0,27125000000.0
Total Capitalization,39179000000.0,37775000000.0,35969000000.0,34877000000.0,32842000000.0
Total Equity Gross Minority Interest,33509000000.0,32087000000.0,30303000000.0,29164000000.0,27125000000.0
Minority Interest,,,,0.0,
Stockholders Equity,33509000000.0,32087000000.0,30303000000.0,29164000000.0,27125000000.0
Gains Losses Not Affecting Retained Earnings,-1658000000.0,-1606000000.0,-1976000000.0,-1770000000.0,-1915000000.0
Other Equity Adjustments,-1658000000.0,-1606000000.0,-1976000000.0,-1770000000.0,-1915000000.0
Retained Earnings,26482000000.0,25121000000.0,23869000000.0,22650000000.0,20890000000.0
Additional Paid In Capital,8683000000.0,8570000000.0,8408000000.0,8282000000.0,8148000000.0
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,52921000000.0,51552000000.0,52487000000.0,47935000000.0,48357000000.0
Total Non Current Liabilities Net Minority Interest,10796000000.0,10789000000.0,10682000000.0,10827000000.0,10778000000.0
Other Non Current Liabilities,2660000000.0,2624000000.0,2580000000.0,2654000000.0,2598000000.0
Long Term Debt And Capital Lease Obligation,8136000000.0,8165000000.0,8102000000.0,8173000000.0,8180000000.0
Long Term Capital Lease Obligation,2466000000.0,2477000000.0,2436000000.0,2460000000.0,2463000000.0
Long Term Debt,5670000000.0,5688000000.0,5666000000.0,5713000000.0,5717000000.0
Current Liabilities,42125000000.0,40763000000.0,41805000000.0,37108000000.0,37579000000.0
Other Current Liabilities,8439000000.0,8522000000.0,7418000000.0,6589000000.0,7432000000.0
Current Deferred Liabilities,3157000000.0,3126000000.0,2990000000.0,2854000000.0,2931000000.0
Payables And Accrued Expenses,30529000000.0,29115000000.0,31397000000.0,27665000000.0,27216000000.0
Current Accrued Expenses,8166000000.0,8468000000.0,7884000000.0,7882000000.0,7396000000.0
Payables,22363000000.0,20647000000.0,23513000000.0,19783000000.0,19820000000.0
Accounts Payable,22363000000.0,20647000000.0,23513000000.0,19783000000.0,19820000000.0
Total Assets,86430000000.0,83639000000.0,82790000000.0,77099000000.0,75482000000.0
Total Non Current Assets,41253000000.0,40506000000.0,39379000000.0,38719000000.0,37331000000.0
Other Non Current Assets,4213000000.0,4102000000.0,4033000000.0,4085000000.0,4031000000.0
Net PPE,37040000000.0,36404000000.0,35346000000.0,34634000000.0,33300000000.0
Accumulated Depreciation,,,,-18931000000.0,
Gross PPE,37040000000.0,36404000000.0,35346000000.0,53565000000.0,33300000000.0
Construction In Progress,,,,1882000000.0,
Other Properties,37040000000.0,36404000000.0,35346000000.0,2725000000.0,33300000000.0
Machinery Furniture Equipment,,,,13127000000.0,
Buildings And Improvements,,,,25508000000.0,
Land And Improvements,,,,10323000000.0,
Properties,,,,0.0,
Current Assets,45177000000.0,43133000000.0,43411000000.0,38380000000.0,38151000000.0
Other Current Assets,2013000000.0,2120000000.0,1856000000.0,1777000000.0,1820000000.0
Inventory,19418000000.0,18991000000.0,21141000000.0,18116000000.0,18606000000.0
Finished Goods,19418000000.0,18991000000.0,21141000000.0,18116000000.0,18606000000.0
Receivables,3750000000.0,3782000000.0,3231000000.0,3203000000.0,2875000000.0
Accounts Receivable,3750000000.0,3782000000.0,3231000000.0,3203000000.0,2875000000.0
Cash Cash Equivalents And Short Term Investments,19996000000.0,18240000000.0,17183000000.0,15284000000.0,14850000000.0
Other Short Term Investments,1050000000.0,857000000.0,966000000.0,1123000000.0,1014000000.0
Cash And Cash Equivalents,18946000000.0,17383000000.0,16217000000.0,14161000000.0,13836000000.0
