,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,361793138.0,358953138.0,359852138.0,359650138.0,359649138.0,,
Share Issued,361793138.0,358953138.0,359852138.0,359650138.0,359649138.0,,
Net Debt,1032000000.0,,974500000.0,1439100000.0,2014100000.0,535600000.0,
Total Debt,3423200000.0,3422300000.0,3421300000.0,3420400000.0,3419400000.0,,
Tangible Book Value,-3613900000.0,-1572500000.0,-2167300000.0,-2688700000.0,-3417300000.0,,
Invested Capital,30041400000.0,32150500000.0,31611600000.0,31159400000.0,30450100000.0,,
Working Capital,3003400000.0,5062600000.0,3213600000.0,2655300000.0,2025200000.0,,
Net Tangible Assets,-3613900000.0,-1572500000.0,-2167300000.0,-2688700000.0,-3417300000.0,,
Common Stock Equity,26618200000.0,28728200000.0,28190300000.0,27739000000.0,27030700000.0,,
Total Capitalization,30041400000.0,32150500000.0,31611600000.0,31159400000.0,30450100000.0,,
Total Equity Gross Minority Interest,26618200000.0,28728200000.0,28190300000.0,27739000000.0,27030700000.0,,
Stockholders Equity,26618200000.0,28728200000.0,28190300000.0,27739000000.0,27030700000.0,,
Gains Losses Not Affecting Retained Earnings,59400000.0,81900000.0,43400000.0,45400000.0,-74800000.0,,
Other Equity Adjustments,59400000.0,81900000.0,43400000.0,45400000.0,-74800000.0,,
Retained Earnings,4884600000.0,6433200000.0,5706400000.0,5254900000.0,4685900000.0,,
Additional Paid In Capital,21670600000.0,22209500000.0,22436900000.0,22435100000.0,22416000000.0,,
Capital Stock,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,
Common Stock,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,175375300000.0,169696000000.0,158954300000.0,152168000000.0,130800900000.0,,
Total Non Current Liabilities Net Minority Interest,9377500000.0,9399300000.0,9367100000.0,9373200000.0,9380700000.0,,
Other Non Current Liabilities,733200000.0,734800000.0,725700000.0,720200000.0,721200000.0,,
Non Current Deferred Liabilities,5221100000.0,5242200000.0,5220100000.0,5232600000.0,5240100000.0,,
Non Current Deferred Taxes Liabilities,5221100000.0,5242200000.0,5220100000.0,5232600000.0,5240100000.0,,
Long Term Debt And Capital Lease Obligation,3423200000.0,3422300000.0,3421300000.0,3420400000.0,3419400000.0,,
Long Term Debt,3423200000.0,3422300000.0,3421300000.0,3420400000.0,3419400000.0,,
Current Liabilities,165997800000.0,160296700000.0,149587200000.0,142794800000.0,121420200000.0,,
Other Current Liabilities,165922400000.0,160224900000.0,149512300000.0,142702500000.0,121320000000.0,,
Current Debt And Capital Lease Obligation,,,,,,749800000.0,749700000.0
Current Debt,,,,,,749800000.0,749700000.0
Other Current Borrowings,,,,,,749800000.0,749700000.0
Payables And Accrued Expenses,75400000.0,71800000.0,74900000.0,92300000.0,100200000.0,,
Payables,75400000.0,71800000.0,74900000.0,92300000.0,100200000.0,,
Accounts Payable,75400000.0,71800000.0,74900000.0,92300000.0,100200000.0,,
Total Assets,201993500000.0,198424200000.0,187144600000.0,179907000000.0,157831600000.0,,
Total Non Current Assets,32992300000.0,33064900000.0,34343800000.0,34456900000.0,34386200000.0,,
Other Non Current Assets,2404800000.0,2401500000.0,3631000000.0,3666300000.0,3567000000.0,,
Goodwill And Other Intangible Assets,30232100000.0,30300700000.0,30357600000.0,30427700000.0,30448000000.0,,
Other Intangible Assets,19726100000.0,19786000000.0,19843100000.0,19903800000.0,19948500000.0,,
Goodwill,10506000000.0,10514700000.0,10514500000.0,10523900000.0,10499500000.0,,
Net PPE,355400000.0,362700000.0,355200000.0,362900000.0,371200000.0,,
Accumulated Depreciation,-1028300000.0,-1005700000.0,-983200000.0,-960800000.0,,-1024300000.0,
Gross PPE,1383700000.0,1368400000.0,1338400000.0,1323700000.0,371200000.0,,
Leases,,149500000.0,,,,147100000.0,
Machinery Furniture Equipment,,1088200000.0,,,,1132700000.0,
Buildings And Improvements,,130700000.0,,,,130700000.0,
Properties,,0.0,,,371200000.0,0.0,1398600000.0
Current Assets,169001200000.0,165359300000.0,152800800000.0,145450100000.0,123445400000.0,,
Other Current Assets,508600000.0,515600000.0,540200000.0,519100000.0,455200000.0,,
Restricted Cash,165041700000.0,159662600000.0,149047700000.0,142164500000.0,120700800000.0,,
Receivables,935500000.0,639200000.0,642900000.0,667600000.0,770200000.0,,
Accounts Receivable,935500000.0,639200000.0,642900000.0,667600000.0,770200000.0,,
Allowance For Doubtful Accounts Receivable,-9500000.0,-10000000.0,-9200000.0,-9900000.0,-8700000.0,,
Gross Accounts Receivable,945000000.0,649200000.0,652100000.0,677500000.0,778900000.0,,
Cash Cash Equivalents And Short Term Investments,2515400000.0,4541900000.0,2570000000.0,2098900000.0,1519200000.0,,
Other Short Term Investments,124200000.0,125000000.0,123200000.0,117600000.0,113900000.0,,
Cash And Cash Equivalents,2391200000.0,4416900000.0,2446800000.0,1981300000.0,1405300000.0,,
