,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Ordinary Shares Number,282218158.0,282695763.0,283054377.0,283593838.0,283936028.0,,
Share Issued,282218158.0,282695763.0,283054377.0,283593838.0,283936028.0,,
Net Debt,1548000000.0,1596000000.0,1565000000.0,1874000000.0,2009000000.0,,
Total Debt,3355000000.0,3354000000.0,3354000000.0,3409000000.0,3495000000.0,,
Tangible Book Value,2231000000.0,1998000000.0,1823000000.0,1426000000.0,1167000000.0,,
Invested Capital,10477000000.0,10262000000.0,10095000000.0,9779000000.0,9631000000.0,,
Working Capital,2494000000.0,2381000000.0,2247000000.0,2361000000.0,2196000000.0,,
Net Tangible Assets,2231000000.0,1998000000.0,1823000000.0,1426000000.0,1167000000.0,,
Common Stock Equity,7122000000.0,6908000000.0,6741000000.0,6370000000.0,6136000000.0,,
Total Capitalization,10173000000.0,9958000000.0,9791000000.0,9720000000.0,9485000000.0,,
Total Equity Gross Minority Interest,7122000000.0,6908000000.0,6741000000.0,6370000000.0,6136000000.0,,
Stockholders Equity,7122000000.0,6908000000.0,6741000000.0,6370000000.0,6136000000.0,,
Gains Losses Not Affecting Retained Earnings,-202000000.0,-184000000.0,-226000000.0,-283000000.0,-280000000.0,,
Other Equity Adjustments,-202000000.0,-184000000.0,-226000000.0,-283000000.0,-280000000.0,,
Retained Earnings,1692000000.0,1484000000.0,1389000000.0,1102000000.0,912000000.0,,
Additional Paid In Capital,5629000000.0,5605000000.0,5575000000.0,5548000000.0,5501000000.0,,
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,5943000000.0,5905000000.0,5986000000.0,5856000000.0,6022000000.0,,
Total Non Current Liabilities Net Minority Interest,3674000000.0,3671000000.0,3639000000.0,3964000000.0,4010000000.0,,
Other Non Current Liabilities,496000000.0,491000000.0,463000000.0,495000000.0,535000000.0,,
Employee Benefits,127000000.0,130000000.0,126000000.0,119000000.0,126000000.0,,
Non Current Pension And Other Postretirement Benefit Plans,127000000.0,130000000.0,126000000.0,119000000.0,126000000.0,,
Long Term Debt And Capital Lease Obligation,3051000000.0,3050000000.0,3050000000.0,3350000000.0,3349000000.0,,
Long Term Debt,3051000000.0,3050000000.0,3050000000.0,3350000000.0,3349000000.0,,
Current Liabilities,2269000000.0,2234000000.0,2347000000.0,1892000000.0,2012000000.0,,
Current Deferred Liabilities,665000000.0,682000000.0,624000000.0,620000000.0,628000000.0,,
Current Deferred Revenue,665000000.0,682000000.0,624000000.0,620000000.0,628000000.0,,
Current Debt And Capital Lease Obligation,304000000.0,304000000.0,304000000.0,59000000.0,146000000.0,,
Current Debt,304000000.0,304000000.0,304000000.0,59000000.0,146000000.0,,
Other Current Borrowings,304000000.0,304000000.0,,4000000.0,6000000.0,6000000.0,
Commercial Paper,,,,55000000.0,140000000.0,10000000.0,
Pensionand Other Post Retirement Benefit Plans Current,387000000.0,297000000.0,443000000.0,346000000.0,347000000.0,,
Payables And Accrued Expenses,913000000.0,951000000.0,976000000.0,867000000.0,891000000.0,,
Current Accrued Expenses,298000000.0,349000000.0,406000000.0,337000000.0,374000000.0,,
Payables,615000000.0,602000000.0,570000000.0,530000000.0,517000000.0,,
Accounts Payable,615000000.0,602000000.0,570000000.0,530000000.0,517000000.0,,
Total Assets,13065000000.0,12813000000.0,12727000000.0,12226000000.0,12158000000.0,,
Total Non Current Assets,8302000000.0,8198000000.0,8133000000.0,7973000000.0,7950000000.0,,
Other Non Current Assets,1176000000.0,1075000000.0,1059000000.0,930000000.0,934000000.0,,
Investments And Advances,136000000.0,135000000.0,133000000.0,133000000.0,135000000.0,,
Goodwill And Other Intangible Assets,4891000000.0,4910000000.0,4918000000.0,4944000000.0,4969000000.0,,
Other Intangible Assets,407000000.0,426000000.0,445000000.0,469000000.0,495000000.0,,
Goodwill,4484000000.0,4484000000.0,4473000000.0,4475000000.0,4474000000.0,,
Net PPE,2099000000.0,2078000000.0,2023000000.0,1966000000.0,1912000000.0,,
Accumulated Depreciation,,,-1423000000.0,,,,-1304000000.0
Gross PPE,,,3446000000.0,,,,3082000000.0
Machinery Furniture Equipment,,,1321000000.0,,,,1227000000.0
Buildings And Improvements,,,2056000000.0,,,,1786000000.0
Properties,,,0.0,,,,0.0
Current Assets,4763000000.0,4615000000.0,4594000000.0,4253000000.0,4208000000.0,,
Other Current Assets,369000000.0,277000000.0,293000000.0,322000000.0,365000000.0,,
Inventory,1089000000.0,1059000000.0,1025000000.0,1014000000.0,991000000.0,,
Finished Goods,561000000.0,546000000.0,547000000.0,544000000.0,529000000.0,,
Raw Materials,528000000.0,513000000.0,478000000.0,470000000.0,462000000.0,,
Receivables,1498000000.0,1521000000.0,1487000000.0,1382000000.0,1366000000.0,,
Other Receivables,,,,294000000.0,289000000.0,248000000.0,
Accounts Receivable,1498000000.0,1521000000.0,1487000000.0,1088000000.0,1077000000.0,,
Cash Cash Equivalents And Short Term Investments,1807000000.0,1758000000.0,1789000000.0,1535000000.0,1486000000.0,,
Cash And Cash Equivalents,1807000000.0,1758000000.0,1789000000.0,1535000000.0,1486000000.0,,
