,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Ordinary Shares Number,210700000.0,209100000.0,210000000.0,210400000.0,211300000.0,,
Share Issued,210700000.0,209100000.0,210000000.0,210400000.0,211300000.0,,
Net Debt,,,242000000.0,,16000000.0,,513000000.0
Total Debt,4126000000.0,4133000000.0,4093000000.0,4076000000.0,4051000000.0,,
Tangible Book Value,2293000000.0,2169000000.0,1856000000.0,1744000000.0,1787000000.0,,
Invested Capital,4252000000.0,4129000000.0,3818000000.0,3890000000.0,3926000000.0,,
Working Capital,943000000.0,825000000.0,460000000.0,324000000.0,173000000.0,,
Net Tangible Assets,2293000000.0,2169000000.0,1856000000.0,1744000000.0,1787000000.0,,
Capital Lease Obligations,2957000000.0,2968000000.0,2928000000.0,2902000000.0,2888000000.0,,
Common Stock Equity,3083000000.0,2964000000.0,2653000000.0,2716000000.0,2763000000.0,,
Total Capitalization,4241000000.0,4129000000.0,3808000000.0,3880000000.0,3916000000.0,,
Total Equity Gross Minority Interest,3083000000.0,2964000000.0,2653000000.0,2716000000.0,2763000000.0,,
Stockholders Equity,3083000000.0,2964000000.0,2653000000.0,2716000000.0,2763000000.0,,
Gains Losses Not Affecting Retained Earnings,319000000.0,318000000.0,309000000.0,313000000.0,313000000.0,,
Other Equity Adjustments,319000000.0,318000000.0,309000000.0,313000000.0,313000000.0,,
Retained Earnings,2677000000.0,2610000000.0,2306000000.0,2381000000.0,2428000000.0,,
Additional Paid In Capital,65000000.0,14000000.0,16000000.0,0.0,0.0,,
Capital Stock,22000000.0,22000000.0,22000000.0,22000000.0,22000000.0,,
Common Stock,22000000.0,22000000.0,22000000.0,22000000.0,22000000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,11807000000.0,11706000000.0,14133000000.0,12537000000.0,11365000000.0,,
Total Non Current Liabilities Net Minority Interest,4010000000.0,4027000000.0,4020000000.0,3984000000.0,3953000000.0,,
Other Non Current Liabilities,509000000.0,528000000.0,556000000.0,528000000.0,523000000.0,,
Long Term Debt And Capital Lease Obligation,3501000000.0,3499000000.0,3464000000.0,3456000000.0,3430000000.0,,
Long Term Capital Lease Obligation,2343000000.0,2334000000.0,2309000000.0,2292000000.0,2277000000.0,,
Long Term Debt,1158000000.0,1165000000.0,1155000000.0,1164000000.0,1153000000.0,,
Current Liabilities,7797000000.0,7679000000.0,10113000000.0,8553000000.0,7412000000.0,,
Current Deferred Liabilities,1072000000.0,1135000000.0,1084000000.0,1119000000.0,1137000000.0,,
Current Deferred Revenue,1072000000.0,1135000000.0,1084000000.0,1119000000.0,1137000000.0,,
Current Debt And Capital Lease Obligation,625000000.0,634000000.0,629000000.0,620000000.0,621000000.0,,
Current Capital Lease Obligation,614000000.0,634000000.0,619000000.0,610000000.0,611000000.0,,
Current Debt,11000000.0,,10000000.0,10000000.0,10000000.0,,12000000.0
Other Current Borrowings,11000000.0,,10000000.0,10000000.0,10000000.0,,12000000.0
Pensionand Other Post Retirement Benefit Plans Current,317000000.0,423000000.0,392000000.0,448000000.0,367000000.0,,
Payables And Accrued Expenses,5783000000.0,5487000000.0,8008000000.0,6366000000.0,5287000000.0,,
Current Accrued Expenses,665000000.0,742000000.0,689000000.0,684000000.0,617000000.0,,
Payables,5118000000.0,4745000000.0,7319000000.0,5682000000.0,4670000000.0,,
Accounts Payable,5118000000.0,4745000000.0,7319000000.0,5682000000.0,4670000000.0,,
Total Assets,14890000000.0,14670000000.0,16786000000.0,15253000000.0,14128000000.0,,
Total Non Current Assets,6150000000.0,6166000000.0,6213000000.0,6376000000.0,6543000000.0,,
Other Non Current Assets,503000000.0,516000000.0,541000000.0,542000000.0,657000000.0,,
Goodwill And Other Intangible Assets,790000000.0,795000000.0,797000000.0,972000000.0,976000000.0,,
Other Intangible Assets,,5000000.0,7000000.0,64000000.0,68000000.0,91000000.0,
Goodwill,790000000.0,790000000.0,790000000.0,908000000.0,908000000.0,,
Net PPE,4857000000.0,4855000000.0,4875000000.0,4862000000.0,4910000000.0,,
Accumulated Depreciation,,-4955000000.0,,,,-4930000000.0,
Gross PPE,4857000000.0,9810000000.0,4875000000.0,4862000000.0,4910000000.0,,
Leases,,2475000000.0,,,,2458000000.0,
Other Properties,4857000000.0,2869000000.0,4875000000.0,4862000000.0,4910000000.0,,
Machinery Furniture Equipment,,3732000000.0,,,,3872000000.0,
Land And Improvements,,734000000.0,,,,722000000.0,
Properties,,0.0,,,,0.0,
Current Assets,8740000000.0,8504000000.0,10573000000.0,8877000000.0,7585000000.0,,
Other Current Assets,487000000.0,493000000.0,640000000.0,688000000.0,500000000.0,,
Inventory,5598000000.0,5230000000.0,7993000000.0,5816000000.0,5194000000.0,,
Finished Goods,5598000000.0,5230000000.0,7993000000.0,5816000000.0,5194000000.0,,
Receivables,906000000.0,1043000000.0,1017000000.0,917000000.0,744000000.0,,
Accounts Receivable,906000000.0,1043000000.0,1017000000.0,917000000.0,744000000.0,,
Allowance For Doubtful Accounts Receivable,-13000000.0,-24000000.0,,,-15000000.0,-26000000.0,-16000000.0
Gross Accounts Receivable,919000000.0,1067000000.0,,,759000000.0,1070000000.0,948000000.0
Cash Cash Equivalents And Short Term Investments,1749000000.0,1738000000.0,923000000.0,1456000000.0,1147000000.0,,
Cash And Cash Equivalents,1749000000.0,1738000000.0,923000000.0,1456000000.0,1147000000.0,,
