,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,573670925.0,664546000.0,678140000.0,679422000.0,676188082.0,,
Share Issued,573670925.0,664546000.0,678140000.0,679422000.0,676188082.0,,
Net Debt,602092000.0,,,,,,
Total Debt,1205030000.0,262018000.0,205237000.0,137412000.0,143956000.0,,
Tangible Book Value,2287490000.0,4638928000.0,4717538000.0,4703393000.0,4578241000.0,,
Invested Capital,3830753000.0,4745238000.0,4824968000.0,4811953000.0,4688469000.0,,
Working Capital,1711965000.0,3090264000.0,3139085000.0,3116610000.0,2997859000.0,,
Net Tangible Assets,2287490000.0,4638928000.0,4717538000.0,4703393000.0,4578241000.0,,
Capital Lease Obligations,224861000.0,262018000.0,205237000.0,137412000.0,143956000.0,,
Common Stock Equity,2850584000.0,4745238000.0,4824968000.0,4811953000.0,4688469000.0,,
Total Capitalization,3830753000.0,4745238000.0,4824968000.0,4811953000.0,4688469000.0,,
Total Equity Gross Minority Interest,2850584000.0,4745238000.0,4824968000.0,4811953000.0,4688469000.0,,
Stockholders Equity,2850584000.0,4745238000.0,4824968000.0,4811953000.0,4688469000.0,,
Gains Losses Not Affecting Retained Earnings,-150000.0,4333000.0,3828000.0,3878000.0,1538000.0,,
Other Equity Adjustments,-150000.0,4333000.0,3828000.0,3878000.0,1538000.0,,
Retained Earnings,55106000.0,128693000.0,-148377000.0,-240485000.0,-279240000.0,,
Additional Paid In Capital,2795622000.0,4612205000.0,4969510000.0,5048553000.0,4966164000.0,,
Capital Stock,6000.0,7000.0,7000.0,7000.0,7000.0,,
Common Stock,6000.0,7000.0,7000.0,7000.0,7000.0,,
Total Liabilities Net Minority Interest,1794695000.0,746894000.0,690442000.0,591034000.0,594227000.0,,
Total Non Current Liabilities Net Minority Interest,1263939000.0,281421000.0,264109000.0,189230000.0,189828000.0,,
Other Non Current Liabilities,58909000.0,60840000.0,58872000.0,51818000.0,45872000.0,,
Long Term Debt And Capital Lease Obligation,1205030000.0,220581000.0,205237000.0,137412000.0,143956000.0,,
Long Term Capital Lease Obligation,224861000.0,220581000.0,205237000.0,137412000.0,143956000.0,,
Long Term Debt,980169000.0,,,,,,
Current Liabilities,530756000.0,465473000.0,426333000.0,401804000.0,404399000.0,,
Current Deferred Liabilities,,47467000.0,,,,23387000.0,
Current Deferred Revenue,,47467000.0,,,,23387000.0,
Current Debt And Capital Lease Obligation,,41437000.0,,,,34425000.0,
Current Capital Lease Obligation,,41437000.0,,,,34425000.0,
Pensionand Other Post Retirement Benefit Plans Current,,57089000.0,,,,52717000.0,
Payables And Accrued Expenses,530756000.0,319480000.0,426333000.0,401804000.0,404399000.0,,
Current Accrued Expenses,455780000.0,189670000.0,335744000.0,309937000.0,307708000.0,,
Payables,74976000.0,129810000.0,90589000.0,91867000.0,96691000.0,,
Accounts Payable,74976000.0,129810000.0,90589000.0,91867000.0,96691000.0,,
Total Assets,4645279000.0,5492132000.0,5515410000.0,5402987000.0,5282696000.0,,
Total Non Current Assets,2402558000.0,1936395000.0,1949992000.0,1884573000.0,1880438000.0,,
Other Non Current Assets,22258000.0,21082000.0,18249000.0,17093000.0,14559000.0,,
Non Current Deferred Assets,1581738000.0,1592153000.0,1639056000.0,1631225000.0,1624944000.0,,
Non Current Deferred Taxes Assets,1581738000.0,1592153000.0,1639056000.0,1631225000.0,1624944000.0,,
Goodwill And Other Intangible Assets,563094000.0,106310000.0,107430000.0,108560000.0,110228000.0,,
Other Intangible Assets,87804000.0,6083000.0,,,,9876000.0,
Goodwill,475290000.0,100227000.0,,,,100227000.0,
Net PPE,235468000.0,216850000.0,185257000.0,127695000.0,130707000.0,,
Accumulated Depreciation,,-105512000.0,,,,-89746000.0,
Gross PPE,235468000.0,322362000.0,185257000.0,127695000.0,130707000.0,,
Leases,,95309000.0,,,,78136000.0,
Construction In Progress,,19810000.0,,,,3197000.0,
Other Properties,235468000.0,,185257000.0,127695000.0,130707000.0,,125593000.0
Machinery Furniture Equipment,,56844000.0,,,,54037000.0,
Buildings And Improvements,,150399000.0,,,,85867000.0,
Properties,,0.0,,,,0.0,
Current Assets,2242721000.0,3555737000.0,3565418000.0,3518414000.0,3402258000.0,,
Other Current Assets,113776000.0,90735000.0,93615000.0,98928000.0,77041000.0,,
Receivables,830381000.0,997849000.0,800522000.0,760111000.0,709994000.0,,
Accounts Receivable,830381000.0,997849000.0,800522000.0,760111000.0,709994000.0,,
Allowance For Doubtful Accounts Receivable,,,,,,-7839000.0,-7995000.0
Gross Accounts Receivable,,,,,,901242000.0,688510000.0
Cash Cash Equivalents And Short Term Investments,1298564000.0,2467153000.0,2671281000.0,2659375000.0,2615223000.0,,
Other Short Term Investments,920487000.0,1497811000.0,1538881000.0,1442434000.0,1362913000.0,,
Cash And Cash Equivalents,378077000.0,969342000.0,1132400000.0,1216941000.0,1252310000.0,,
Cash Equivalents,,808644000.0,,,,1024742000.0,
Cash Financial,,160698000.0,,,,111718000.0,
