,2025-09-30,2024-09-30
Ordinary Shares Number,299528.0,12161.0
Share Issued,299528.0,12161.0
Net Debt,,568343.0
Total Debt,,2500862.0
Tangible Book Value,11867077.0,-1255106.0
Invested Capital,11867077.0,1245756.0
Working Capital,6686387.0,-1265232.0
Net Tangible Assets,11867077.0,-1255106.0
Common Stock Equity,11867077.0,-1255106.0
Total Capitalization,11867077.0,-1255106.0
Total Equity Gross Minority Interest,11867077.0,-1255106.0
Stockholders Equity,11867077.0,-1255106.0
Other Equity Interest,1075150.0,42528.0
Gains Losses Not Affecting Retained Earnings,347253.0,260017.0
Retained Earnings,-58439936.0,-54498339.0
Capital Stock,68884610.0,52940688.0
Common Stock,68884610.0,52940688.0
Total Liabilities Net Minority Interest,943068.0,3508604.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,943068.0,3508604.0
Other Current Liabilities,298368.0,149184.0
Current Debt And Capital Lease Obligation,,2500862.0
Current Debt,,2500862.0
Other Current Borrowings,,2500862.0
Current Provisions,303896.0,40926.0
Payables And Accrued Expenses,340804.0,817632.0
Current Accrued Expenses,104936.0,12019.0
Payables,235868.0,805613.0
Accounts Payable,235868.0,805613.0
Total Assets,12810145.0,2253498.0
Total Non Current Assets,5180690.0,10126.0
Investments And Advances,5172000.0,
Investmentin Financial Assets,5172000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,5172000.0,
Net PPE,8690.0,10126.0
Accumulated Depreciation,-7142.0,-2029.0
Gross PPE,15832.0,12155.0
Other Properties,,12155.0
Machinery Furniture Equipment,15832.0,
Current Assets,7629455.0,2243372.0
Restricted Cash,47191.0,29611.0
Prepaid Assets,258092.0,156162.0
Receivables,174187.0,125080.0
Other Receivables,174187.0,125080.0
Cash Cash Equivalents And Short Term Investments,7149985.0,1932519.0
Cash And Cash Equivalents,7149985.0,1932519.0
Cash Financial,7149985.0,1932519.0
