,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,286007000.0,205556000.0,93444000.0,23793000.0,114396000.0,
Repurchase Of Capital Stock,-350499000.0,-250293000.0,0.0,-243473000.0,-257100000.0,
Repayment Of Debt,0.0,0.0,-549924000.0,-36240000.0,-1444626000.0,
Issuance Of Debt,0.0,0.0,541110000.0,0.0,1473083000.0,
Capital Expenditure,-40772000.0,-64022000.0,-53044000.0,-64701000.0,-37214000.0,
End Cash Position,1063338000.0,1031397000.0,955499000.0,928937000.0,916079000.0,
Beginning Cash Position,1031397000.0,955499000.0,928937000.0,916079000.0,1050234000.0,
Changes In Cash,31941000.0,75898000.0,26562000.0,12858000.0,-134155000.0,
Financing Cash Flow,-352100000.0,-256518000.0,-12013000.0,-291075000.0,-288519000.0,
Cash Flow From Continuing Financing Activities,-352100000.0,-256518000.0,-12013000.0,-291075000.0,-288519000.0,
Net Other Financing Charges,-1601000.0,-6599000.0,-3199000.0,-11362000.0,-59876000.0,
Proceeds From Stock Option Exercised,,374000.0,0.0,0.0,0.0,0.0
Net Common Stock Issuance,-350499000.0,-250293000.0,0.0,-243473000.0,-257100000.0,
Common Stock Payments,-350499000.0,-250293000.0,0.0,-243473000.0,-257100000.0,
Net Issuance Payments Of Debt,0.0,0.0,-8814000.0,-36240000.0,28457000.0,
Net Long Term Debt Issuance,0.0,0.0,-8814000.0,-36240000.0,28457000.0,
Long Term Debt Payments,0.0,0.0,-549924000.0,-36240000.0,-1444626000.0,
Long Term Debt Issuance,0.0,0.0,541110000.0,0.0,1473083000.0,
Investing Cash Flow,57262000.0,62838000.0,-107913000.0,215439000.0,2754000.0,
Cash Flow From Continuing Investing Activities,57262000.0,62838000.0,-107913000.0,215439000.0,2754000.0,
Net Other Investing Changes,,,,,,0.0
Net Investment Purchase And Sale,137404000.0,130441000.0,-54869000.0,315639000.0,39968000.0,
Sale Of Investment,445698000.0,393420000.0,333783000.0,726505000.0,275767000.0,
Purchase Of Investment,-308294000.0,-262979000.0,-388652000.0,-410866000.0,-235799000.0,
Net Business Purchase And Sale,-39370000.0,0.0,0.0,-35499000.0,0.0,
Purchase Of Business,-39370000.0,0.0,0.0,-35499000.0,0.0,
Net PPE Purchase And Sale,-40772000.0,-64022000.0,-53044000.0,-64701000.0,-37214000.0,
Purchase Of PPE,-40772000.0,-64022000.0,-53044000.0,-64701000.0,-37214000.0,
Operating Cash Flow,326779000.0,269578000.0,146488000.0,88494000.0,151610000.0,
Cash Flow From Continuing Operating Activities,326779000.0,269578000.0,146488000.0,88494000.0,151610000.0,
Change In Working Capital,115954000.0,-88095000.0,-27906000.0,48551000.0,50446000.0,
Change In Other Current Liabilities,-11680000.0,-20224000.0,382000.0,-6475000.0,-15767000.0,
Change In Other Current Assets,14874000.0,15036000.0,15070000.0,11680000.0,23133000.0,
Change In Payables And Accrued Expense,-45605000.0,71497000.0,62051000.0,53492000.0,-128308000.0,
Change In Accrued Expense,-67649000.0,3761000.0,23926000.0,147695000.0,-162568000.0,
Change In Payable,22044000.0,67736000.0,38125000.0,-94203000.0,34260000.0,
Change In Account Payable,22044000.0,67736000.0,38125000.0,-94203000.0,34260000.0,
Change In Prepaid Assets,-16270000.0,-20545000.0,-16313000.0,-7058000.0,-22828000.0,
Change In Receivables,174635000.0,-133859000.0,-89096000.0,-3088000.0,194216000.0,
Changes In Account Receivables,174635000.0,-133859000.0,-89096000.0,-3088000.0,194216000.0,
Other Non Cash Items,4195000.0,10679000.0,3671000.0,11812000.0,6837000.0,
Stock Based Compensation,250040000.0,257238000.0,260363000.0,251886000.0,247338000.0,
Depreciation Amortization Depletion,44696000.0,43381000.0,42514000.0,40023000.0,37715000.0,
Depreciation And Amortization,44696000.0,43381000.0,42514000.0,40023000.0,37715000.0,
Operating Gains Losses,845000.0,1166000.0,-28613000.0,-1208000.0,-51139000.0,
Gain Loss On Investment Securities,845000.0,1166000.0,1182000.0,-1208000.0,15800000.0,
Net Income From Continuing Operations,-88951000.0,45209000.0,-103541000.0,-262570000.0,-139587000.0,
