,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Tax Effect Of Unusual Items,-5747285.291214,-10633068.944478,-34230000.0,-40513718.070009,-2029498.525074,,
Tax Rate For Calcs,0.080948,0.103234,0.21,0.216651,0.023599,,
Normalized EBITDA,13142000000.0,11252000000.0,10026000000.0,8481000000.0,8106000000.0,,
Total Unusual Items,-71000000.0,-103000000.0,-163000000.0,-187000000.0,-86000000.0,,
Total Unusual Items Excluding Goodwill,-71000000.0,-103000000.0,-163000000.0,-187000000.0,-86000000.0,,
Net Income From Continuing Operation Net Minority Interest,9310000000.0,7349000000.0,8518000000.0,4140000000.0,4965000000.0,,
Reconciled Depreciation,2165000000.0,2153000000.0,2233000000.0,2202000000.0,2166000000.0,,
Reconciled Cost Of Revenue,5113000000.0,4508000000.0,4040000000.0,3554000000.0,3147000000.0,,
EBITDA,13071000000.0,11149000000.0,9863000000.0,8294000000.0,8020000000.0,,
EBIT,10906000000.0,8996000000.0,7630000000.0,6092000000.0,5854000000.0,,
Net Interest Income,-776000000.0,-801000000.0,-414000000.0,-807000000.0,-769000000.0,,
Interest Expense,776000000.0,801000000.0,761000000.0,807000000.0,769000000.0,,
Normalized Income,9375252714.708786,7441366931.055522,8646770000.0,4286486281.929991,5048970501.474926,,
Net Income From Continuing And Discontinued Operation,9310000000.0,7349000000.0,8518000000.0,4140000000.0,4965000000.0,,
Total Expenses,11328000000.0,10645000000.0,10361000000.0,9878000000.0,9089000000.0,,
Total Operating Income As Reported,10788000000.0,8563000000.0,7508000000.0,5887000000.0,5829000000.0,,
Diluted Average Shares,4876000000.0,4888000000.0,4889000000.0,4860000000.0,4826000000.0,,
Basic Average Shares,4747000000.0,4741000000.0,4732000000.0,4714000000.0,4707000000.0,,
Diluted EPS,1.91,1.5,1.74,0.85,1.03,,
Basic EPS,1.96,1.55,1.8,0.88,1.05,,
Diluted NI Availto Com Stockholders,9310000000.0,7349000000.0,8518000000.0,4140000000.0,4965000000.0,,
Net Income Common Stockholders,9310000000.0,7349000000.0,8518000000.0,4140000000.0,4965000000.0,,
Net Income,9310000000.0,7349000000.0,8518000000.0,4140000000.0,4965000000.0,,
Net Income Including Noncontrolling Interests,9310000000.0,7349000000.0,8518000000.0,4140000000.0,4965000000.0,,
Net Income Discontinuous Operations,,,0.0,0.0,0.0,0.0,119000000.0
Net Income Continuous Operations,9310000000.0,7349000000.0,8518000000.0,4140000000.0,4965000000.0,,
Tax Provision,820000000.0,846000000.0,-1649000000.0,1145000000.0,120000000.0,,
Pretax Income,10130000000.0,8195000000.0,6869000000.0,5285000000.0,5085000000.0,,
Other Income Expense,47000000.0,330000000.0,-371000000.0,18000000.0,-61000000.0,,
Other Non Operating Income Expenses,118000000.0,433000000.0,-208000000.0,205000000.0,25000000.0,,
Special Income Charges,-71000000.0,-103000000.0,-146000000.0,-187000000.0,-86000000.0,,
Restructuring And Mergern Acquisition,71000000.0,103000000.0,146000000.0,187000000.0,86000000.0,,
Net Non Operating Interest Income Expense,-776000000.0,-801000000.0,-414000000.0,-807000000.0,-769000000.0,,
Interest Expense Non Operating,776000000.0,801000000.0,761000000.0,807000000.0,769000000.0,,
Operating Income,10859000000.0,8666000000.0,7654000000.0,6074000000.0,5915000000.0,,
Operating Expense,4556000000.0,4491000000.0,4595000000.0,4629000000.0,4282000000.0,,
Depreciation Amortization Depletion Income Statement,506000000.0,507000000.0,507000000.0,507000000.0,506000000.0,,
Depreciation And Amortization In Income Statement,506000000.0,507000000.0,507000000.0,507000000.0,506000000.0,,
Amortization,506000000.0,507000000.0,507000000.0,507000000.0,506000000.0,,
Amortization Of Intangibles Income Statement,506000000.0,507000000.0,507000000.0,507000000.0,506000000.0,,
Research And Development,2995000000.0,2965000000.0,2981000000.0,3050000000.0,2693000000.0,,
Selling General And Administration,1055000000.0,1019000000.0,1107000000.0,1072000000.0,1083000000.0,,
Gross Profit,15415000000.0,13157000000.0,12249000000.0,10703000000.0,10197000000.0,,
Cost Of Revenue,6772000000.0,6154000000.0,5766000000.0,5249000000.0,4807000000.0,,
Total Revenue,22187000000.0,19311000000.0,18015000000.0,15952000000.0,15004000000.0,,
Operating Revenue,22187000000.0,19311000000.0,18015000000.0,15952000000.0,15004000000.0,,
