,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.174933,0.394612,0.104,0.074,0.18195,
Net Income From Continuing Operation Net Minority Interest,8584000000.0,7528000000.0,8469000000.0,7116000000.0,7360000000.0,
Reconciled Depreciation,605000000.0,594000000.0,584000000.0,571000000.0,565000000.0,
Net Interest Income,15745000000.0,15750000000.0,15233000000.0,14670000000.0,14443000000.0,
Interest Expense,17614000000.0,18511000000.0,20133000000.0,20203000000.0,19623000000.0,
Interest Income,33359000000.0,34261000000.0,35366000000.0,34873000000.0,34066000000.0,
Normalized Income,8584000000.0,7528000000.0,8469000000.0,7116000000.0,7360000000.0,
Net Income From Continuing And Discontinued Operation,8584000000.0,7528000000.0,8469000000.0,7116000000.0,7360000000.0,
Diluted Average Shares,7417500000.0,7546900000.0,7627100000.0,7651600000.0,7770800000.0,
Basic Average Shares,7256100000.0,7364900000.0,7466000000.0,7581200000.0,7677900000.0,
Diluted EPS,1.11,0.98,1.06,0.89,0.9,
Basic EPS,1.12,0.99,1.08,0.9,0.91,
Diluted NI Availto Com Stockholders,8155000000.0,7033000000.0,8096000000.0,6825000000.0,6954000000.0,
Average Dilution Earnings,,,56000000.0,,,0.0
Net Income Common Stockholders,8155000000.0,7200000000.0,8040000000.0,6825000000.0,6954000000.0,
Preferred Stock Dividends,429000000.0,328000000.0,429000000.0,291000000.0,406000000.0,
Net Income,8584000000.0,7528000000.0,8469000000.0,7116000000.0,7360000000.0,
Net Income Including Noncontrolling Interests,8584000000.0,7528000000.0,8469000000.0,7116000000.0,7360000000.0,
Net Income Continuous Operations,8584000000.0,7528000000.0,8469000000.0,7116000000.0,7360000000.0,
Tax Provision,1820000000.0,4907000000.0,987000000.0,572000000.0,1637000000.0,
Pretax Income,10404000000.0,12435000000.0,9456000000.0,7688000000.0,8997000000.0,
Gain On Sale Of Security,0.0,0.0,0.0,0.0,0.0,
Selling General And Administration,14030000000.0,12958000000.0,13032000000.0,12888000000.0,13368000000.0,
Selling And Marketing Expense,1659000000.0,1574000000.0,1597000000.0,1537000000.0,1420000000.0,
General And Administrative Expense,12371000000.0,11384000000.0,11435000000.0,11351000000.0,11948000000.0,
Other Gand A,1037000000.0,782000000.0,912000000.0,1019000000.0,1059000000.0,
Salaries And Wages,11334000000.0,10602000000.0,10523000000.0,10332000000.0,10889000000.0,
Total Revenue,30272000000.0,31180000000.0,28088000000.0,26463000000.0,28247000000.0,
Operating Revenue,30272000000.0,31180000000.0,28088000000.0,26463000000.0,28247000000.0,
Occupancy And Equipment,1900000000.0,1884000000.0,1872000000.0,1836000000.0,1856000000.0,
Professional Expense And Contract Services Expense,583000000.0,682000000.0,606000000.0,640000000.0,652000000.0,
Other Non Interest Expense,2018000000.0,1913000000.0,1827000000.0,1819000000.0,1894000000.0,
