,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.4,0.132316,0.23,0.175866,0.109827,,
Normalized EBITDA,86000000.0,269000000.0,1625000000.0,612000000.0,38000000.0,,
Net Income From Continuing Operation Net Minority Interest,160000000.0,341000000.0,1374000000.0,642000000.0,154000000.0,,
Reconciled Depreciation,,,,,25000000.0,22000000.0,15000000.0
Reconciled Cost Of Revenue,581000000.0,487000000.0,549000000.0,544000000.0,506000000.0,,
EBITDA,86000000.0,269000000.0,1625000000.0,612000000.0,38000000.0,,
EBIT,86000000.0,269000000.0,1625000000.0,612000000.0,38000000.0,,
Net Interest Income,155000000.0,162000000.0,180000000.0,190000000.0,173000000.0,,
Interest Income,155000000.0,162000000.0,180000000.0,190000000.0,173000000.0,,
Normalized Income,160000000.0,341000000.0,1374000000.0,642000000.0,154000000.0,,
Net Income From Continuing And Discontinued Operation,160000000.0,341000000.0,1374000000.0,642000000.0,154000000.0,,
Total Expenses,2592000000.0,2509000000.0,2470000000.0,2484000000.0,2234000000.0,,
Total Operating Income As Reported,86000000.0,269000000.0,1625000000.0,612000000.0,38000000.0,,
Diluted Average Shares,608000000.0,614000000.0,621000000.0,626000000.0,632000000.0,,
Basic Average Shares,598000000.0,604000000.0,611000000.0,615000000.0,621000000.0,,
Diluted EPS,0.26,0.56,2.21,1.03,0.24,,
Basic EPS,0.27,0.56,2.25,1.04,0.25,,
Diluted NI Availto Com Stockholders,160000000.0,341000000.0,1375000000.0,643000000.0,155000000.0,,
Average Dilution Earnings,0.0,0.0,1000000.0,1000000.0,1000000.0,,
Net Income Common Stockholders,160000000.0,341000000.0,1374000000.0,642000000.0,154000000.0,,
Net Income,160000000.0,341000000.0,1374000000.0,642000000.0,154000000.0,,
Net Income Including Noncontrolling Interests,160000000.0,341000000.0,1374000000.0,642000000.0,154000000.0,,
Net Income Continuous Operations,160000000.0,341000000.0,1374000000.0,642000000.0,154000000.0,,
Tax Provision,121000000.0,52000000.0,418000000.0,137000000.0,19000000.0,,
Pretax Income,281000000.0,393000000.0,1792000000.0,779000000.0,173000000.0,,
Other Income Expense,40000000.0,-38000000.0,-13000000.0,-23000000.0,-38000000.0,,
Other Non Operating Income Expenses,40000000.0,-38000000.0,-13000000.0,-23000000.0,-38000000.0,,
Net Non Operating Interest Income Expense,155000000.0,162000000.0,180000000.0,190000000.0,173000000.0,,
Interest Income Non Operating,155000000.0,162000000.0,180000000.0,190000000.0,173000000.0,,
Operating Income,86000000.0,269000000.0,1625000000.0,612000000.0,38000000.0,,
Operating Expense,2011000000.0,2022000000.0,1921000000.0,1940000000.0,1728000000.0,,
Other Operating Expenses,326000000.0,327000000.0,365000000.0,332000000.0,303000000.0,,
Research And Development,638000000.0,589000000.0,587000000.0,610000000.0,568000000.0,,
Selling General And Administration,1047000000.0,1106000000.0,969000000.0,998000000.0,857000000.0,,
Selling And Marketing Expense,751000000.0,695000000.0,639000000.0,691000000.0,563000000.0,,
General And Administrative Expense,296000000.0,411000000.0,330000000.0,307000000.0,294000000.0,,
Other Gand A,296000000.0,411000000.0,330000000.0,307000000.0,294000000.0,,
Gross Profit,2097000000.0,2291000000.0,3546000000.0,2552000000.0,1766000000.0,,
Cost Of Revenue,581000000.0,487000000.0,549000000.0,544000000.0,506000000.0,,
Total Revenue,2678000000.0,2778000000.0,4095000000.0,3096000000.0,2272000000.0,,
Operating Revenue,2678000000.0,2778000000.0,4095000000.0,3096000000.0,2272000000.0,,
