,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-584737903.225806,-341250000.0,301560000.0,7200000.0,21210000.0
Tax Rate For Calcs,0.391129,0.21,0.21,0.09,0.21
Normalized EBITDA,2290000000.0,2224000000.0,1491000000.0,1713000000.0,1567000000.0
Total Unusual Items,-1495000000.0,-1625000000.0,1436000000.0,80000000.0,101000000.0
Total Unusual Items Excluding Goodwill,-1495000000.0,-1625000000.0,1436000000.0,80000000.0,101000000.0
Net Income From Continuing Operation Net Minority Interest,263000000.0,296000000.0,6626000000.0,1355000000.0,1776000000.0
Reconciled Depreciation,191000000.0,193000000.0,195000000.0,181000000.0,178000000.0
Reconciled Cost Of Revenue,7251000000.0,8673000000.0,8102000000.0,7605000000.0,6930000000.0
EBITDA,795000000.0,599000000.0,2927000000.0,1793000000.0,1668000000.0
EBIT,604000000.0,406000000.0,2732000000.0,1612000000.0,1490000000.0
Net Interest Income,67000000.0,85000000.0,81000000.0,73000000.0,64000000.0
Interest Expense,108000000.0,115000000.0,112000000.0,108000000.0,105000000.0
Interest Income,175000000.0,200000000.0,193000000.0,181000000.0,169000000.0
Normalized Income,1173262096.774194,1579750000.0,5491560000.0,1282200000.0,1696210000.0
Net Income From Continuing And Discontinued Operation,263000000.0,296000000.0,6626000000.0,1355000000.0,1776000000.0
Total Expenses,11280000000.0,12592000000.0,12354000000.0,11201000000.0,10305000000.0
Total Operating Income As Reported,1923000000.0,1774000000.0,1113000000.0,1450000000.0,1228000000.0
Diluted Average Shares,2071391000.0,2106011000.0,2124391000.0,2125628000.0,2122618000.0
Basic Average Shares,2052187000.0,2073483000.0,2084180000.0,2091106000.0,2092464000.0
Diluted EPS,0.13,0.14,3.11,0.63,0.83
Basic EPS,0.13,0.14,3.18,0.65,0.85
Diluted NI Availto Com Stockholders,263000000.0,299000000.0,6613000000.0,1341000000.0,1763000000.0
Average Dilution Earnings,0.0,3000000.0,-13000000.0,-14000000.0,-13000000.0
Net Income Common Stockholders,263000000.0,296000000.0,6626000000.0,1355000000.0,1776000000.0
Net Income,263000000.0,296000000.0,6626000000.0,1355000000.0,1776000000.0
Minority Interests,-19000000.0,-21000000.0,-26000000.0,5000000.0,2000000.0
Net Income Including Noncontrolling Interests,282000000.0,317000000.0,6652000000.0,1350000000.0,1774000000.0
Net Income Continuous Operations,282000000.0,317000000.0,6652000000.0,1350000000.0,1774000000.0
Earnings From Equity Interest Net Of Tax,-20000000.0,-14000000.0,-14000000.0,-12000000.0,-13000000.0
Tax Provision,194000000.0,-40000000.0,-4046000000.0,142000000.0,-402000000.0
Pretax Income,496000000.0,291000000.0,2620000000.0,1504000000.0,1385000000.0
Other Income Expense,-1494000000.0,-1568000000.0,1426000000.0,-19000000.0,93000000.0
Other Non Operating Income Expenses,1000000.0,57000000.0,-10000000.0,-99000000.0,-8000000.0
Gain On Sale Of Security,-1495000000.0,-1625000000.0,1436000000.0,80000000.0,101000000.0
Net Non Operating Interest Income Expense,67000000.0,85000000.0,81000000.0,73000000.0,64000000.0
Interest Expense Non Operating,108000000.0,115000000.0,112000000.0,108000000.0,105000000.0
Interest Income Non Operating,175000000.0,200000000.0,193000000.0,181000000.0,169000000.0
Operating Income,1923000000.0,1774000000.0,1113000000.0,1450000000.0,1228000000.0
Operating Expense,4022000000.0,3911000000.0,4245000000.0,3590000000.0,3368000000.0
Other Operating Expenses,763000000.0,755000000.0,735000000.0,696000000.0,668000000.0
Depreciation Amortization Depletion Income Statement,184000000.0,185000000.0,188000000.0,175000000.0,171000000.0
Depreciation And Amortization In Income Statement,184000000.0,185000000.0,188000000.0,175000000.0,171000000.0
Research And Development,951000000.0,885000000.0,862000000.0,840000000.0,815000000.0
Selling General And Administration,2124000000.0,2086000000.0,2460000000.0,1879000000.0,1714000000.0
Selling And Marketing Expense,1326000000.0,1354000000.0,1277000000.0,1210000000.0,1057000000.0
General And Administrative Expense,798000000.0,732000000.0,1183000000.0,669000000.0,657000000.0
Other Gand A,798000000.0,732000000.0,1183000000.0,669000000.0,657000000.0
Gross Profit,5945000000.0,5685000000.0,5358000000.0,5040000000.0,4596000000.0
Cost Of Revenue,7258000000.0,8681000000.0,8109000000.0,7611000000.0,6937000000.0
Total Revenue,13203000000.0,14366000000.0,13467000000.0,12651000000.0,11533000000.0
Operating Revenue,13203000000.0,14366000000.0,13467000000.0,12651000000.0,11533000000.0
