,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,441449138.74368,756883233.750212,479941154.492808,708294295.84576,1233792599.620493,
Tax Rate For Calcs,0.245522,0.239217,0.238184,0.216471,0.243496,
Normalized EBITDA,54007000000.0,48087000000.0,49666000000.0,48429000000.0,47824000000.0,
Total Unusual Items,1798000000.0,3164000000.0,2015000000.0,3272000000.0,5067000000.0,
Total Unusual Items Excluding Goodwill,1798000000.0,3164000000.0,2015000000.0,3272000000.0,5067000000.0,
Net Income From Continuing Operation Net Minority Interest,35018000000.0,31190000000.0,32462000000.0,33304000000.0,35696000000.0,
Reconciled Depreciation,7285000000.0,8050000000.0,6917000000.0,6855000000.0,7217000000.0,
Reconciled Cost Of Revenue,171914000000.0,167199000000.0,159832000000.0,157247000000.0,155525000000.0,
EBITDA,55805000000.0,51251000000.0,51681000000.0,51701000000.0,52891000000.0,
EBIT,48520000000.0,43201000000.0,44764000000.0,44846000000.0,45674000000.0,
Net Interest Income,3485000000.0,3200000000.0,3386000000.0,3719000000.0,3762000000.0,
Interest Expense,1844000000.0,1862000000.0,1940000000.0,2263000000.0,-1756000000.0,
Interest Income,7186000000.0,6856000000.0,6998000000.0,7327000000.0,7529000000.0,
Normalized Income,33661449138.74368,28782883233.750214,30926941154.49281,30740294295.84576,31862792599.620495,
Net Income From Continuing And Discontinued Operation,35018000000.0,31190000000.0,32462000000.0,33304000000.0,35696000000.0,
Total Expenses,200997000000.0,200611000000.0,189702000000.0,185804000000.0,186732000000.0,
Total Operating Income As Reported,41963000000.0,35735000000.0,37829000000.0,35724000000.0,39087000000.0,
Diluted Average Shares,10504875601.0,10498247011.0,10496319658.0,10492102015.0,10490716219.0,
Basic Average Shares,10479105556.0,10477008222.0,10475705330.0,10472085808.0,,10457414881.0
Diluted EPS,3.33,2.97,3.09,3.17,3.39,
Basic EPS,3.34,2.98,3.1,3.18,3.41,
Diluted NI Availto Com Stockholders,35018000000.0,31190000000.0,32462000000.0,33304000000.0,35696000000.0,
Net Income Common Stockholders,35018000000.0,31190000000.0,32462000000.0,33304000000.0,35696000000.0,
Net Income,35018000000.0,31190000000.0,32462000000.0,33304000000.0,35696000000.0,
Minority Interests,-198000000.0,-260000000.0,-162000000.0,-61000000.0,-185000000.0,
Net Income Including Noncontrolling Interests,35216000000.0,31450000000.0,32624000000.0,33365000000.0,35881000000.0,
Net Income Continuous Operations,35216000000.0,31450000000.0,32624000000.0,33365000000.0,35881000000.0,
Tax Provision,11460000000.0,9889000000.0,10200000000.0,9218000000.0,11549000000.0,
Pretax Income,46676000000.0,41339000000.0,42824000000.0,42583000000.0,47430000000.0,
Other Income Expense,1825000000.0,3192000000.0,2167000000.0,3322000000.0,5358000000.0,
Earnings From Equity Interest,27000000.0,28000000.0,152000000.0,50000000.0,291000000.0,
Gain On Sale Of Security,1526000000.0,3164000000.0,2015000000.0,3272000000.0,4514000000.0,
Net Non Operating Interest Income Expense,3485000000.0,3200000000.0,3386000000.0,3719000000.0,3762000000.0,
Total Other Finance Cost,1857000000.0,1794000000.0,1672000000.0,1345000000.0,,1575000000.0
Interest Expense Non Operating,1844000000.0,1862000000.0,1940000000.0,2263000000.0,-1756000000.0,
Interest Income Non Operating,7186000000.0,6856000000.0,6998000000.0,7327000000.0,7529000000.0,
Operating Income,41366000000.0,34947000000.0,37271000000.0,35542000000.0,38310000000.0,
Operating Expense,29083000000.0,33412000000.0,29870000000.0,28557000000.0,31207000000.0,
Selling General And Administration,17887000000.0,33412000000.0,29870000000.0,28557000000.0,22598000000.0,
Selling And Marketing Expense,-37828000000.0,15008000000.0,14920000000.0,15285000000.0,-41393000000.0,
General And Administrative Expense,55715000000.0,18404000000.0,14950000000.0,13272000000.0,63991000000.0,
Other Gand A,-20018000000.0,18404000000.0,14950000000.0,13272000000.0,-16686000000.0,
Gross Profit,70449000000.0,68359000000.0,67141000000.0,64099000000.0,69517000000.0,
Cost Of Revenue,171914000000.0,167199000000.0,159832000000.0,157247000000.0,155525000000.0,
Total Revenue,242363000000.0,235558000000.0,226973000000.0,221346000000.0,225042000000.0,
Operating Revenue,242363000000.0,,,,,
