,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,229729.72973,6951388.888889,261627.906977,964285.714286,2100000.0
Tax Rate For Calcs,0.032819,0.048611,0.052326,0.107143,0.21
Normalized EBITDA,760000000.0,269000000.0,423000000.0,496000000.0,493000000.0
Total Unusual Items,7000000.0,143000000.0,5000000.0,9000000.0,10000000.0
Total Unusual Items Excluding Goodwill,7000000.0,143000000.0,5000000.0,9000000.0,10000000.0
Net Income From Continuing Operation Net Minority Interest,494000000.0,135000000.0,161000000.0,221000000.0,248000000.0
Reconciled Depreciation,190000000.0,208000000.0,196000000.0,195000000.0,196000000.0
Reconciled Cost Of Revenue,742000000.0,792000000.0,655000000.0,723000000.0,728000000.0
EBITDA,767000000.0,412000000.0,428000000.0,505000000.0,503000000.0
EBIT,577000000.0,204000000.0,232000000.0,310000000.0,307000000.0
Net Interest Income,-47000000.0,-50000000.0,-53000000.0,-51000000.0,-49000000.0
Interest Expense,59000000.0,60000000.0,60000000.0,58000000.0,57000000.0
Interest Income,12000000.0,10000000.0,7000000.0,7000000.0,8000000.0
Normalized Income,487229729.72973,-1048611.111111,156261627.906977,212964285.714286,240100000.0
Net Income From Continuing And Discontinued Operation,494000000.0,135000000.0,161000000.0,221000000.0,248000000.0
Total Expenses,1333000000.0,1411000000.0,1235000000.0,1318000000.0,1319000000.0
Total Operating Income As Reported,319000000.0,192000000.0,101000000.0,277000000.0,285000000.0
Diluted Average Shares,689300000.0,690500000.0,689500000.0,693900000.0,698300000.0
Basic Average Shares,687500000.0,687700000.0,687500000.0,692500000.0,697800000.0
Diluted EPS,0.72,0.2,0.23,0.32,0.35
Basic EPS,0.72,0.2,0.23,0.32,0.35
Diluted NI Availto Com Stockholders,494000000.0,135000000.0,161000000.0,221000000.0,248000000.0
Net Income Common Stockholders,494000000.0,135000000.0,161000000.0,221000000.0,248000000.0
Net Income,494000000.0,135000000.0,161000000.0,221000000.0,248000000.0
Minority Interests,-7000000.0,-2000000.0,-2000000.0,-4000000.0,-3000000.0
Net Income Including Noncontrolling Interests,501000000.0,137000000.0,163000000.0,225000000.0,251000000.0
Net Income Continuous Operations,501000000.0,137000000.0,163000000.0,225000000.0,251000000.0
Tax Provision,17000000.0,7000000.0,9000000.0,27000000.0,-1000000.0
Pretax Income,518000000.0,144000000.0,172000000.0,252000000.0,250000000.0
Other Income Expense,253000000.0,2000000.0,129000000.0,35000000.0,24000000.0
Other Non Operating Income Expenses,242000000.0,-143000000.0,122000000.0,22000000.0,4000000.0
Special Income Charges,7000000.0,143000000.0,5000000.0,9000000.0,10000000.0
Other Special Charges,-7000000.0,0.0,-5000000.0,-9000000.0,-10000000.0
Earnings From Equity Interest,4000000.0,2000000.0,2000000.0,4000000.0,10000000.0
Net Non Operating Interest Income Expense,-47000000.0,-50000000.0,-53000000.0,-51000000.0,-49000000.0
Interest Expense Non Operating,59000000.0,60000000.0,60000000.0,58000000.0,57000000.0
Interest Income Non Operating,12000000.0,10000000.0,7000000.0,7000000.0,8000000.0
Operating Income,312000000.0,192000000.0,96000000.0,268000000.0,275000000.0
Operating Expense,591000000.0,619000000.0,580000000.0,595000000.0,591000000.0
Other Operating Expenses,373000000.0,370000000.0,357000000.0,375000000.0,364000000.0
Depreciation Amortization Depletion Income Statement,190000000.0,208000000.0,196000000.0,195000000.0,196000000.0
Depreciation And Amortization In Income Statement,190000000.0,208000000.0,196000000.0,195000000.0,196000000.0
Selling General And Administration,28000000.0,41000000.0,27000000.0,25000000.0,31000000.0
General And Administrative Expense,28000000.0,41000000.0,27000000.0,25000000.0,31000000.0
Other Gand A,22000000.0,31000000.0,22000000.0,20000000.0,25000000.0
Salaries And Wages,6000000.0,10000000.0,5000000.0,5000000.0,6000000.0
Gross Profit,903000000.0,811000000.0,676000000.0,863000000.0,866000000.0
Cost Of Revenue,742000000.0,792000000.0,655000000.0,723000000.0,728000000.0
Total Revenue,1645000000.0,1603000000.0,1331000000.0,1586000000.0,1594000000.0
Operating Revenue,1486000000.0,1452000000.0,1190000000.0,1427000000.0,1441000000.0
