,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.19,0.159039,0.171,0.19,0.19
Normalized EBITDA,619379000.0,602531000.0,573557000.0,566727000.0,559582000.0
Net Income From Continuing Operation Net Minority Interest,399357000.0,398601000.0,371416000.0,358367000.0,351758000.0
Reconciled Depreciation,105490000.0,105658000.0,103078000.0,107701000.0,106367000.0
Reconciled Cost Of Revenue,1210878000.0,1278034000.0,1206505000.0,1142167000.0,1106971000.0
EBITDA,619379000.0,602531000.0,573557000.0,566727000.0,559582000.0
EBIT,513889000.0,496873000.0,470479000.0,459026000.0,453215000.0
Net Interest Income,-20909000.0,-22890000.0,-22514000.0,-16857000.0,-18993000.0
Interest Expense,20909000.0,22890000.0,22514000.0,16857000.0,18993000.0
Normalized Income,399357000.0,398601000.0,371416000.0,358367000.0,351758000.0
Net Income From Continuing And Discontinued Operation,399357000.0,398601000.0,371416000.0,358367000.0,351758000.0
Total Expenses,1413501000.0,1492966000.0,1404261000.0,1316430000.0,1277142000.0
Total Operating Income As Reported,514936000.0,505482000.0,488380000.0,461626000.0,454829000.0
Diluted Average Shares,229835000.0,230351000.0,231670000.0,231472000.0,231542000.0
Basic Average Shares,229835000.0,229590000.0,230733000.0,230818000.0,230668000.0
Diluted EPS,1.74,1.73,1.6,1.55,1.52
Basic EPS,1.74,1.74,1.61,1.55,1.52
Diluted NI Availto Com Stockholders,399357000.0,398601000.0,371416000.0,358367000.0,351758000.0
Net Income Common Stockholders,399357000.0,398601000.0,371416000.0,358367000.0,351758000.0
Net Income,399357000.0,398601000.0,371416000.0,358367000.0,351758000.0
Net Income Including Noncontrolling Interests,399357000.0,398601000.0,371416000.0,358367000.0,351758000.0
Net Income Continuous Operations,399357000.0,398601000.0,371416000.0,358367000.0,351758000.0
Tax Provision,93623000.0,75382000.0,76549000.0,83802000.0,82464000.0
Pretax Income,492980000.0,473983000.0,447965000.0,442169000.0,434222000.0
Other Income Expense,-1047000.0,-8609000.0,-17901000.0,-2600000.0,-1614000.0
Other Non Operating Income Expenses,-1047000.0,-8609000.0,-17901000.0,-2600000.0,-1614000.0
Net Non Operating Interest Income Expense,-20909000.0,-22890000.0,-22514000.0,-16857000.0,-18993000.0
Interest Expense Non Operating,20909000.0,22890000.0,22514000.0,16857000.0,18993000.0
Operating Income,514936000.0,505482000.0,488380000.0,461626000.0,454829000.0
Operating Expense,202623000.0,214932000.0,197756000.0,174263000.0,170171000.0
Selling General And Administration,202623000.0,214932000.0,197756000.0,174263000.0,170171000.0
Gross Profit,717559000.0,720414000.0,686136000.0,635889000.0,625000000.0
Cost Of Revenue,1210878000.0,1278034000.0,1206505000.0,1142167000.0,1106971000.0
Total Revenue,1928437000.0,1998448000.0,1892641000.0,1778056000.0,1731971000.0
Operating Revenue,1928437000.0,1998448000.0,1892641000.0,1778056000.0,1731971000.0
