,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.148,0.219383,0.115,0.21,0.149091,,
Normalized EBITDA,2398000000.0,2861000000.0,2106000000.0,721000000.0,1587000000.0,,
Net Income From Continuing Operation Net Minority Interest,1372000000.0,1620000000.0,1172000000.0,768000000.0,709000000.0,,
Reconciled Depreciation,757000000.0,751000000.0,754000000.0,757000000.0,742000000.0,,
Reconciled Cost Of Revenue,4370000000.0,4239000000.0,4014000000.0,4177000000.0,3276000000.0,,
EBITDA,2398000000.0,2861000000.0,2106000000.0,721000000.0,1587000000.0,,
EBIT,1641000000.0,2110000000.0,1352000000.0,-36000000.0,845000000.0,,
Net Interest Income,-37000000.0,179000000.0,-37000000.0,-38000000.0,-20000000.0,,
Interest Expense,37000000.0,36000000.0,37000000.0,38000000.0,20000000.0,,
Normalized Income,1372000000.0,1620000000.0,1172000000.0,768000000.0,709000000.0,,
Net Income From Continuing And Discontinued Operation,1383000000.0,1511000000.0,1243000000.0,872000000.0,709000000.0,,
Total Expenses,8777000000.0,8518000000.0,7976000000.0,7819000000.0,6632000000.0,,
Total Operating Income As Reported,1476000000.0,1752000000.0,1270000000.0,-134000000.0,806000000.0,,
Diluted Average Shares,1650000000.0,1649000000.0,1641000000.0,1630000000.0,1626000000.0,,
Basic Average Shares,1631000000.0,1630000000.0,1626000000.0,1623000000.0,1620000000.0,,
Diluted EPS,0.84,0.92,0.75,0.54,0.44,,
Basic EPS,0.85,0.93,0.76,0.54,0.44,,
Diluted NI Availto Com Stockholders,1383000000.0,1511000000.0,1243000000.0,872000000.0,709000000.0,,
Net Income Common Stockholders,1383000000.0,1511000000.0,1243000000.0,872000000.0,709000000.0,,
Net Income,1383000000.0,1511000000.0,1243000000.0,872000000.0,709000000.0,,
Net Income Including Noncontrolling Interests,1383000000.0,1511000000.0,1243000000.0,872000000.0,709000000.0,,
Net Income Discontinuous Operations,11000000.0,-109000000.0,71000000.0,104000000.0,0.0,,
Net Income Continuous Operations,1372000000.0,1620000000.0,1172000000.0,768000000.0,709000000.0,,
Earnings From Equity Interest Net Of Tax,6000000.0,1000000.0,10000000.0,8000000.0,7000000.0,,
Tax Provision,238000000.0,455000000.0,153000000.0,-834000000.0,123000000.0,,
Pretax Income,1604000000.0,2074000000.0,1315000000.0,-74000000.0,825000000.0,,
Other Income Expense,165000000.0,143000000.0,82000000.0,98000000.0,39000000.0,,
Other Non Operating Income Expenses,165000000.0,-223000000.0,82000000.0,98000000.0,39000000.0,,
Net Non Operating Interest Income Expense,-37000000.0,179000000.0,-37000000.0,-38000000.0,-20000000.0,,
Interest Expense Non Operating,37000000.0,36000000.0,37000000.0,38000000.0,20000000.0,,
Operating Income,1476000000.0,1752000000.0,1270000000.0,-134000000.0,806000000.0,,
Operating Expense,3940000000.0,3825000000.0,3510000000.0,3193000000.0,2930000000.0,,
Other Operating Expenses,,,,,,-11000000.0,-14000000.0
Depreciation Amortization Depletion Income Statement,290000000.0,297000000.0,302000000.0,308000000.0,316000000.0,,
Depreciation And Amortization In Income Statement,290000000.0,297000000.0,302000000.0,308000000.0,316000000.0,,
Amortization,290000000.0,297000000.0,302000000.0,308000000.0,316000000.0,,
Amortization Of Intangibles Income Statement,290000000.0,297000000.0,302000000.0,308000000.0,316000000.0,,
Research And Development,2397000000.0,2330000000.0,2139000000.0,1894000000.0,1728000000.0,,
Selling General And Administration,1253000000.0,1198000000.0,1069000000.0,991000000.0,886000000.0,,
Gross Profit,5416000000.0,5577000000.0,4780000000.0,3059000000.0,3736000000.0,,
Cost Of Revenue,4837000000.0,4693000000.0,4466000000.0,4626000000.0,3702000000.0,,
Total Revenue,10253000000.0,10270000000.0,9246000000.0,7685000000.0,7438000000.0,,
Operating Revenue,10253000000.0,10270000000.0,9246000000.0,7685000000.0,7438000000.0,,
