,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-4554000.0,-5605781.865966,-3179000.0,-10607538.802661,-2212160.413972,,
Tax Rate For Calcs,0.207,0.207622,0.187,0.204,0.221216,,
Normalized EBITDA,961000000.0,966000000.0,1086000000.0,1130000000.0,956000000.0,,
Total Unusual Items,-22000000.0,-27000000.0,-17000000.0,-52000000.0,-10000000.0,,
Total Unusual Items Excluding Goodwill,-22000000.0,-27000000.0,-17000000.0,-52000000.0,-10000000.0,,
Net Income From Continuing Operation Net Minority Interest,601000000.0,603000000.0,721000000.0,718000000.0,602000000.0,,
Reconciled Depreciation,119000000.0,121000000.0,124000000.0,123000000.0,119000000.0,,
Reconciled Cost Of Revenue,553000000.0,622000000.0,591000000.0,559000000.0,531000000.0,,
EBITDA,939000000.0,939000000.0,1069000000.0,1078000000.0,946000000.0,,
EBIT,820000000.0,818000000.0,945000000.0,955000000.0,827000000.0,,
Net Interest Income,-41000000.0,-32000000.0,-32000000.0,-34000000.0,-32000000.0,,
Interest Expense,62000000.0,57000000.0,58000000.0,53000000.0,54000000.0,,
Interest Income,21000000.0,25000000.0,26000000.0,19000000.0,22000000.0,,
Normalized Income,618446000.0,624394218.134034,734821000.0,759392461.197339,609787839.586028,,
Net Income From Continuing And Discontinued Operation,601000000.0,603000000.0,721000000.0,718000000.0,602000000.0,,
Total Expenses,1440000000.0,1561000000.0,1464000000.0,1471000000.0,1386000000.0,,
Diluted Average Shares,422400000.0,438600000.0,443200000.0,445500000.0,448000000.0,,
Basic Average Shares,422100000.0,438200000.0,442900000.0,445100000.0,447600000.0,,
Diluted EPS,1.42,1.37,1.63,1.61,1.34,,
Basic EPS,1.42,1.38,1.63,1.61,1.34,,
Diluted NI Availto Com Stockholders,601000000.0,603000000.0,721000000.0,718000000.0,602000000.0,,
Net Income Common Stockholders,601000000.0,603000000.0,721000000.0,718000000.0,602000000.0,,
Net Income,601000000.0,603000000.0,721000000.0,718000000.0,602000000.0,,
Minority Interests,0.0,0.0,0.0,0.0,0.0,,
Net Income Including Noncontrolling Interests,601000000.0,603000000.0,721000000.0,718000000.0,602000000.0,,
Net Income Continuous Operations,601000000.0,603000000.0,721000000.0,718000000.0,602000000.0,,
Tax Provision,157000000.0,158000000.0,166000000.0,184000000.0,171000000.0,,
Pretax Income,758000000.0,761000000.0,887000000.0,902000000.0,773000000.0,,
Other Income Expense,-23000000.0,-33000000.0,-17000000.0,-53000000.0,-7000000.0,,
Other Non Operating Income Expenses,-1000000.0,-6000000.0,,-1000000.0,3000000.0,6000000.0,
Special Income Charges,-16000000.0,-17000000.0,-4000000.0,-38000000.0,0.0,,
Gain On Sale Of Ppe,6000000.0,0.0,0.0,0.0,0.0,,
Gain On Sale Of Business,,0.0,0.0,-3000000.0,,-23000000.0,0.0
Write Off,,0.0,0.0,22000000.0,,0.0,0.0
Impairment Of Capital Assets,,0.0,0.0,5000000.0,,4000000.0,0.0
Restructuring And Mergern Acquisition,22000000.0,17000000.0,4000000.0,8000000.0,0.0,,
Gain On Sale Of Security,-6000000.0,-10000000.0,-13000000.0,-14000000.0,-10000000.0,,
Net Non Operating Interest Income Expense,-41000000.0,-32000000.0,-32000000.0,-34000000.0,-32000000.0,,
Interest Expense Non Operating,62000000.0,57000000.0,58000000.0,53000000.0,54000000.0,,
Interest Income Non Operating,21000000.0,25000000.0,26000000.0,19000000.0,22000000.0,,
Operating Income,822000000.0,826000000.0,936000000.0,989000000.0,812000000.0,,
Operating Expense,799000000.0,849000000.0,781000000.0,822000000.0,768000000.0,,
Depreciation Amortization Depletion Income Statement,31000000.0,31000000.0,32000000.0,33000000.0,32000000.0,,
Depreciation And Amortization In Income Statement,31000000.0,31000000.0,32000000.0,33000000.0,32000000.0,,
Amortization,31000000.0,31000000.0,32000000.0,33000000.0,32000000.0,,
Amortization Of Intangibles Income Statement,31000000.0,31000000.0,32000000.0,33000000.0,32000000.0,,
Research And Development,180000000.0,199000000.0,170000000.0,172000000.0,162000000.0,,
Selling General And Administration,588000000.0,619000000.0,579000000.0,617000000.0,574000000.0,,
Gross Profit,1621000000.0,1675000000.0,1717000000.0,1811000000.0,1580000000.0,,
Cost Of Revenue,641000000.0,712000000.0,683000000.0,649000000.0,618000000.0,,
Total Revenue,2262000000.0,2387000000.0,2400000000.0,2460000000.0,2198000000.0,,
Operating Revenue,2262000000.0,2387000000.0,2400000000.0,2460000000.0,2198000000.0,,
