,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-2092800000.0,-83580000.0,257730000.0,-271740000.0,-56280000.0
Tax Rate For Calcs,0.4,0.21,0.066,0.21,0.21
Normalized EBITDA,4686000000.0,4046000000.0,3943000000.0,1765000000.0,2655000000.0
Total Unusual Items,-5232000000.0,-398000000.0,3905000000.0,-1294000000.0,-268000000.0
Total Unusual Items Excluding Goodwill,-5232000000.0,-398000000.0,3905000000.0,-1294000000.0,-268000000.0
Net Income From Continuing Operation Net Minority Interest,-3728000000.0,-591000000.0,4063000000.0,-2918000000.0,-821000000.0
Reconciled Depreciation,3136000000.0,3027000000.0,2992000000.0,3013000000.0,2674000000.0
Reconciled Cost Of Revenue,8230000000.0,8731000000.0,8435000000.0,9317000000.0,7995000000.0
EBITDA,-546000000.0,3648000000.0,7848000000.0,471000000.0,2387000000.0
EBIT,-3682000000.0,621000000.0,4856000000.0,-2542000000.0,-287000000.0
Net Interest Income,352000000.0,186000000.0,-189000000.0,-189000000.0,-173000000.0
Interest Expense,264000000.0,283000000.0,282000000.0,227000000.0,299000000.0
Interest Income,333000000.0,325000000.0,228000000.0,210000000.0,245000000.0
Normalized Income,-588800000.0,-276580000.0,415730000.0,-1895740000.0,-609280000.0
Net Income From Continuing And Discontinued Operation,-3728000000.0,-591000000.0,4063000000.0,-2918000000.0,-821000000.0
Total Expenses,12643000000.0,13124000000.0,12795000000.0,14145000000.0,12812000000.0
Total Operating Income As Reported,-3136000000.0,580000000.0,683000000.0,-3176000000.0,-301000000.0
Diluted Average Shares,5083000000.0,4856000000.0,4531000000.0,4369000000.0,4343000000.0
Basic Average Shares,5083000000.0,4856000000.0,4514000000.0,4369000000.0,4343000000.0
Diluted EPS,-0.73,-0.12,0.9,-0.67,-0.19
Basic EPS,-0.73,-0.12,0.9,-0.67,-0.19
Diluted NI Availto Com Stockholders,-3728000000.0,-591000000.0,4063000000.0,-2918000000.0,-821000000.0
Net Income Common Stockholders,-3728000000.0,-591000000.0,4063000000.0,-2918000000.0,-821000000.0
Net Income,-3728000000.0,-591000000.0,4063000000.0,-2918000000.0,-821000000.0
Minority Interests,553000000.0,-258000000.0,-207000000.0,106000000.0,66000000.0
Net Income Including Noncontrolling Interests,-4281000000.0,-333000000.0,4270000000.0,-3024000000.0,-887000000.0
Net Income Continuous Operations,-4281000000.0,-333000000.0,4270000000.0,-3024000000.0,-887000000.0
Tax Provision,335000000.0,671000000.0,304000000.0,255000000.0,301000000.0
Pretax Income,-3946000000.0,338000000.0,4574000000.0,-2769000000.0,-586000000.0
Other Income Expense,-5232000000.0,-398000000.0,3905000000.0,-1294000000.0,-268000000.0
Special Income Charges,-4132000000.0,-260000000.0,5295000000.0,-1847000000.0,-261000000.0
Gain On Sale Of Business,,-222000000.0,5546000000.0,94000000.0,
Other Special Charges,31000000.0,-173000000.0,33000000.0,8000000.0,11000000.0
Write Off,4027000000.0,175000000.0,72000000.0,467000000.0,108000000.0
Restructuring And Mergern Acquisition,74000000.0,36000000.0,146000000.0,1466000000.0,142000000.0
Gain On Sale Of Security,-1100000000.0,-138000000.0,-1390000000.0,553000000.0,-7000000.0
Net Non Operating Interest Income Expense,352000000.0,186000000.0,-189000000.0,-189000000.0,-173000000.0
Total Other Finance Cost,-283000000.0,-144000000.0,135000000.0,172000000.0,119000000.0
Interest Expense Non Operating,264000000.0,283000000.0,282000000.0,227000000.0,299000000.0
Interest Income Non Operating,333000000.0,325000000.0,228000000.0,210000000.0,245000000.0
Operating Income,934000000.0,550000000.0,858000000.0,-1286000000.0,-145000000.0
Operating Expense,4413000000.0,4393000000.0,4360000000.0,4828000000.0,4817000000.0
Research And Development,3375000000.0,3219000000.0,3231000000.0,3684000000.0,3640000000.0
Selling General And Administration,1038000000.0,1174000000.0,1129000000.0,1144000000.0,1177000000.0
Gross Profit,5347000000.0,4943000000.0,5218000000.0,3542000000.0,4672000000.0
Cost Of Revenue,8230000000.0,8731000000.0,8435000000.0,9317000000.0,7995000000.0
Total Revenue,13577000000.0,13674000000.0,13653000000.0,12859000000.0,12667000000.0
Operating Revenue,13577000000.0,13674000000.0,13653000000.0,12859000000.0,12667000000.0
