,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,-26601052.912406,-75659860.0,0.0,0.0,,
Tax Rate For Calcs,0.4,0.025281,0.34,0.34,0.240083,,
Normalized EBITDA,1425723000.0,1751513000.0,2791066000.0,2339949000.0,1808391000.0,,
Total Unusual Items,-297935000.0,-1052212000.0,-222529000.0,-251253000.0,-526878000.0,,
Total Unusual Items Excluding Goodwill,-297935000.0,-1052212000.0,-222529000.0,-251253000.0,-526878000.0,,
Net Income From Continuing Operation Net Minority Interest,-615531000.0,-1080148000.0,-137080000.0,-166000000.0,-619146000.0,,
Reconciled Depreciation,1155156000.0,1062179000.0,1042512000.0,1046596000.0,999188000.0,,
Reconciled Cost Of Revenue,6952017000.0,6776173000.0,7306850000.0,6941857000.0,7400904000.0,,
EBITDA,1425723000.0,699301000.0,2568537000.0,2522558000.0,1808391000.0,,
EBIT,270567000.0,-362878000.0,1526025000.0,1475962000.0,809203000.0,,
Net Interest Income,-1306852000.0,-972963000.0,-1242351000.0,-1900239000.0,-1850347000.0,,
Interest Expense,1634000000.0,377043000.0,1245429000.0,,2405000000.0,1253475000.0,
Interest Income,328000000.0,-758780000.0,247728000.0,,555000000.0,981245000.0,
Normalized Income,-615531000.0,-54537052.912406,9789140.0,-130369000.0,-619146000.0,,
Net Income From Continuing And Discontinued Operation,-615531000.0,-1080148000.0,-137080000.0,-166000000.0,-619146000.0,,
Total Expenses,10333205000.0,10190895000.0,10227129000.0,9611625000.0,10098426000.0,,
Total Operating Income As Reported,294344000.0,,1723429000.0,,887637000.0,,781481000.0
Diluted Average Shares,1326093947.0,1326093947.0,1326110090.0,1326093947.0,1326093947.0,,
Basic Average Shares,1326093947.0,1326093947.0,1326110090.0,1326093947.0,1326093947.0,,
Diluted EPS,-0.464168,-0.543864,-0.10337,-0.12518,-0.466895,,
Basic EPS,-0.464168,-0.543864,-0.10337,-0.12518,-0.466895,,
Diluted NI Availto Com Stockholders,-615531000.0,-1080148000.0,-137080000.0,-166000000.0,-619146000.0,,
Net Income Common Stockholders,-615531000.0,-1080148000.0,-137080000.0,-130369000.0,-619146000.0,,
Net Income,-615531000.0,-1080148000.0,-137080000.0,-130369000.0,-619146000.0,,
Minority Interests,-60508000.0,-358933000.0,-213518000.0,-35631000.0,112434000.0,,
Net Income Including Noncontrolling Interests,-555023000.0,-721215000.0,76438000.0,-130369000.0,-731580000.0,,
Net Income Continuous Operations,-555023000.0,-721215000.0,76438000.0,-130369000.0,-731580000.0,,
Tax Provision,-457485000.0,-18706000.0,204158000.0,-127114000.0,-231130000.0,,
Pretax Income,-1012508000.0,-739921000.0,280596000.0,-257483000.0,-962710000.0,,
Other Income Expense,23777000.0,-926801000.0,-60029000.0,-79525000.0,78434000.0,,
Other Non Operating Income Expenses,6263000.0,8521000.0,5873000.0,4935000.0,11077000.0,,
Special Income Charges,-35836000.0,-534970000.0,11844000.0,414364000.0,-139403000.0,,
Other Special Charges,33812000.0,-215473000.0,-27869000.0,-516134000.0,152289000.0,,
Write Off,,,,,146485000.0,,
Impairment Of Capital Assets,2024000.0,66028000.0,16025000.0,,-12886000.0,29747000.0,
Earnings From Equity Interest,23777000.0,116890000.0,156627000.0,166794000.0,78434000.0,,
Gain On Sale Of Security,-262099000.0,-517242000.0,-234373000.0,-665617000.0,-387475000.0,,
Net Non Operating Interest Income Expense,-1306852000.0,-972963000.0,-1242351000.0,-1259619000.0,-1850347000.0,,
Total Other Finance Cost,1306852000.0,-162860000.0,244650000.0,1900239000.0,1850347000.0,,
Interest Expense Non Operating,1634000000.0,377043000.0,1245429000.0,1299583000.0,2405000000.0,,
Interest Income Non Operating,328000000.0,-758780000.0,247728000.0,187833000.0,555000000.0,,
Operating Income,270567000.0,1212268000.0,1566739000.0,1081661000.0,809203000.0,,
Operating Expense,2252137000.0,2455865000.0,1900511000.0,1644438000.0,1723040000.0,,
Other Operating Expenses,914234000.0,350297000.0,172833000.0,100537000.0,445410000.0,,
Other Taxes,31956000.0,15284000.0,31870000.0,-6396000.0,12193000.0,,
Depreciation Amortization Depletion Income Statement,26105000.0,103322000.0,22744000.0,21266000.0,24706000.0,,
Depreciation And Amortization In Income Statement,26105000.0,103322000.0,22744000.0,25990000.0,24706000.0,,
Depreciation Income Statement,,,22744000.0,,,,21955000.0
Research And Development,,29650000.0,19313000.0,,,16835000.0,14674000.0
Selling General And Administration,1311798000.0,1957312000.0,1653751000.0,1511031000.0,1252924000.0,,
Selling And Marketing Expense,1083233000.0,1411474000.0,1328433000.0,1217876000.0,1046247000.0,,
General And Administrative Expense,228565000.0,545838000.0,325318000.0,252668000.0,206677000.0,,
Other Gand A,228565000.0,534056000.0,310821000.0,252668000.0,206677000.0,,
Insurance And Claims,23176000.0,,,,26578000.0,,
Salaries And Wages,11370000.0,11782000.0,14497000.0,,14497000.0,10217000.0,
Gross Profit,2522704000.0,3668133000.0,3467250000.0,2726099000.0,2532243000.0,,
Cost Of Revenue,8081068000.0,,,,,,
Total Revenue,10603772000.0,11403163000.0,11793868000.0,10693286000.0,10907629000.0,,
Excise Taxes,1443905000.0,1421418000.0,1486045000.0,1542852000.0,1516073000.0,,
Operating Revenue,10603772000.0,12898033000.0,13408396000.0,12413663000.0,10907629000.0,,
