,2026-05-31,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30
Tax Effect Of Unusual Items,4318000.0,-1008000.0,5625000.0,8974358.974359,-4460852.713178,,
Tax Rate For Calcs,0.254,0.252,0.225,0.25641,0.262403,,
Normalized EBITDA,3550000000.0,3355000000.0,3190000000.0,4295000000.0,3184000000.0,,
Total Unusual Items,17000000.0,-4000000.0,25000000.0,35000000.0,-17000000.0,,
Total Unusual Items Excluding Goodwill,17000000.0,-4000000.0,25000000.0,35000000.0,-17000000.0,,
Net Income From Continuing Operation Net Minority Interest,2192000000.0,2035000000.0,2001000000.0,2610000000.0,1903000000.0,,
Reconciled Depreciation,597000000.0,597000000.0,597000000.0,774000000.0,552000000.0,,
Reconciled Cost Of Revenue,61519000000.0,60719000000.0,58510000000.0,75037000000.0,54996000000.0,,
EBITDA,3567000000.0,3351000000.0,3215000000.0,4330000000.0,3167000000.0,,
EBIT,2970000000.0,2754000000.0,2618000000.0,3556000000.0,2615000000.0,,
Net Interest Income,106000000.0,119000000.0,95000000.0,134000000.0,67000000.0,,
Interest Expense,32000000.0,33000000.0,35000000.0,46000000.0,35000000.0,,
Interest Income,138000000.0,152000000.0,130000000.0,180000000.0,95000000.0,,
Normalized Income,2179318000.0,2037992000.0,1981625000.0,2583974358.974359,1915539147.286822,,
Net Income From Continuing And Discontinued Operation,2192000000.0,2035000000.0,2001000000.0,2610000000.0,1903000000.0,,
Total Expenses,67712000000.0,66991000000.0,64844000000.0,82815000000.0,60675000000.0,,
Total Operating Income As Reported,2815000000.0,2606000000.0,2463000000.0,3341000000.0,2530000000.0,,
Diluted Average Shares,444430000.0,444420000.0,444515000.0,444706000.0,444762000.0,,
Basic Average Shares,443923000.0,443946000.0,443961000.0,444007000.0,443958000.0,,
Diluted EPS,4.93,4.58,4.5,5.87,4.28,,
Basic EPS,4.94,4.58,4.51,5.88,4.29,,
Diluted NI Availto Com Stockholders,2192000000.0,2035000000.0,2001000000.0,2610000000.0,1903000000.0,,
Net Income Common Stockholders,2192000000.0,2035000000.0,2001000000.0,2610000000.0,1903000000.0,,
Net Income,2192000000.0,2035000000.0,2001000000.0,2610000000.0,1903000000.0,,
Net Income Including Noncontrolling Interests,2192000000.0,2035000000.0,2001000000.0,2610000000.0,1903000000.0,,
Net Income Continuous Operations,2192000000.0,2035000000.0,2001000000.0,2610000000.0,1903000000.0,,
Tax Provision,746000000.0,686000000.0,582000000.0,900000000.0,677000000.0,,
Pretax Income,2938000000.0,2721000000.0,2583000000.0,3510000000.0,2580000000.0,,
Other Income Expense,17000000.0,-4000000.0,25000000.0,35000000.0,-17000000.0,,
Gain On Sale Of Security,17000000.0,-4000000.0,25000000.0,35000000.0,-17000000.0,,
Net Non Operating Interest Income Expense,106000000.0,119000000.0,95000000.0,134000000.0,67000000.0,,
Total Other Finance Cost,,,,,-7000000.0,-10000000.0,-8000000.0
Interest Expense Non Operating,32000000.0,33000000.0,35000000.0,46000000.0,35000000.0,,
Interest Income Non Operating,138000000.0,152000000.0,130000000.0,180000000.0,95000000.0,,
Operating Income,2815000000.0,2606000000.0,2463000000.0,3341000000.0,2530000000.0,,
Operating Expense,6193000000.0,6272000000.0,6334000000.0,7778000000.0,5679000000.0,,
Selling General And Administration,6193000000.0,6272000000.0,6334000000.0,7778000000.0,5679000000.0,,
Gross Profit,9008000000.0,8878000000.0,8797000000.0,11119000000.0,8209000000.0,,
Cost Of Revenue,61519000000.0,60719000000.0,58510000000.0,75037000000.0,54996000000.0,,
Total Revenue,70527000000.0,69597000000.0,67307000000.0,86156000000.0,63205000000.0,,
Operating Revenue,70527000000.0,69597000000.0,67307000000.0,86156000000.0,63205000000.0,,
