,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,-29741275.255838,-220690000.0,460000.0,0.0,,
Tax Rate For Calcs,0.21,0.337969,0.29,0.23,0.245962,,
Total Unusual Items,,-88000000.0,-761000000.0,2000000.0,-51000000.0,-248000000.0,
Total Unusual Items Excluding Goodwill,,-88000000.0,-761000000.0,2000000.0,-51000000.0,-248000000.0,
Net Income From Continuing Operation Net Minority Interest,5786000000.0,2472000000.0,3753000000.0,4019000000.0,4065000000.0,,
Reconciled Depreciation,1115000000.0,1103000000.0,1123000000.0,1097000000.0,1050000000.0,,
Net Interest Income,15741000000.0,15665000000.0,14940000000.0,15175000000.0,14012000000.0,,
Interest Expense,19772000000.0,20984000000.0,21750000000.0,20684000000.0,19654000000.0,,
Interest Income,35513000000.0,36649000000.0,36690000000.0,35859000000.0,33666000000.0,,
Normalized Income,5786000000.0,2530258724.744162,4293310000.0,4017460000.0,4065000000.0,,
Net Income From Continuing And Discontinued Operation,5785000000.0,2471000000.0,3752000000.0,4019000000.0,4064000000.0,,
Diluted Average Shares,1776000000.0,1816900000.0,1862600000.0,1893100000.0,1919600000.0,,
Basic Average Shares,1736900000.0,1772800000.0,1820300000.0,1855900000.0,1879000000.0,,
Diluted EPS,3.06,1.19,1.86,1.96,1.96,,
Basic EPS,3.123381,1.212207,1.8887,1.984482,1.996275,,
Diluted NI Availto Com Stockholders,5442000000.0,2169000000.0,3458000000.0,3702000000.0,3768000000.0,,
Average Dilution Earnings,18000000.0,20000000.0,20000000.0,19000000.0,17000000.0,,
Net Income Common Stockholders,5424000000.0,2149000000.0,3438000000.0,3683000000.0,3751000000.0,,
Otherunder Preferred Stock Dividend,56000000.0,38000000.0,40000000.0,49000000.0,44000000.0,,
Preferred Stock Dividends,305000000.0,284000000.0,274000000.0,287000000.0,269000000.0,,
Net Income,5785000000.0,2471000000.0,3752000000.0,4019000000.0,4064000000.0,,
Minority Interests,-153000000.0,-51000000.0,-38000000.0,-14000000.0,-43000000.0,,
Net Income Including Noncontrolling Interests,5938000000.0,2522000000.0,3790000000.0,4033000000.0,4107000000.0,,
Net Income Discontinuous Operations,-1000000.0,-1000000.0,-1000000.0,0.0,-1000000.0,,
Net Income Continuous Operations,5939000000.0,2523000000.0,3791000000.0,4033000000.0,4108000000.0,,
Tax Provision,1578000000.0,1288000000.0,1559000000.0,1186000000.0,1340000000.0,,
Pretax Income,7517000000.0,3811000000.0,5350000000.0,5219000000.0,5448000000.0,,
Special Income Charges,,-88000000.0,-761000000.0,2000000.0,-51000000.0,-248000000.0,
Gain On Sale Of Business,,-580000000.0,-40000000.0,,-34000000.0,-56000000.0,-67000000.0
Other Special Charges,,,,,20000000.0,,56000000.0
Impairment Of Capital Assets,,,726000000.0,,,,
Restructuring And Mergern Acquisition,,-4000000.0,-5000000.0,-2000000.0,-3000000.0,-11000000.0,
Gain On Sale Of Security,160000000.0,-142000000.0,85000000.0,96000000.0,68000000.0,,
Selling General And Administration,8628000000.0,7410000000.0,7751000000.0,7928000000.0,7734000000.0,,
Selling And Marketing Expense,233000000.0,318000000.0,260000000.0,269000000.0,250000000.0,,
General And Administrative Expense,8395000000.0,7092000000.0,7491000000.0,7659000000.0,7484000000.0,,
Insurance And Claims,13000000.0,24000000.0,17000000.0,26000000.0,20000000.0,,
Salaries And Wages,8382000000.0,7068000000.0,7474000000.0,7633000000.0,7464000000.0,,
Total Revenue,24663000000.0,19670000000.0,22095000000.0,21661000000.0,21601000000.0,,
Operating Revenue,24663000000.0,19670000000.0,22095000000.0,21661000000.0,21601000000.0,,
Occupancy And Equipment,586000000.0,681000000.0,607000000.0,615000000.0,574000000.0,,
Professional Expense And Contract Services Expense,441000000.0,573000000.0,514000000.0,510000000.0,476000000.0,,
Other Non Interest Expense,4669000000.0,4926000000.0,4674000000.0,4552000000.0,4661000000.0,,
