,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,38180000.0,55230000.0,39690000.0,-86940000.0,-74494000.0
Tax Rate For Calcs,0.23,0.21,0.21,0.21,0.313
Normalized EBITDA,804000000.0,790000000.0,670000000.0,496000000.0,601000000.0
Total Unusual Items,166000000.0,263000000.0,189000000.0,-414000000.0,-238000000.0
Total Unusual Items Excluding Goodwill,166000000.0,263000000.0,189000000.0,-414000000.0,-238000000.0
Net Income From Continuing Operation Net Minority Interest,721000000.0,1174000000.0,899000000.0,-86000000.0,225000000.0
Reconciled Depreciation,26000000.0,25000000.0,24000000.0,26000000.0,27000000.0
Reconciled Cost Of Revenue,3038000000.0,3032000000.0,2921000000.0,2873000000.0,2864000000.0
EBITDA,970000000.0,1053000000.0,859000000.0,82000000.0,363000000.0
EBIT,944000000.0,1028000000.0,835000000.0,56000000.0,336000000.0
Net Interest Income,56000000.0,57000000.0,56000000.0,56000000.0,57000000.0
Interest Expense,7000000.0,7000000.0,8000000.0,8000000.0,8000000.0
Interest Income,54000000.0,58000000.0,59000000.0,61000000.0,67000000.0
Normalized Income,593180000.0,966230000.0,749690000.0,241060000.0,388506000.0
Net Income From Continuing And Discontinued Operation,721000000.0,1174000000.0,899000000.0,-86000000.0,225000000.0
Total Expenses,3818000000.0,3830000000.0,3690000000.0,3787000000.0,3681000000.0
Total Operating Income As Reported,715000000.0,701000000.0,582000000.0,406000000.0,509000000.0
Diluted Average Shares,209280449.0,212493318.0,213789735.0,205426999.0,210243478.0
Basic Average Shares,205716853.0,205771982.0,205964504.0,205426999.0,204467927.0
Diluted EPS,3.45,4.43,3.28,-0.42,1.07
Basic EPS,3.5,5.71,4.36,-0.42,1.1
Diluted NI Availto Com Stockholders,721000000.0,1174000000.0,899000000.0,-86000000.0,225000000.0
Net Income Common Stockholders,721000000.0,1174000000.0,899000000.0,-86000000.0,225000000.0
Net Income,721000000.0,1174000000.0,899000000.0,-86000000.0,225000000.0
Net Income Including Noncontrolling Interests,721000000.0,1174000000.0,899000000.0,-86000000.0,225000000.0
Net Income Continuous Operations,721000000.0,1174000000.0,899000000.0,-86000000.0,225000000.0
Tax Provision,216000000.0,-153000000.0,-72000000.0,134000000.0,103000000.0
Pretax Income,937000000.0,1021000000.0,827000000.0,48000000.0,328000000.0
Other Income Expense,166000000.0,263000000.0,189000000.0,-414000000.0,-238000000.0
Gain On Sale Of Security,166000000.0,263000000.0,189000000.0,-414000000.0,-238000000.0
Net Non Operating Interest Income Expense,56000000.0,57000000.0,56000000.0,56000000.0,57000000.0
Total Other Finance Cost,-9000000.0,-6000000.0,-5000000.0,-3000000.0,2000000.0
Interest Expense Non Operating,7000000.0,7000000.0,8000000.0,8000000.0,8000000.0
Interest Income Non Operating,54000000.0,58000000.0,59000000.0,61000000.0,67000000.0
Operating Income,715000000.0,701000000.0,582000000.0,406000000.0,509000000.0
Operating Expense,780000000.0,798000000.0,769000000.0,914000000.0,817000000.0
Research And Development,331000000.0,290000000.0,309000000.0,415000000.0,379000000.0
Selling General And Administration,449000000.0,508000000.0,460000000.0,499000000.0,438000000.0
Selling And Marketing Expense,342000000.0,399000000.0,349000000.0,364000000.0,314000000.0
General And Administrative Expense,107000000.0,109000000.0,111000000.0,135000000.0,124000000.0
Other Gand A,107000000.0,109000000.0,111000000.0,135000000.0,124000000.0
Gross Profit,1495000000.0,1499000000.0,1351000000.0,1320000000.0,1326000000.0
Cost Of Revenue,3038000000.0,3032000000.0,2921000000.0,2873000000.0,2864000000.0
Total Revenue,4533000000.0,4531000000.0,4272000000.0,4193000000.0,4190000000.0
Operating Revenue,4533000000.0,4531000000.0,4272000000.0,4193000000.0,4190000000.0
