,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.19,0.126175,0.18,0.14,0.1
Normalized EBITDA,11125638000.0,7852355000.0,7374774000.0,7726411000.0,7301077000.0
Net Income From Continuing Operation Net Minority Interest,5282791000.0,2418521000.0,2546916000.0,3125413000.0,2890351000.0
Reconciled Depreciation,4316475000.0,4850219000.0,4090070000.0,3912087000.0,3903179000.0
Reconciled Cost Of Revenue,5888238000.0,6522621000.0,6164250000.0,5325311000.0,5263147000.0
EBITDA,11125638000.0,7852355000.0,7374774000.0,7726411000.0,7301077000.0
EBIT,6809163000.0,3002136000.0,3284704000.0,3814324000.0,3397898000.0
Net Interest Income,2590089000.0,-188922000.0,-138837000.0,-143019000.0,-133273000.0
Interest Expense,262077000.0,234395000.0,175294000.0,182649000.0,184172000.0
Interest Income,2852166000.0,45473000.0,36457000.0,39630000.0,50899000.0
Normalized Income,5282791000.0,2418521000.0,2546916000.0,3125413000.0,2890351000.0
Net Income From Continuing And Discontinued Operation,5282791000.0,2418521000.0,2546916000.0,3125413000.0,2890351000.0
Total Expenses,8292760000.0,9094099000.0,8262060000.0,7304472000.0,7195802000.0
Total Operating Income As Reported,3956997000.0,2956663000.0,3248247000.0,3774694000.0,3346999000.0
Diluted Average Shares,4298437000.0,4317144000.0,4340390000.0,4348830000.0,4369620000.0
Basic Average Shares,4222787000.0,4229221000.0,4244550000.0,4252110000.0,4272700000.0
Diluted EPS,1.23,0.56,0.587,0.719,0.661
Basic EPS,1.25,0.57,0.6,0.735,0.676
Diluted NI Availto Com Stockholders,5282791000.0,2418521000.0,2546916000.0,3125413000.0,2890351000.0
Net Income Common Stockholders,5282791000.0,2418521000.0,2546916000.0,3125413000.0,2890351000.0
Net Income,5282791000.0,2418521000.0,2546916000.0,3125413000.0,2890351000.0
Net Income Including Noncontrolling Interests,5282791000.0,2418521000.0,2546916000.0,3125413000.0,2890351000.0
Net Income Continuous Operations,5282791000.0,2418521000.0,2546916000.0,3125413000.0,2890351000.0
Tax Provision,1264295000.0,349220000.0,562494000.0,506262000.0,323375000.0
Pretax Income,6547086000.0,2767741000.0,3109410000.0,3631675000.0,3213726000.0
Net Non Operating Interest Income Expense,2590089000.0,-188922000.0,-138837000.0,-143019000.0,-133273000.0
Interest Expense Non Operating,262077000.0,234395000.0,175294000.0,182649000.0,184172000.0
Interest Income Non Operating,2852166000.0,45473000.0,36457000.0,39630000.0,50899000.0
Operating Income,3956997000.0,2956663000.0,3248247000.0,3774694000.0,3346999000.0
Operating Expense,2404522000.0,2571478000.0,2097810000.0,1979161000.0,1932655000.0
Research And Development,959696000.0,890300000.0,853584000.0,824683000.0,822823000.0
Selling General And Administration,1444826000.0,1681178000.0,1244226000.0,1154478000.0,1109832000.0
Selling And Marketing Expense,842217000.0,1113376000.0,786295000.0,713265000.0,688370000.0
General And Administrative Expense,602609000.0,567802000.0,457931000.0,441213000.0,421462000.0
Other Gand A,602609000.0,567802000.0,457931000.0,441213000.0,421462000.0
Gross Profit,6361519000.0,5528141000.0,5346057000.0,5753855000.0,5279654000.0
Cost Of Revenue,5888238000.0,6522621000.0,6164250000.0,5325311000.0,5263147000.0
Total Revenue,12249757000.0,12050762000.0,11510307000.0,11079166000.0,10542801000.0
Operating Revenue,12249757000.0,12050762000.0,11510307000.0,11079166000.0,10542801000.0
