,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,-19510679.61165,0.0,0.0,0.0,,
Tax Rate For Calcs,0.213605,0.203236,0.241,0.187,0.224024,,
Total Unusual Items,,-96000000.0,0.0,0.0,,-123000000.0,0.0
Total Unusual Items Excluding Goodwill,,-96000000.0,0.0,0.0,,-123000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,2971000000.0,2462000000.0,2902000000.0,2885000000.0,2584000000.0,,
Reconciled Depreciation,468000000.0,462000000.0,455000000.0,427000000.0,433000000.0,,
Net Interest Income,4692000000.0,4522000000.0,4486000000.0,4187000000.0,4169000000.0,,
Interest Expense,1973000000.0,2060000000.0,2131000000.0,2077000000.0,1966000000.0,,
Interest Income,6665000000.0,6582000000.0,6617000000.0,6264000000.0,6135000000.0,,
Normalized Income,2971000000.0,2538489320.38835,2902000000.0,2885000000.0,2584000000.0,,
Net Income From Continuing And Discontinued Operation,2971000000.0,2462000000.0,2902000000.0,2885000000.0,2584000000.0,,
Diluted Average Shares,686000000.0,688000000.0,693000000.0,699000000.0,702000000.0,,
Basic Average Shares,685000000.0,687000000.0,692000000.0,698000000.0,701000000.0,,
Diluted EPS,4.28,3.53,4.14,4.08,3.64,,
Basic EPS,4.29,3.53,4.14,4.08,3.64,,
Diluted NI Availto Com Stockholders,2938000000.0,2429000000.0,2868000000.0,2852000000.0,2552000000.0,,
Net Income Common Stockholders,2938000000.0,2429000000.0,2868000000.0,2852000000.0,2552000000.0,,
Otherunder Preferred Stock Dividend,19000000.0,18000000.0,20000000.0,18000000.0,18000000.0,,
Preferred Stock Dividends,14000000.0,15000000.0,14000000.0,15000000.0,14000000.0,,
Net Income,2971000000.0,2462000000.0,2902000000.0,2885000000.0,2584000000.0,,
Net Income Including Noncontrolling Interests,2971000000.0,2462000000.0,2902000000.0,2885000000.0,2584000000.0,,
Net Income Continuous Operations,2971000000.0,2462000000.0,2902000000.0,2885000000.0,2584000000.0,,
Tax Provision,807000000.0,628000000.0,923000000.0,665000000.0,746000000.0,,
Pretax Income,3778000000.0,3090000000.0,3825000000.0,3550000000.0,3330000000.0,,
Special Income Charges,,-96000000.0,0.0,0.0,,-123000000.0,0.0
Gain On Sale Of Business,,0.0,0.0,0.0,,0.0,0.0
Selling General And Administration,3962000000.0,4117000000.0,3838000000.0,3707000000.0,3606000000.0,,
Selling And Marketing Expense,1480000000.0,1612000000.0,1599000000.0,1555000000.0,1486000000.0,,
General And Administrative Expense,2482000000.0,2505000000.0,2239000000.0,2152000000.0,2120000000.0,,
Salaries And Wages,2482000000.0,2505000000.0,2239000000.0,2152000000.0,2120000000.0,,
Total Revenue,18908000000.0,18981000000.0,18426000000.0,17856000000.0,16967000000.0,,
Operating Revenue,18908000000.0,18981000000.0,18426000000.0,17856000000.0,16967000000.0,,
Occupancy And Equipment,767000000.0,810000000.0,751000000.0,,,,
Professional Expense And Contract Services Expense,545000000.0,669000000.0,623000000.0,591000000.0,541000000.0,,
Other Non Interest Expense,8604000000.0,8784000000.0,8102000000.0,8603000000.0,8340000000.0,,
