,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Tax Effect Of Unusual Items,0.0,6278481.012658,6969696.969697,-210000.0,-234527.687296,,
Tax Rate For Calcs,0.242896,0.202532,0.204991,0.21,0.234528,,
Normalized EBITDA,4327000000.0,1105000000.0,794000000.0,634000000.0,3954000000.0,,
Total Unusual Items,0.0,31000000.0,34000000.0,-1000000.0,-1000000.0,,
Total Unusual Items Excluding Goodwill,0.0,31000000.0,34000000.0,-1000000.0,-1000000.0,,
Net Income From Continuing Operation Net Minority Interest,3064000000.0,693000000.0,446000000.0,381000000.0,2820000000.0,,
Reconciled Depreciation,210000000.0,209000000.0,209000000.0,208000000.0,201000000.0,,
Reconciled Cost Of Revenue,1286000000.0,955000000.0,795000000.0,807000000.0,1113000000.0,,
EBITDA,4327000000.0,1136000000.0,828000000.0,633000000.0,3953000000.0,,
EBIT,4117000000.0,927000000.0,619000000.0,425000000.0,3752000000.0,,
Net Interest Income,-28000000.0,-23000000.0,-20000000.0,1000000.0,-29000000.0,,
Interest Expense,70000000.0,58000000.0,58000000.0,59000000.0,68000000.0,,
Interest Income,42000000.0,35000000.0,38000000.0,60000000.0,39000000.0,,
Normalized Income,3064000000.0,668278481.012658,418969696.969697,381790000.0,2820765472.312704,,
Net Income From Continuing And Discontinued Operation,3064000000.0,693000000.0,446000000.0,381000000.0,2820000000.0,,
Total Expenses,4538000000.0,3796000000.0,3351000000.0,3491000000.0,4033000000.0,,
Total Operating Income As Reported,4020000000.0,855000000.0,534000000.0,339000000.0,3720000000.0,,
Diluted Average Shares,276000000.0,280000000.0,281000000.0,282000000.0,282000000.0,,
Basic Average Shares,276000000.0,278000000.0,279000000.0,279000000.0,280000000.0,,
Diluted EPS,11.09,2.48,1.59,1.35,10.02,,
Basic EPS,11.1,2.49,1.6,1.36,10.09,,
Diluted NI Availto Com Stockholders,3064000000.0,693000000.0,446000000.0,381000000.0,2820000000.0,,
Net Income Common Stockholders,3064000000.0,693000000.0,446000000.0,381000000.0,2820000000.0,,
Net Income,3064000000.0,693000000.0,446000000.0,381000000.0,2820000000.0,,
Net Income Including Noncontrolling Interests,3064000000.0,693000000.0,446000000.0,381000000.0,2820000000.0,,
Net Income Continuous Operations,3064000000.0,693000000.0,446000000.0,381000000.0,2820000000.0,,
Tax Provision,983000000.0,176000000.0,115000000.0,-15000000.0,864000000.0,,
Pretax Income,4047000000.0,869000000.0,561000000.0,366000000.0,3684000000.0,,
Other Income Expense,55000000.0,37000000.0,47000000.0,25000000.0,-8000000.0,,
Other Non Operating Income Expenses,55000000.0,6000000.0,13000000.0,26000000.0,-7000000.0,,
Special Income Charges,0.0,0.0,0.0,-1000000.0,-1000000.0,,
Restructuring And Mergern Acquisition,0.0,0.0,0.0,1000000.0,1000000.0,,
Gain On Sale Of Security,,31000000.0,34000000.0,,,-1000000.0,-42000000.0
Net Non Operating Interest Income Expense,-28000000.0,-23000000.0,-20000000.0,1000000.0,-29000000.0,,
Interest Expense Non Operating,70000000.0,58000000.0,58000000.0,59000000.0,68000000.0,,
Interest Income Non Operating,42000000.0,35000000.0,38000000.0,60000000.0,39000000.0,,
Operating Income,4020000000.0,855000000.0,534000000.0,340000000.0,3721000000.0,,
Operating Expense,3164000000.0,2753000000.0,2468000000.0,2597000000.0,2839000000.0,,
Depreciation Amortization Depletion Income Statement,122000000.0,121000000.0,121000000.0,121000000.0,120000000.0,,
Depreciation And Amortization In Income Statement,122000000.0,121000000.0,121000000.0,121000000.0,120000000.0,,
Amortization,122000000.0,121000000.0,121000000.0,121000000.0,120000000.0,,
Amortization Of Intangibles Income Statement,122000000.0,121000000.0,121000000.0,121000000.0,120000000.0,,
Research And Development,840000000.0,836000000.0,843000000.0,801000000.0,707000000.0,,
Selling General And Administration,2202000000.0,1796000000.0,1504000000.0,1675000000.0,2012000000.0,,
Selling And Marketing Expense,1793000000.0,1395000000.0,1082000000.0,1251000000.0,1618000000.0,,
General And Administrative Expense,409000000.0,401000000.0,422000000.0,424000000.0,394000000.0,,
Other Gand A,409000000.0,401000000.0,422000000.0,424000000.0,394000000.0,,
Salaries And Wages,,,,,,,-4000000.0
Gross Profit,7184000000.0,3608000000.0,3002000000.0,2937000000.0,6560000000.0,,
Cost Of Revenue,1374000000.0,1043000000.0,883000000.0,894000000.0,1194000000.0,,
Total Revenue,8558000000.0,4651000000.0,3885000000.0,3831000000.0,7754000000.0,,
Operating Revenue,8558000000.0,4651000000.0,3885000000.0,3831000000.0,7754000000.0,,
