,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-1960000.0,-2345099.86066,-15303943.044907,-4428000.0,-5746913.580247
Tax Rate For Calcs,0.04,0.071064,0.113363,0.054,0.058642
Normalized EBITDA,2873000000.0,3279000000.0,2969000000.0,2881000000.0,2726000000.0
Total Unusual Items,-49000000.0,-33000000.0,-135000000.0,-82000000.0,-98000000.0
Total Unusual Items Excluding Goodwill,-49000000.0,-33000000.0,-135000000.0,-82000000.0,-98000000.0
Net Income From Continuing Operation Net Minority Interest,1651000000.0,1964000000.0,1616000000.0,1617000000.0,1507000000.0
Reconciled Depreciation,736000000.0,728000000.0,661000000.0,686000000.0,705000000.0
Reconciled Cost Of Revenue,6575000000.0,7204000000.0,6539000000.0,6446000000.0,6129000000.0
EBITDA,2824000000.0,3246000000.0,2834000000.0,2799000000.0,2628000000.0
EBIT,2088000000.0,2518000000.0,2173000000.0,2113000000.0,1923000000.0
Net Interest Income,-121000000.0,-107000000.0,-113000000.0,-107000000.0,-100000000.0
Interest Expense,354000000.0,365000000.0,347000000.0,404000000.0,303000000.0
Interest Income,233000000.0,258000000.0,234000000.0,297000000.0,203000000.0
Normalized Income,1698040000.0,1994654900.13934,1735696056.955093,1694572000.0,1599253086.419753
Net Income From Continuing And Discontinued Operation,1651000000.0,1964000000.0,1616000000.0,1617000000.0,1507000000.0
Total Expenses,9092000000.0,9912000000.0,9047000000.0,8938000000.0,8549000000.0
Total Operating Income As Reported,1863000000.0,2255000000.0,1941000000.0,1834000000.0,1716000000.0
Diluted Average Shares,373000000.0,377000000.0,378000000.0,378000000.0,379000000.0
Basic Average Shares,372000000.0,376000000.0,378000000.0,378000000.0,378000000.0
Diluted EPS,4.43,5.21,4.27,4.28,3.98
Basic EPS,4.44,5.22,4.28,4.28,3.99
Diluted NI Availto Com Stockholders,1651000000.0,1964000000.0,1616000000.0,1617000000.0,1507000000.0
Net Income Common Stockholders,1651000000.0,1964000000.0,1616000000.0,1617000000.0,1507000000.0
Net Income,1651000000.0,1964000000.0,1616000000.0,1617000000.0,1507000000.0
Minority Interests,-5000000.0,-6000000.0,-5000000.0,-2000000.0,-4000000.0
Net Income Including Noncontrolling Interests,1656000000.0,1970000000.0,1621000000.0,1618000000.0,1511000000.0
Net Income Continuous Operations,1656000000.0,1970000000.0,1621000000.0,1618000000.0,1511000000.0
Earnings From Equity Interest Net Of Tax,-8000000.0,-32000000.0,2000000.0,2000000.0,-14000000.0
Tax Provision,70000000.0,153000000.0,207000000.0,92000000.0,95000000.0
Pretax Income,1734000000.0,2153000000.0,1826000000.0,1709000000.0,1620000000.0
Other Income Expense,-58000000.0,-40000000.0,-137000000.0,-101000000.0,-95000000.0
Other Non Operating Income Expenses,-9000000.0,-7000000.0,-2000000.0,-19000000.0,3000000.0
Special Income Charges,-49000000.0,-46000000.0,-135000000.0,-82000000.0,-98000000.0
Restructuring And Mergern Acquisition,49000000.0,46000000.0,135000000.0,82000000.0,98000000.0
Net Non Operating Interest Income Expense,-121000000.0,-107000000.0,-113000000.0,-107000000.0,-100000000.0
Interest Expense Non Operating,354000000.0,365000000.0,347000000.0,404000000.0,303000000.0
Interest Income Non Operating,233000000.0,258000000.0,234000000.0,297000000.0,203000000.0
Operating Income,1913000000.0,2303000000.0,2075000000.0,1916000000.0,1815000000.0
Operating Expense,2517000000.0,2708000000.0,2508000000.0,2492000000.0,2420000000.0
Research And Development,336000000.0,356000000.0,346000000.0,352000000.0,342000000.0
Selling General And Administration,2181000000.0,2352000000.0,2162000000.0,2140000000.0,2078000000.0
Gross Profit,4430000000.0,5011000000.0,4583000000.0,4408000000.0,4235000000.0
Cost Of Revenue,6575000000.0,7204000000.0,6539000000.0,6446000000.0,6129000000.0
Total Revenue,11005000000.0,12215000000.0,11122000000.0,10854000000.0,10364000000.0
Operating Revenue,11005000000.0,12215000000.0,11122000000.0,10854000000.0,10364000000.0
