,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,35996893.445169,0.0,
Tax Rate For Calcs,0.115533,0.169016,0.189,0.14228,0.09801,
Total Unusual Items,,,,253000000.0,,
Total Unusual Items Excluding Goodwill,,,,253000000.0,,
Net Income From Continuing Operation Net Minority Interest,5253000000.0,5361000000.0,5589000000.0,5494000000.0,4894000000.0,
Reconciled Depreciation,1836000000.0,2123000000.0,1839000000.0,1893000000.0,1858000000.0,
Net Interest Income,12096000000.0,12331000000.0,11950000000.0,11708000000.0,11495000000.0,
Interest Expense,10349000000.0,10271000000.0,10469000000.0,9612000000.0,9478000000.0,
Interest Income,22445000000.0,22602000000.0,22419000000.0,21320000000.0,20973000000.0,
Normalized Income,5253000000.0,5361000000.0,5589000000.0,5276996893.445169,4894000000.0,
Net Income From Continuing And Discontinued Operation,5253000000.0,5361000000.0,5589000000.0,5494000000.0,4894000000.0,
Rent Expense Supplemental,,151000000.0,144000000.0,154000000.0,157000000.0,158000000.0
Diluted Average Shares,3117700000.0,3159000000.0,3223500000.0,3267000000.0,3321600000.0,
Basic Average Shares,3080000000.0,3113800000.0,3182200000.0,3232700000.0,3280400000.0,
Diluted EPS,1.6,1.62,1.66,1.6,1.39,
Basic EPS,1.62,1.64,1.68,1.61,1.41,
Diluted NI Availto Com Stockholders,5000000000.0,5114000000.0,5341000000.0,5214000000.0,4616000000.0,
Net Income Common Stockholders,5000000000.0,5114000000.0,5341000000.0,5214000000.0,4616000000.0,
Preferred Stock Dividends,253000000.0,247000000.0,248000000.0,280000000.0,278000000.0,
Net Income,5253000000.0,5361000000.0,5589000000.0,5494000000.0,4894000000.0,
Minority Interests,-37000000.0,-62000000.0,-20000000.0,-28000000.0,90000000.0,
Net Income Including Noncontrolling Interests,5290000000.0,5423000000.0,5609000000.0,5522000000.0,4804000000.0,
Net Income Continuous Operations,5290000000.0,5423000000.0,5609000000.0,5522000000.0,4804000000.0,
Tax Provision,691000000.0,1103000000.0,1300000000.0,916000000.0,522000000.0,
Pretax Income,5981000000.0,6526000000.0,6909000000.0,6438000000.0,5326000000.0,
Special Income Charges,,,,253000000.0,,
Restructuring And Mergern Acquisition,,,,-253000000.0,,
Gain On Sale Of Security,0.0,322000000.0,149000000.0,119000000.0,0.0,
Selling General And Administration,9962000000.0,9580000000.0,9460000000.0,9129000000.0,9655000000.0,
Selling And Marketing Expense,369000000.0,352000000.0,295000000.0,266000000.0,181000000.0,
General And Administrative Expense,9593000000.0,9228000000.0,9165000000.0,8863000000.0,9474000000.0,
Rent And Landing Fees,,151000000.0,144000000.0,154000000.0,157000000.0,158000000.0
Salaries And Wages,9593000000.0,9077000000.0,9021000000.0,8709000000.0,9474000000.0,
Total Revenue,21446000000.0,21292000000.0,21436000000.0,20569000000.0,20149000000.0,
Operating Revenue,21446000000.0,21292000000.0,21436000000.0,20569000000.0,20149000000.0,
Occupancy And Equipment,2175000000.0,2214000000.0,2103000000.0,2053000000.0,1984000000.0,
Professional Expense And Contract Services Expense,1066000000.0,1236000000.0,1177000000.0,1089000000.0,1038000000.0,
Other Non Interest Expense,1127000000.0,696000000.0,1106000000.0,1108000000.0,1214000000.0,
