,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30
Tax Effect Of Unusual Items,-43788000.0,-62694000.0,-30576000.0,-37246963.562753,-42377646.062659,
Tax Rate For Calcs,0.164,0.258,0.273,0.258659,0.230313,
Normalized EBITDA,2994000000.0,2932000000.0,2502000000.0,3374000000.0,2726000000.0,
Total Unusual Items,-267000000.0,-243000000.0,-112000000.0,-144000000.0,-184000000.0,
Total Unusual Items Excluding Goodwill,-267000000.0,-243000000.0,-112000000.0,-144000000.0,-184000000.0,
Net Income From Continuing Operation Net Minority Interest,1056000000.0,956000000.0,824000000.0,1648000000.0,909000000.0,
Reconciled Depreciation,1112000000.0,1068000000.0,1092000000.0,1057000000.0,1066000000.0,
Reconciled Cost Of Revenue,18877000000.0,18337000000.0,17550000000.0,16911000000.0,17429000000.0,
EBITDA,2727000000.0,2689000000.0,2390000000.0,3230000000.0,2542000000.0,
EBIT,1615000000.0,1621000000.0,1298000000.0,2173000000.0,1476000000.0,
Net Interest Income,-138000000.0,-135000000.0,-119000000.0,-124000000.0,-116000000.0,
Normalized Income,1279212000.0,1136306000.0,905424000.0,1754753036.437247,1050622353.937341,
Net Income From Continuing And Discontinued Operation,1056000000.0,956000000.0,824000000.0,1648000000.0,909000000.0,
Total Expenses,22385000000.0,21848000000.0,20946000000.0,20283000000.0,20684000000.0,
Rent Expense Supplemental,1235000000.0,1211000000.0,1192000000.0,1140000000.0,1178000000.0,
Total Operating Income As Reported,1348000000.0,1378000000.0,1186000000.0,1793000000.0,1292000000.0,
Diluted Average Shares,239455782.0,236000000.0,238150289.0,239534884.0,242000000.0,
Basic Average Shares,239000000.0,235000000.0,238000000.0,238000000.0,242000000.0,
Diluted EPS,4.41,4.04,3.46,6.88,3.756198,
Basic EPS,4.41841,4.07,3.462185,6.92437,3.756198,
Diluted NI Availto Com Stockholders,1054000000.0,955000000.0,823000000.0,1646000000.0,908000000.0,
Net Income Common Stockholders,1054000000.0,955000000.0,823000000.0,1646000000.0,908000000.0,
Otherunder Preferred Stock Dividend,2000000.0,1000000.0,1000000.0,2000000.0,1000000.0,
Net Income,1056000000.0,956000000.0,824000000.0,1648000000.0,909000000.0,
Net Income Including Noncontrolling Interests,1056000000.0,956000000.0,824000000.0,1648000000.0,909000000.0,
Net Income Continuous Operations,1056000000.0,956000000.0,824000000.0,1648000000.0,909000000.0,
Tax Provision,207000000.0,333000000.0,310000000.0,575000000.0,272000000.0,
Pretax Income,1263000000.0,1289000000.0,1134000000.0,2223000000.0,1181000000.0,
Other Income Expense,-214000000.0,-197000000.0,-45000000.0,410000000.0,-179000000.0,
Other Non Operating Income Expenses,53000000.0,46000000.0,67000000.0,554000000.0,5000000.0,
Special Income Charges,-267000000.0,-243000000.0,-112000000.0,-144000000.0,-184000000.0,
Restructuring And Mergern Acquisition,267000000.0,243000000.0,112000000.0,123000000.0,184000000.0,
Net Non Operating Interest Income Expense,-138000000.0,-135000000.0,-119000000.0,-124000000.0,-116000000.0,
Total Other Finance Cost,138000000.0,135000000.0,119000000.0,,116000000.0,102000000.0
Operating Income,1615000000.0,1621000000.0,1298000000.0,1937000000.0,1476000000.0,
Operating Expense,3508000000.0,3511000000.0,3396000000.0,3372000000.0,3255000000.0,
Other Operating Expenses,3508000000.0,3511000000.0,3396000000.0,3372000000.0,3255000000.0,
Gross Profit,5123000000.0,5132000000.0,4694000000.0,5309000000.0,4731000000.0,
Cost Of Revenue,18877000000.0,18337000000.0,17550000000.0,16911000000.0,17429000000.0,
Total Revenue,24000000000.0,23469000000.0,22244000000.0,22220000000.0,22160000000.0,
Operating Revenue,24000000000.0,23469000000.0,22244000000.0,22220000000.0,22160000000.0,
